"date","time.uhi.min","min.urb","min.rur","min.urb.q002","min.rur.q002","time.uhi.max","max.urb","max.rur","max.urb.q098","max.rur.q098","uhi.med"
2021-01-02,2021-01-02 06:00:00,-2.7857141494751,-3.56666660308838,-2.7857141494751,-3.53199996948242,2021-01-02 11:00:00,11.8150005340576,11.5875005722046,11.8150005340576,11.5820837402344,0.9
2021-01-03,2021-01-03 00:00:00,2.43809509277344,1.10000002384186,2.43809509277344,1.12042859792709,2021-01-03 12:00:00,12.4047622680664,12.3428564071655,12.4047622680664,12.3359993362427,0.5
2021-01-04,2021-01-04 23:30:00,4.0238094329834,2.97777771949768,4.0238094329834,3.0312221956253,2021-01-04 11:30:00,10.542857170105,10.75,10.542857170105,10.7456667327881,0.4
2021-01-05,2021-01-05 02:00:00,1.22380948066711,0.533333361148834,1.22380948066711,0.537666690349579,2021-01-05 11:30:00,7,7.47499990463257,7,7.45549995422363,0.2
2021-01-06,2021-01-06 03:30:00,-1.93333339691162,-2.67857146263123,-1.93333339691162,-2.47614287614822,2021-01-06 11:00:00,14.3333330154419,13.9750003814697,14.3333330154419,13.9425003814697,0.6
2021-01-07,2021-01-07 23:30:00,-0.861904799938202,-1.53333330154419,-0.861904799938202,-1.48999997854233,2021-01-07 10:30:00,10.9666662216187,11.2444448471069,10.9666662216187,11.1938892364502,0.4
2021-01-08,2021-01-08 05:00:00,-1.60000002384186,-2.36666679382324,-1.60000002384186,-2.31033345222473,2021-01-08 10:00:00,8.59523773193359,9.62222194671631,8.59523773193359,9.512444190979,0.4
2021-01-10,2021-01-10 00:00:00,-4.40000009536743,-5,-4.40000009536743,-4.95377778053284,2021-01-10 11:00:00,9.44761848449707,9.62142848968506,9.44761848449707,9.44685703277588,0.6
2021-01-11,2021-01-11 21:00:00,-6.68095254898071,-10.3000001907349,-6.68095254898071,-10.1353335571289,2021-01-11 10:30:00,6.77142858505249,7.75555562973022,6.77142858505249,7.70025403022766,0.5
2021-01-12,2021-01-12 04:00:00,-3.57619047164917,-4,-3.57619047164917,-3.98700001239777,2021-01-12 11:00:00,4.53333330154419,4.75,4.53333330154419,4.74566660881043,0.3
2021-01-13,2021-01-13 02:00:00,-4.43333339691162,-4.86666679382324,-4.43333339691162,-4.83366677284241,2021-01-13 11:00:00,8.24285697937012,8.19999980926514,8.24285697937012,8.06514263153076,0.3
2021-01-15,2021-01-15 18:00:00,-8.81904792785645,-9.44999980926514,-8.81904792785645,-9.44566654205322,2021-01-15 09:00:00,2.25238084793091,2.69285702705383,2.25238084793091,2.68604755401611,0.6
2021-01-16,2021-01-16 22:30:00,-11.3047618865967,-13.6571426391602,-11.3047618865967,-13.6567300415039,2021-01-16 10:00:00,0.852380931377411,1.26666665077209,0.852380931377411,1.24933333396912,0.8
2021-01-17,2021-01-17 05:00:00,-12.3952379226685,-15.0142860412598,-12.3952379226685,-14.9845718193054,2021-01-17 11:00:00,0.647619009017944,1.06666672229767,0.647619009017944,1.04561908125877,0.8
2021-01-19,2021-01-19 23:30:00,-21.6428565979004,-24.2000007629395,-21.6428565979004,-24.1360003662109,2021-01-19 11:30:00,0.866666674613953,1.13333332538605,0.866666674613953,1.11166667938232,1.2
2021-01-20,2021-01-20 00:00:00,-10.1190481185913,-19.7749996185303,-10.1190481185913,-19.5388330841064,2021-01-20 11:00:00,7.82857179641724,8.60000038146973,7.82857179641724,8.51550043106079,1
2021-01-21,2021-01-21 03:00:00,-8.06666660308838,-11.6333332061768,-8.06666660308838,-11.2457141876221,2021-01-21 12:00:00,13.5789470672607,12.5333337783813,13.5789470672607,12.5188891410828,0.2
2021-01-22,2021-01-22 05:30:00,-4.40000009536743,-3.13333320617676,-4.40000009536743,-3.1195237159729,2021-01-22 11:00:00,14.7666664123535,14.4666662216187,14.7666664123535,14.4307615470886,0.4
2021-01-23,2021-01-23 05:00:00,-1.30952382087708,-3.56666660308838,-1.30952382087708,-3.51466659069061,2021-01-23 11:00:00,17.08571434021,16.7999992370605,17.08571434021,16.7826661682129,0.6
2021-01-24,2021-01-24 23:30:00,0.742857158184052,-0.25,0.742857158184052,-0.235142858028412,2021-01-24 10:00:00,12.2857141494751,12.4214286804199,12.2857141494751,12.3465238571167,0.3
2021-01-25,2021-01-25 01:00:00,-0.280952394008636,-0.655555546283722,-0.280952394008636,-0.649777768850327,2021-01-25 12:00:00,10.1428575515747,10.8666667938232,10.1428575515747,10.8660476493835,0.3
2021-01-26,2021-01-26 02:30:00,-2.53333330154419,-3.53333330154419,-2.53333330154419,-3.51599998474121,2021-01-26 11:30:00,9.89047622680664,9.52142906188965,9.89047622680664,9.51007965087891,0.4
2021-01-27,2021-01-27 06:30:00,-1.72857141494751,-2.64999985694885,-1.72857141494751,-2.61966655254364,2021-01-27 10:30:00,2.7571427822113,2.53333330154419,2.7571427822113,2.51022219181061,0.4
2021-01-29,2021-01-29 05:00:00,-10.6761903762817,-13.4333333969116,-10.6761903762817,-13.1609524917603,2021-01-29 11:00:00,6.79523801803589,6.46666669845581,6.79523801803589,6.41219041824341,1.3
2021-01-30,2021-01-30 00:00:00,-3.59047627449036,-4.64444446563721,-3.59047627449036,-4.63660312652588,2021-01-30 12:00:00,11.0285711288452,10.9000005722046,11.0285711288452,10.8944290161133,0.9
2021-02-01,2021-02-01 00:00:00,-3.03333330154419,-3.75555562973022,-3.03333330154419,-3.68911116600037,2021-02-01 11:30:00,5.17142868041992,5.57857179641724,5.17142868041992,5.56952409744263,0.3
2021-02-02,2021-02-02 05:30:00,-5.81428575515747,-7.90000009536743,-5.81428575515747,-7.90000009536743,2021-02-02 10:30:00,6.11904764175415,7.54444456100464,6.11904764175415,7.36760332107544,0.4
2021-02-03,2021-02-03 22:30:00,-0.0904761999845505,-0.233333349227905,-0.0904761999845505,-0.159666690826416,2021-02-03 11:30:00,10.7333335876465,11.0999994277954,10.7333335876465,11.0777136993408,0.2
2021-02-05,2021-02-05 04:30:00,-3.19047617912292,-3.90000009536743,-3.19047617912292,-3.90000009536743,2021-02-05 10:30:00,11.5523805618286,12.7214288711548,11.5523805618286,12.6291907310486,-0.1
2021-02-06,2021-02-06 23:00:00,-3.82857131958008,-4.89999961853027,-3.82857131958008,-4.89071406364441,2021-02-06 11:30:00,3.80476188659668,4.31111097335815,3.80476188659668,4.26199995040894,0.3
2021-02-07,2021-02-07 04:30:00,-10.8571424484253,-15.5500001907349,-10.8571424484253,-15.5305002403259,2021-02-07 11:00:00,-0.28571429848671,1.15648228974518e-17,-0.28571429848671,-0.00557142872363328,0.3
2021-02-08,2021-02-08 00:30:00,-5.7142858505249,-6.4285717010498,-5.7142858505249,-6.41680969238281,2021-02-08 11:00:00,2.38095235824585,2.47857141494751,2.38095235824585,2.47547618865967,0.4
2021-02-09,2021-02-09 23:30:00,0.952380955219269,-3.29999995231628,0.952380955219269,-3.2691427898407,2021-02-09 11:30:00,13.0571432113647,13.3666667938232,13.0571432113647,13.3493334770203,0.5
2021-02-10,2021-02-10 19:00:00,1.5095237493515,0.533333361148834,1.5095237493515,0.576000025272369,2021-02-10 12:00:00,16.2666664123535,18.1142864227295,16.2666664123535,18.0672388839722,0.6
2021-02-11,2021-02-11 23:30:00,-6.72857141494751,-12.2666664123535,-6.72857141494751,-12.0487617874146,2021-02-11 11:30:00,13.1523809432983,14.4285717010498,13.1523809432983,14.4211429595947,0.3
2021-02-12,2021-02-12 23:30:00,-12.3624992370605,-12.8999996185303,-12.3624992370605,-12.8999996185303,2021-02-12 12:00:00,-1.10000002384186,-1.10000002384186,-1.10000002384186,-1.17200002670288,0.5
2021-02-13,2021-02-13 03:30:00,-10.9749994277954,-12.6666660308838,-10.9749994277954,-12.5453328132629,2021-02-13 11:00:00,0,0.5,0,0.5,0.7
2021-02-15,2021-02-15 23:30:00,-9.46666717529297,-10.7833337783813,-9.46666717529297,-10.782095489502,2021-02-15 12:30:00,2.34761905670166,2.44444441795349,2.34761905670166,2.4143174123764,0.7
2021-02-16,2021-02-16 23:30:00,-11.2809524536133,-13.25,-11.2809524536133,-13.25,2021-02-16 11:00:00,2.16190481185913,2.71111106872559,2.16190481185913,2.46865074634552,1.2
2021-02-17,2021-02-17 02:30:00,-12.6571426391602,-14.1142854690552,-12.6571426391602,-14.0499046134949,2021-02-17 11:30:00,5.01904773712158,4.17857122421265,5.01904773712158,4.1754759979248,0.6
2021-02-18,2021-02-18 23:30:00,-10.6523809432983,-12.6285715103149,-10.6523809432983,-12.5951429176331,2021-02-18 10:30:00,6.43333339691162,7.57777786254883,6.43333339691162,7.31612709999085,0.6
2021-02-19,2021-02-19 01:30:00,-12.8142852783203,-13.7666664123535,-12.8142852783203,-13.6663806343079,2021-02-19 11:30:00,9.2619047164917,11.3333330154419,9.2619047164917,11.2596664810181,0.5
2021-02-20,2021-02-20 03:30:00,-9.96666717529297,-12.3499994277954,-9.96666717529297,-12.3283328437805,2021-02-20 11:00:00,12.8714284896851,13.4888887405396,12.8714284896851,13.4515553665161,0.7
2021-02-21,2021-02-21 23:30:00,-6.82380962371826,-9.22381019592285,-6.82380962371826,-9.096286277771,2021-02-21 11:00:00,18.2333335876465,18.6000003814697,18.2333335876465,18.5795718383789,0.8
