"date","time.uhi.min","min.urb","min.rur","min.urb.q002","min.rur.q002","time.uhi.max","max.urb","max.rur","max.urb.q098","max.rur.q098","uhi.med"
2021-01-01,2021-01-01 23:30:00,-1.16190481185913,-1.65238094329834,-1.15904766321182,-1.50850790977478,2021-01-01 12:00:00,4.51428556442261,4.91578960418701,4.50619034767151,4.80652662277222,-0.3
2021-01-02,2021-01-02 06:00:00,-3.06666660308838,-4.55102062225342,-3.05999994277954,-4.523101978302,2021-01-02 23:30:00,0.138095244765282,0.433333337306976,0.127857149019837,0.404000005722046,0
2021-01-03,2021-01-03 06:30:00,-0.952380955219269,-1,-0.912142860889435,-1,2021-01-03 10:30:00,2.48571419715881,2.43571424484253,2.4571427822113,2.38112777709961,-0.1
2021-01-04,2021-01-04 07:00:00,-3.16666674613953,-3.65555548667908,-3.12142863273621,-3.34266661643982,2021-01-04 10:30:00,5.09999990463257,5.32857131958008,5.08666658401489,5.25453960418701,-0.1
2021-01-05,2021-01-05 21:00:00,-6.20714282989502,-7.45000028610229,-5.97976186275482,-7.2299998664856,2021-01-05 10:00:00,1.20000004768372,1.39999997615814,1.1966667175293,1.29733330249786,0
2021-01-06,2021-01-06 06:00:00,-2.93571424484253,-3.26666665077209,-2.9221428155899,-3.23733334541321,2021-01-06 11:00:00,-0.0857142880558968,0.266666680574417,-0.0904761932790279,0.240326540470123,0
2021-01-07,2021-01-07 00:00:00,-2.63333344459534,-2.87142872810364,-2.63166675567627,-2.87142852306366,2021-01-07 11:00:00,1.46666669845581,1.46315789222717,1.46000002622604,1.44529323577881,0
2021-01-08,2021-01-08 23:30:00,-4.35714292526245,-5.0238094329834,-4.35142865180969,-4.82685729980469,2021-01-08 10:30:00,0.875,1.16666674613953,0.869166666269302,1.05911111831665,-0.1
2021-01-09,2021-01-09 22:00:00,-5.78333330154419,-6.18333339691162,-5.7803332901001,-6.14061912536621,2021-01-09 10:30:00,-1.43333327770233,-0.699999988079071,-1.44666661024094,-0.955619046688081,0
2021-01-10,2021-01-10 14:00:00,-15.7333335876465,-15.3428573608398,-15.5626668548584,-15.268571472168,2021-01-10 11:00:00,-3.91428565979004,-3.18571424484253,-4.13952374458313,-3.25695236206055,-0.2
2021-01-11,2021-01-11 03:00:00,-10.0166664123535,-12.0666666030884,-10.0149997711182,-11.7733335494995,2021-01-11 11:00:00,-2.37619042396545,-0.933333337306976,-2.44523804187775,-1.28742851495743,0.2
2021-01-12,2021-01-12 02:00:00,-8.22857093811035,-10.9888887405396,-8.21404714584351,-10.7011106491089,2021-01-12 11:00:00,-2.45238089561462,-2.40000009536743,-2.46547615528107,-2.40000009536743,0
2021-01-13,2021-01-13 23:30:00,-9.16666698455811,-10.9111108779907,-9.16571455001831,-10.8755556106567,2021-01-13 10:30:00,-2.42380952835083,-2.03333330154419,-2.44476189613342,-2.16114288330078,0.1
2021-01-14,2021-01-14 16:30:00,-23.2000007629395,-24.8999996185303,-23.1300006866455,-24.8618182373047,2021-01-14 12:00:00,-7.96666669845581,-8.1785717010498,-8.02666668891907,-8.24771446228027,0
2021-01-15,2021-01-15 22:30:00,-23.6928577423096,-26.5750007629395,-23.6560720443726,-25.4975395202637,2021-01-15 00:30:00,-13.7999992370605,-13.0799999237061,-13.8116659164429,-13.1528002548218,1.2
2021-01-16,2021-01-16 22:30:00,-32.3333320617676,-33.8190460205078,-32.0457130432129,-33.716667098999,2021-01-16 11:30:00,-14.1999998092651,-16.4761905670166,-14.214666519165,-16.4952381134033,2.3
2021-01-17,2021-01-17 00:30:00,-30.9583339691162,-30.6800003051758,-30.9583339691162,-30.6272003555298,2021-01-17 11:00:00,-13.8999996185303,-13.8000001907349,-13.8999996185303,-13.8733332443237,0.3
2021-01-19,2021-01-19 00:00:00,-19.4190483093262,-20.8190479278564,-19.3771434783936,-20.5424768829346,2021-01-19 12:00:00,-12.5714282989502,-12.6357145309448,-12.5976187705994,-12.6419995498657,1.1
2021-01-20,2021-01-20 00:00:00,-18.7999992370605,-19.3999996185303,-18.7959992599487,-19.3440000152588,2021-01-20 23:30:00,-4.41904783248901,-3.78750014305115,-4.43380970954895,-3.78872227668762,0.5
2021-01-21,2021-01-21 00:00:00,-5.15000009536743,-5.83333349227905,-5.1266667842865,-5.79422227859497,2021-01-21 11:00:00,1.99999988079071,1.87142860889435,1.98999989032745,1.79467662334442,-0.2
2021-01-22,2021-01-22 03:00:00,-3.96666646003723,-6.71999979019165,-3.9639997959137,-6.70759980201721,2021-01-22 11:30:00,2.125,2.06428575515747,2.12249999046326,2.02447608947754,0.4
2021-01-23,2021-01-23 18:00:00,-1.10000002384186,-1.61904764175415,-1.10000002384186,-1.6148571395874,2021-01-23 11:00:00,5.92500019073486,5.19999980926514,5.91150016784668,4.80999980926514,0.5
2021-01-24,2021-01-24 02:00:00,-2,-2.42142868041992,-2,-2.41514303207397,2021-01-24 11:00:00,3.26666665077209,3.84285736083984,3.24523808956146,3.70038091659546,-0.1
2021-01-25,2021-01-25 07:00:00,-0.921428561210632,-1.50714290142059,-0.905952370166779,-1.49247614383697,2021-01-25 11:30:00,2.76666665077209,4.40952348709106,2.72357141971588,4.39136499404907,-0.1
2021-01-26,2021-01-26 23:30:00,-1.43333327770233,-1.67619049549103,-1.43333327770233,-1.65044900417328,2021-01-26 11:30:00,3.66666674613953,4.76428556442261,3.66428577899933,4.47966670036316,0
2021-01-27,2021-01-27 06:00:00,-1.70000004768372,-1.85714280605316,-1.69333337545395,-1.84636736392975,2021-01-27 11:30:00,2.66666674613953,2.40000009536743,2.6550000667572,2.37066679000854,-0.1
2021-01-28,2021-01-28 23:30:00,-10.2749996185303,-11.3000001907349,-10.2508330345154,-11.0485717391968,2021-01-28 10:30:00,1.60000002384186,1.77142858505249,1.59666669368744,1.73790477752686,-0.2
2021-01-29,2021-01-29 05:00:00,-11.9071426391602,-12.576189994812,-11.9064283370972,-12.5468571090698,2021-01-29 12:00:00,-2.83333325386047,-2.46666669845581,-2.83499994277954,-2.68457134246826,-0.2
2021-01-30,2021-01-30 07:00:00,-8.875,-9.18571472167969,-8.87083330154419,-9.03066635131836,2021-01-30 12:00:00,-3.16666650772095,-2.91904759407043,-3.17047603130341,-2.99028571128845,0.1
2021-01-31,2021-01-31 04:00:00,-7.03333330154419,-7.20952367782593,-7.03071427345276,-7.15238103866577,2021-01-31 11:30:00,-2.03333330154419,-1.91666662693024,-2.03749995231628,-1.96485708713532,0
2021-02-01,2021-02-01 21:30:00,-16.5,-21.3999996185303,-16.4819999694824,-21.2159997940064,2021-02-01 11:30:00,-1.20000004768372,-3.09999990463257,-1.20000004768372,-3.1879999256134,2.2
2021-02-02,2021-02-02 01:00:00,-17.5,-21.7000007629395,-17.325,-21.7000007629395,2021-02-02 23:30:00,-4.13809490203857,-3.77142858505249,-4.15095205307007,-3.8075714302063,0.2
2021-02-03,2021-02-03 00:00:00,-3.31428575515747,-4.06666660308838,-3.31285717487335,-4.00799978256226,2021-02-03 11:30:00,4.53333330154419,5.27777767181396,4.51523804664612,5.15066654205322,-0.1
2021-02-04,2021-02-04 23:30:00,-11.8999996185303,-12.1204080581665,-11.8999996185303,-12.0270206832886,2021-02-04 00:00:00,-4.03333330154419,-3.24444437026978,-4.03642854690552,-3.2933332824707,-0.1
2021-02-05,2021-02-05 23:30:00,-14.8000001907349,-15.336841583252,-14.7916668891907,-15.2424611854553,2021-02-05 11:00:00,-5.53846120834351,-5.17500019073486,-5.60138429641724,-5.45550000190735,0.3
2021-02-06,2021-02-06 23:30:00,-22.1000003814697,-23.5,-22.0910004043579,-23.4778329467773,2021-02-06 10:30:00,-9.94285774230957,-9.53333377838135,-10.0051434326172,-9.68800029754639,1.5
2021-02-07,2021-02-07 18:30:00,-25.1714286804199,-26.1000003814697,-25.1683810424805,-26.0670008850098,2021-02-07 10:30:00,-13.4333333969116,-12.619047164917,-13.5319047927856,-12.73428565979,0.9
2021-02-08,2021-02-08 05:00:00,-25.2357139587402,-27.2555541992188,-25.2188093185425,-27.2360000610352,2021-02-08 23:30:00,-12.0333337783813,-11.9285707473755,-12.0433337211609,-11.9608971786499,0.4
2021-02-10,2021-02-10 06:30:00,-16.6333332061768,-17.1877555847168,-16.6166666030884,-17.1524356079102,2021-02-10 12:00:00,-11.3809518814087,-10.3500003814697,-11.386190032959,-10.6454290008545,0.1
2021-02-11,2021-02-11 03:00:00,-17.533332824707,-17.932653427124,-17.528332901001,-17.8697948455811,2021-02-11 10:00:00,-12,-9.94999980926514,-12.0125,-10.4591425704956,0
2021-02-12,2021-02-12 02:00:00,-14.7666664123535,-15.0448980331421,-14.7633331298828,-15.0053877639771,2021-02-12 11:00:00,-12.8333330154419,-11.3166666030884,-12.8349996566772,-11.4088572311401,-0.1
2021-02-13,2021-02-13 05:30:00,-15.3333330154419,-15.6306123733521,-15.3333330154419,-15.5827215194702,2021-02-13 23:30:00,-8.09523868560791,-7.75,-8.09904813766479,-7.9616194152832,0.1
