"date","time.uhi.min","min.urb","min.rur","min.urb.q002","min.rur.q002","time.uhi.max","max.urb","max.rur","max.urb.q098","max.rur.q098","uhi.med"
2021-01-01,2021-01-01 23:30:00,-1.42990446090698,-1.65303826332092,-1.36547755718231,-1.520090675354,2021-01-01 12:00:00,4.80000019073486,4.99665975570679,4.65740674972534,4.89303071975708,-0.1
2021-01-02,2021-01-02 06:00:00,-5.69578981399536,-5.7109375,-5.43160059928894,-5.49583339691162,2021-01-02 23:30:00,0.286429405212402,0.400000005960464,0.213194444775581,0.400000005960464,0
2021-01-03,2021-01-03 06:30:00,-1.23756265640259,-1.24980711936951,-1.07453353881836,-1.20000004768372,2021-01-03 10:30:00,2.7971932888031,2.7366464138031,2.72083330154419,2.53047738075256,0
2021-01-04,2021-01-04 07:00:00,-4.36458349227905,-4.80000019073486,-3.55349488258362,-3.82049579620361,2021-01-04 10:30:00,5.19721698760986,5.67500019073486,5.12597110748291,5.34160022735596,-0.1
2021-01-05,2021-01-05 21:00:00,-7.17800569534302,-8.0606050491333,-6.87742832183838,-7.51405363082886,2021-01-05 09:30:00,2.09531235694885,2.0587432384491,1.9965277338028,1.91606767177582,0
2021-01-06,2021-01-06 06:30:00,-3.49861121177673,-3.69652771949768,-3.42548895835876,-3.59999990463257,2021-01-06 11:00:00,0.268590867519379,0.300000011920929,0.107647568583488,0.297902208566666,0
2021-01-07,2021-01-07 00:00:00,-2.96553826332092,-2.96993637084961,-2.78809895992279,-2.90000009536743,2021-01-07 11:00:00,1.49939239025116,1.64583337306976,1.49036863327026,1.39999997615814,0
2021-01-08,2021-01-08 23:30:00,-4.60269117355347,-5.09766578674316,-4.49791669845581,-4.87197916984558,2021-01-08 10:30:00,1.07184612751007,1.09372282028198,0.951583740711212,0.90625,0
2021-01-09,2021-01-09 22:00:00,-6.55099821090698,-6.54104471206665,-6.3605274105072,-6.15273948669434,2021-01-09 10:30:00,-0.710193634033203,-0.699999988079071,-0.784153304100037,-0.735307538509369,0
2021-01-10,2021-01-10 14:00:00,-16.9861106872559,-17.1820411682129,-16.7083339691162,-16.8434894561768,2021-01-10 11:00:00,-2.81180548667908,-2.90619421005249,-2.92055027008057,-3.09353981018066,-0.1
2021-01-11,2021-01-11 03:00:00,-12.2502222061157,-12.5997591018677,-10.804450302124,-12.3986110687256,2021-01-11 11:00:00,-0.990494787693024,-0.986646413803101,-1.16283627510071,-1.31485819339752,0.1
2021-01-12,2021-01-12 02:00:00,-8.99930477142334,-10.7919187545776,-8.89999961853027,-10.6277780532837,2021-01-12 11:00:00,-2.20277523994446,-2.20443677902222,-2.23262041568756,-2.39965117931366,0.1
2021-01-13,2021-01-13 22:30:00,-9.11875057220459,-9.18453025817871,-8.89999961853027,-9.01939840316772,2021-01-13 09:00:00,-1.11106777191162,-1.20221364498138,-1.27712094783783,-1.44583332538605,0.1
2021-01-14,2021-01-14 16:30:00,-24.8999996185303,-24.8999996185303,-24.2999992370605,-24.8999996185303,2021-01-14 12:00:00,-7.82365417480469,-7.82506275177002,-7.94147136688232,-8.03608215332031,0
2021-01-15,2021-01-15 22:30:00,-24.3944149017334,-24.7999992370605,-24.1000003814697,-24.5970565032959,2021-01-15 00:30:00,-13.2271413803101,-13,-13.5161364364624,-13,0.6
2021-01-16,2021-01-16 22:30:00,-33.2000007629395,-34.2000007629395,-32.8758486938477,-34.0999984741211,2021-01-16 11:30:00,-13.5896987915039,-13.75,-13.6557549667358,-14.8194676971436,1.3
2021-01-17,2021-01-17 00:30:00,-35.2944297790527,-35.3136367797852,-34.9072214508057,-34.66130859375,2021-01-17 13:00:00,-15.8000001907349,-15.8000001907349,-15.8000001907349,-15.9750003814697,0.3
2021-01-19,2021-01-19 00:00:00,-20.0639476776123,-20.9753856658936,-19.7358919525146,-20.6177257537842,2021-01-19 12:00:00,-12.2069301605225,-12.3029127120972,-12.4367330551147,-12.5542844772339,0.9
2021-01-20,2021-01-20 00:00:00,-19,-19.3401470184326,-18.9131946563721,-19.220832824707,2021-01-20 23:30:00,-3.83497786521912,-3.70000004768372,-4.24907014846802,-3.79999995231628,0.1
2021-01-21,2021-01-21 00:00:00,-5.57100677490234,-5.98958349227905,-5.28896757125854,-5.64236116409302,2021-01-21 11:00:00,2.09848070144653,2.0976128578186,2.07708334922791,1.92541952133179,-0.1
2021-01-22,2021-01-22 03:00:00,-6.69999980926514,-7.08611106872559,-6.41075630187988,-6.86283842086792,2021-01-22 11:30:00,2.190514087677,2.09999990463257,2.14821897506714,2.09346532821655,0.2
2021-01-23,2021-01-23 18:00:00,-1.19930565357208,-1.3992862701416,-1.15763890743256,-1.3173611164093,2021-01-23 11:30:00,6.69999980926514,6.39374971389771,6.69999980926514,5,0.3
2021-01-24,2021-01-24 02:00:00,-2.02666854858398,-2.49544262886047,-2,-2.34146312713623,2021-01-24 11:00:00,3.5,3.70625019073486,3.5,3.08749985694885,0
2021-01-25,2021-01-25 05:30:00,-1.29513883590698,-1.44652771949768,-1.21818249702454,-1.39668663978577,2021-01-25 11:00:00,3.30053544044495,4.2499794960022,2.9973754119873,3.79999995231628,0
2021-01-26,2021-01-26 23:00:00,-1.69169080257416,-1.70000004768372,-1.57582851409912,-1.6849942445755,2021-01-26 11:30:00,4.63645362854004,4.94480609893799,3.71025751113892,4.76249980926514,0
2021-01-27,2021-01-27 06:00:00,-1.8985869884491,-1.89999997615814,-1.82574831008911,-1.88625574111938,2021-01-27 11:30:00,2.69969630241394,2.69978308677673,2.6923611164093,2.54498066902161,0
2021-01-28,2021-01-28 23:30:00,-10.8000001907349,-11.0884122848511,-10.8000001907349,-10.8721891784668,2021-01-28 10:30:00,1.87328314781189,1.95624995231628,1.78353660583496,1.55775463581085,0
2021-01-29,2021-01-29 05:00:00,-12.2215328216553,-12.7894144058228,-12.0995517349243,-12.6562068939209,2021-01-29 12:00:00,-2.71897196769714,-2.38124990463257,-2.79730916023254,-3,0.1
2021-01-30,2021-01-30 07:00:00,-8.89999961853027,-9.20911502838135,-8.89785358428955,-9.06388854980469,2021-01-30 12:00:00,-2.90050649642944,-2.90004825592041,-2.93885591506958,-2.9172839641571,0.1
2021-01-31,2021-01-31 23:30:00,-7.62660598754883,-8.31900596618652,-7.3970231628418,-7.95402193069458,2021-01-31 11:30:00,-1.97617673873901,-1.79999995231628,-2,-1.84485330581665,0
2021-02-01,2021-02-01 21:30:00,-19.872859954834,-20.3861103057861,-18.1000003814697,-20.2472229003906,2021-02-01 11:30:00,0.200000002980232,-0.412500023841858,0.200000002980232,-3.09999990463257,1.7
2021-02-02,2021-02-02 01:00:00,-21.0534725189209,-22.2312488555908,-21,-21.7000007629395,2021-02-02 23:30:00,-4.07009553909302,-3.70000004768372,-4.09999990463257,-3.85568871498108,0.1
2021-02-03,2021-02-03 00:00:00,-3.69164252281189,-3.70000004768372,-3.59444156646729,-3.69301800727844,2021-02-03 11:30:00,5.06610250473022,5.49960947036743,4.85833436965942,5.3169529914856,0
2021-02-04,2021-02-04 23:30:00,-12.0332851409912,-12.1193189620972,-11.9848232269287,-12.0491752624512,2021-02-04 01:00:00,-3.77035593986511,-3.59999990463257,-3.87915146827698,-3.59999990463257,0
2021-02-05,2021-02-05 23:30:00,-15.1019611358643,-15.3999996185303,-15.019175567627,-15.3999996185303,2021-02-05 12:00:00,-5.44393825531006,-5.49516344070435,-5.68550668716431,-6.54183166503906,0.2
2021-02-06,2021-02-06 23:30:00,-23.5,-23.5,-23.4645824432373,-23.5,2021-02-06 10:30:00,-8.60000038146973,-9,-8.60000038146973,-9,0.9
2021-02-07,2021-02-07 18:30:00,-28.4893665313721,-28.4625759124756,-26.7735293197632,-26.8060324859619,2021-02-07 10:00:00,-12.7080297470093,-12.9819440841675,-13.0656331634521,-13.3708793258667,0.6
2021-02-08,2021-02-08 05:00:00,-26.14404296875,-27.0790748596191,-25.6346520233154,-26.8999996185303,2021-02-08 23:30:00,-11.9419851303101,-11.8999996185303,-12.0076389312744,-11.9034719467163,0.3
2021-02-09,2021-02-09 22:00:00,-15.1826391220093,-15.1965274810791,-15.142499961853,-15.1930551528931,2021-02-09 10:30:00,-7.85144710540771,-7.83046865463257,-8.08552825927734,-8.17163391113281,0
2021-02-10,2021-02-10 23:30:00,-16.6534252166748,-16.8930549621582,-16.5895843505859,-16.7999992370605,2021-02-10 12:00:00,-11.2027730941772,-11.0173616409302,-11.3160665130615,-11.4306060791016,0.1
2021-02-11,2021-02-11 03:00:00,-17.8868770599365,-17.9965286254883,-17.7846434783936,-17.9097213745117,2021-02-11 10:00:00,-11.6055459976196,-11.2966194152832,-11.8174423217773,-12.0081405639648,0.1
2021-02-12,2021-02-12 02:00:00,-14.9916906356812,-15.0979166030884,-14.9021875,-15.0548610687256,2021-02-12 11:00:00,-12.5389423370361,-11.8105087280273,-12.6788048553467,-12.3185331344604,0
2021-02-13,2021-02-13 05:00:00,-15.5916910171509,-15.6965274810791,-15.4964324188232,-15.6250335693359,2021-02-13 23:30:00,-8.00509643554688,-7.70833301544189,-8.02736499786377,-7.99513864517212,0.1
2021-02-14,2021-02-14 16:00:00,-13.3499622344971,-13.322395324707,-13.2337034225464,-11.5,2021-02-14 10:30:00,-1.40104162693024,-1.46335363388062,-1.46988653659821,-1.67535011768341,0.1
2021-02-15,2021-02-15 23:00:00,-21.2000007629395,-21.6000003814697,-20.7999992370605,-21.6000003814697,2021-02-15 10:30:00,-7.80499172210693,-7.8834924697876,-7.91543127059937,-8.13541698455811,0.5
