"date","time.uhi.min","min.urb","min.rur","min.urb.q002","min.rur.q002","time.uhi.max","max.urb","max.rur","max.urb.q098","max.rur.q098","uhi.med"
2021-01-01,2021-01-01 20:00:00,6.19999980926514,Inf,6.19999980926514,NA,2021-01-01 10:30:00,25,-Inf,25,NA,NA
2021-01-02,2021-01-02 22:00:00,8,Inf,8,NA,2021-01-02 09:00:00,23.8999996185303,-Inf,23.8999996185303,NA,NA
2021-01-03,2021-01-03 02:30:00,8,Inf,8,NA,2021-01-03 09:30:00,23.7000007629395,-Inf,23.7000007629395,NA,NA
2021-01-04,2021-01-04 05:00:00,8.5,Inf,8.5,NA,2021-01-04 09:30:00,24.3999996185303,-Inf,24.3999996185303,NA,NA
2021-01-05,2021-01-05 20:30:00,6.80000019073486,Inf,6.80000019073486,NA,2021-01-05 09:30:00,22.7000007629395,-Inf,22.7000007629395,NA,NA
2021-01-06,2021-01-06 00:00:00,5.19999980926514,Inf,5.19999980926514,NA,2021-01-06 10:30:00,23.5,-Inf,23.5,NA,NA
2021-01-07,2021-01-07 05:00:00,6.5,Inf,6.5,NA,2021-01-07 10:00:00,26.5,-Inf,26.5,NA,NA
2021-01-08,2021-01-08 04:30:00,5.30000019073486,Inf,5.30000019073486,NA,2021-01-08 10:30:00,28.2999992370605,-Inf,28.2999992370605,NA,NA
2021-01-09,2021-01-09 22:30:00,5.40000009536743,Inf,5.40000009536743,NA,2021-01-09 10:30:00,29.5,-Inf,29.5,NA,NA
2021-01-10,2021-01-10 05:00:00,6.80000019073486,Inf,6.80000019073486,NA,2021-01-10 11:00:00,23.7999992370605,-Inf,23.7999992370605,NA,NA
2021-01-11,2021-01-11 01:00:00,6.40000009536743,Inf,6.40000009536743,NA,2021-01-11 09:00:00,26.2000007629395,-Inf,26.2000007629395,NA,NA
2021-01-12,2021-01-12 02:30:00,8.30000019073486,Inf,8.30000019073486,NA,2021-01-12 10:00:00,24.8999996185303,-Inf,24.8999996185303,NA,NA
2021-01-13,2021-01-13 15:00:00,6.19999980926514,Inf,6.19999980926514,NA,2021-01-13 09:00:00,21.5,-Inf,21.5,NA,NA
2021-01-15,2021-01-15 03:30:00,4.59999990463257,Inf,4.59999990463257,NA,2021-01-15 09:30:00,24.2999992370605,-Inf,24.2999992370605,NA,NA
2021-01-16,2021-01-16 21:30:00,7.5,Inf,7.5,NA,2021-01-16 08:30:00,20.3999996185303,-Inf,20.3999996185303,NA,NA
2021-01-19,2021-01-19 02:30:00,-3.5,Inf,-3.5,NA,2021-01-19 09:00:00,15.8999996185303,-Inf,15.8999996185303,NA,NA
2021-01-20,2021-01-20 00:00:00,-7,Inf,-7,NA,2021-01-20 11:30:00,14.6000003814697,-Inf,14.6000003814697,NA,NA
2021-01-21,2021-01-21 04:00:00,0.699999988079071,Inf,0.699999988079071,NA,2021-01-21 10:00:00,21.3999996185303,-Inf,21.3999996185303,NA,NA
2021-01-22,2021-01-22 03:30:00,1.10000002384186,Inf,1.10000002384186,NA,2021-01-22 09:30:00,19.5,-Inf,19.5,NA,NA
2021-01-24,2021-01-24 02:30:00,1.79999995231628,Inf,1.79999995231628,NA,2021-01-24 10:00:00,23.2999992370605,-Inf,23.2999992370605,NA,NA
2021-01-25,2021-01-25 05:30:00,2,Inf,2,NA,2021-01-25 10:00:00,24.2999992370605,-Inf,24.2999992370605,NA,NA
2021-01-26,2021-01-26 20:00:00,5.59999990463257,Inf,5.59999990463257,NA,2021-01-26 11:00:00,20.8999996185303,-Inf,20.8999996185303,NA,NA
2021-01-27,2021-01-27 23:30:00,6.80000019073486,Inf,6.80000019073486,NA,2021-01-27 09:30:00,23.2000007629395,-Inf,23.2000007629395,NA,NA
2021-01-28,2021-01-28 04:30:00,5.30000019073486,Inf,5.30000019073486,NA,2021-01-28 11:00:00,20.2000007629395,-Inf,20.2000007629395,NA,NA
2021-01-29,2021-01-29 02:30:00,-2.59999990463257,Inf,-2.59999990463257,NA,2021-01-29 09:30:00,17.2999992370605,-Inf,17.2999992370605,NA,NA
2021-01-30,2021-01-30 04:00:00,2,Inf,2,NA,2021-01-30 08:00:00,21.6000003814697,-Inf,21.6000003814697,NA,NA
