"date","time.uhi.min","min.urb","min.rur","min.urb.q002","min.rur.q002","time.uhi.max","max.urb","max.rur","max.urb.q098","max.rur.q098","uhi.med"
2021-01-01,2021-01-01 14:30:00,-3.23333334922791,-5.79999971389771,-3.16088890552521,-5.75966636657715,2021-01-01 00:30:00,1,1.5,0.999407408237457,1.5,0
2021-01-02,2021-01-02 23:30:00,-1.06666672229767,-1.20000004768372,-1.04859264612198,-1.19466670036316,2021-01-02 10:00:00,0.899999976158142,1.10000002384186,0.899259235858917,1.10000002384186,-0.1
2021-01-03,2021-01-03 22:30:00,-2.96666669845581,-3.28333330154419,-2.944592628479,-3.27111110687256,2021-01-03 00:00:00,-1,-0.400000005960464,-1.00059259414673,-0.400000005960464,0
2021-01-04,2021-01-04 16:00:00,-7.29999971389771,-9.81428623199463,-7.08740713596344,-9.76285762786865,2021-01-04 11:00:00,0.300000011920929,1,0.298814827203751,1,-0.3
2021-01-05,2021-01-05 19:30:00,-10.8000001907349,-11.1750001907349,-10.8000001907349,-11.1692143440247,2021-01-05 10:30:00,-1.89999997615814,-0.800000011920929,-1.90133330821991,-0.800000011920929,-0.7
2021-01-06,2021-01-06 03:30:00,-6.66666650772095,-10.9285707473755,-6.54148133277893,-10.8874279785156,2021-01-06 17:00:00,-1.89999997615814,-0.699999988079071,-1.90118515968323,-0.699999988079071,-0.1
2021-01-07,2021-01-07 21:00:00,-11.3333339691162,-11.7666664123535,-11.2739265441895,-11.6999997711182,2021-01-07 10:30:00,-1.70000004768372,-1.5,-1.70044449329376,-1.5,-0.3
2021-01-08,2021-01-08 21:30:00,-11.9666662216187,-13.1000003814697,-11.9285921478271,-13.0640002441406,2021-01-08 12:00:00,-3.20000004768372,-2.20000004768372,-3.20074078559876,-2.20000004768372,0
2021-01-09,2021-01-09 00:30:00,-12.6000003814697,-14.6666669845581,-12.5983707427979,-14.6186668586731,2021-01-09 12:00:00,-3.59999990463257,-3,-3.60088879585266,-3,-0.5
2021-01-10,2021-01-10 01:00:00,-15.1000003814697,-16.7428569793701,-15.0691855621338,-16.7217140197754,2021-01-10 23:30:00,-2.09999990463257,-1.39999997615814,-2.10074064254761,-1.39999997615814,-0.4
2021-01-11,2021-01-11 16:00:00,-2.79999995231628,-3.0888888835907,-2.788296251297,-3.07555554389954,2021-01-11 10:30:00,-0.600000023841858,-0.5,-0.600888912677765,-0.5,0.1
2021-01-12,2021-01-12 00:00:00,-3.73333334922791,-3.98333334922791,-3.70874074935913,-3.96333336830139,2021-01-12 10:00:00,0.699999988079071,0.800000011920929,0.699259247779846,0.800000011920929,0
2021-01-13,2021-01-13 23:30:00,-8,-8.39999961853027,-7.96118518829346,-8.39999961853027,2021-01-13 10:00:00,-0.300000011920929,-0.200000002980232,-0.300592604875565,-0.200000002980232,0.1
2021-01-14,2021-01-14 23:30:00,-12.5666666030884,-12.8999996185303,-12.548444404602,-12.8839996337891,2021-01-14 10:30:00,-5.80000019073486,-5.69999980926514,-5.80133352279663,-5.69999980926514,-0.1
2021-01-15,2021-01-15 16:30:00,-18.1333332061768,-19.1333332061768,-18.1279998779297,-19.1259046173096,2021-01-15 23:30:00,-9.80000019073486,-8.60000038146973,-9.80177795410156,-8.60000038146973,-0.6
2021-01-16,2021-01-16 15:30:00,-18.6333332061768,-19.0999984741211,-18.6333332061768,-19.0955541610718,2021-01-16 10:00:00,-6.80000019073486,-6.19999980926514,-6.8026668548584,-6.19999980926514,-0.5
2021-01-17,2021-01-17 05:00:00,-13.533332824707,-14.1999998092651,-13.533332824707,-14.1879997634888,2021-01-17 11:00:00,-4.19999980926514,-3.70000004768372,-4.2032590675354,-3.70000004768372,0.9
2021-01-19,2021-01-19 22:00:00,-18.8999996185303,-19.1499996185303,-18.8971848297119,-19.133332824707,2021-01-19 11:00:00,-1.29999995231628,-1.20000004768372,-1.3017777299881,-1.20000004768372,-0.6
2021-01-20,2021-01-20 14:00:00,-17.2999992370605,-19.6000003814697,-17.2983695983887,-19.6000003814697,2021-01-20 23:30:00,-7.30000019073486,-6.80000019073486,-7.30103723526001,-6.80000019073486,1.2
2021-01-21,2021-01-21 00:00:00,-8.23333358764648,-8.46666622161865,-8.20103729248047,-8.43733295440674,2021-01-21 23:30:00,2.20000004768372,2.5,2.19940745353699,2.5,0.2
2021-01-22,2021-01-22 06:30:00,0.100000001490116,-0.200000002980232,0.100296297669411,-0.189333336949348,2021-01-22 12:00:00,3.20000004768372,2.93809533119202,3.19925930976868,2.92895247459412,0
2021-01-23,2021-01-23 20:00:00,-1.10000002384186,-1.38888883590698,-1.0805926156044,-1.37555549621582,2021-01-23 10:30:00,3.26666665077209,3.63333344459534,3.26666665077209,3.63333338737488,0
2021-01-24,2021-01-24 20:30:00,-0.733333349227905,-0.800000011920929,-0.724296312332153,-0.789333345890045,2021-01-24 09:30:00,3.76666665077209,3.4300000667572,3.74999998569489,3.42965720176697,0
2021-01-25,2021-01-25 08:30:00,-7.33333349227905,-7.22222232818604,-7.2783705329895,-7.1911111831665,2021-01-25 11:30:00,2.5,2.56666660308838,2.49851851463318,2.56666660308838,0
2021-01-26,2021-01-26 06:00:00,-1.46666669845581,-2.14285707473755,-1.46029632568359,-2.08897952079773,2021-01-26 11:00:00,2.40000009536743,2.20000004768372,2.39896306037903,2.16800002098083,0.1
2021-01-27,2021-01-27 21:00:00,-2.02592587471008,-3.12857127189636,-2.02340735673904,-3.1117458820343,2021-01-27 11:00:00,2.76666665077209,3.05714297294617,2.76666665077209,3.05422867774963,0
2021-01-28,2021-01-28 07:00:00,-6.76666688919067,-10.8999996185303,-6.69051874160767,-10.8637891387939,2021-01-28 10:30:00,-1.60000002384186,-0.942857146263123,-1.60059261798859,-0.948571424484253,0
2021-01-29,2021-01-29 00:00:00,-4.56666660308838,-4.69999980926514,-4.54088883399963,-4.69999980926514,2021-01-29 11:00:00,0.5,0.899999976158142,0.5,0.899999976158142,-0.1
2021-01-30,2021-01-30 23:30:00,-7.33333301544189,-7.59999990463257,-7.29333303451538,-7.59999990463257,2021-01-30 10:30:00,-2.40000009536743,-2.34285712242126,-2.40059268951416,-2.35777140617371,0
2021-01-31,2021-01-31 01:30:00,-10,-11.5,-9.99570369720459,-11.5,2021-01-31 11:00:00,-2,-1.93333327770233,-2.00162962913513,-1.94133327007294,0.1
2021-02-01,2021-02-01 19:00:00,-12.533332824707,-14.1157894134521,-12.4737772750854,-14.1126316070557,2021-02-01 11:00:00,-0.800000011920929,-0.899999976158142,-0.801629641056061,-0.899999976158142,-0.3
2021-02-02,2021-02-02 23:30:00,-7.03333330154419,-7.33333349227905,-7.00488885879517,-7.32933355331421,2021-02-02 10:00:00,-0.200000002980232,-0.133333340287209,-0.201185188293457,-0.156533339619637,0
2021-02-03,2021-02-03 07:00:00,-13.3000001907349,-14.6000003814697,-13.2962965011597,-14.5000001907349,2021-02-03 11:00:00,-3.20000004768372,-3.20000004768372,-3.20088893890381,-3.20480004310608,0
2021-02-04,2021-02-04 23:30:00,-13.5333337783813,-14.2999992370605,-13.3933337402344,-14.2691423034668,2021-02-04 11:30:00,-6.90000009536743,-6.73333311080933,-6.90074083328247,-6.75053312301636,0.1
2021-02-05,2021-02-05 17:30:00,-18.2000007629395,-21,-18.1992600250244,-20.982105255127,2021-02-05 10:00:00,-8.60000038146973,-8.50555515289307,-8.60074111938477,-8.52822200775146,0
2021-02-06,2021-02-06 23:30:00,-24.6666660308838,-25,-24.5945178985596,-24.9599998474121,2021-02-06 11:00:00,-6.30000019073486,-6.5,-6.30103723526001,-6.5,0.1
2021-02-07,2021-02-07 00:00:00,-24.6666660308838,-25,-24.6368882751465,-25,2021-02-07 12:00:00,-5.30000019073486,-4.96666669845581,-5.30088907241821,-5.0246000289917,0.1
2021-02-08,2021-02-08 00:00:00,-21.3666667938232,-21.3444442749023,-21.3217779541016,-21.335555267334,2021-02-08 10:00:00,-4.19999980926514,-3.79999995231628,-4.20192573547363,-3.79999995231628,0.5
2021-02-09,2021-02-09 00:30:00,-21.8999996185303,-23.5705890655518,-21.8999996185303,-23.5564712524414,2021-02-09 11:00:00,-7.59999990463257,-6.80000019073486,-7.60237028121948,-6.84914306640625,1.7
2021-02-10,2021-02-10 04:30:00,-34.2666664123535,-34.5999984741211,-34.0442960357666,-34.5999984741211,2021-02-10 11:30:00,-8.30000019073486,-7.83333349227905,-8.30355575561523,-7.88176879882812,-0.2
2021-02-11,2021-02-11 02:30:00,-22.3333320617676,-23.2857151031494,-22.3281469726562,-23.2685722351074,2021-02-11 10:30:00,-6.90000009536743,-7.19999980926514,-6.90103713989258,-7.22039981842041,0.1
2021-02-12,2021-02-12 15:00:00,-13.8000001907349,-14.5666666030884,-13.8000001907349,-14.5533332824707,2021-02-12 10:30:00,-5.90000009536743,-5.63000011444092,-5.90177787780762,-5.68590488433838,-0.2
2021-02-13,2021-02-13 04:00:00,-12.0666666030884,-12.8142862319946,-11.8325925254822,-12.7714290618896,2021-02-13 11:30:00,-1.20000004768372,-1.39999997615814,-1.20133337974548,-1.4142040681839,-0.2
2021-02-14,2021-02-14 23:30:00,-10.3000001907349,-10.6999998092651,-10.2765927505493,-10.6999998092651,2021-02-14 10:30:00,-1.20000004768372,-1.30000007152557,-1.20207412242889,-1.34457149028778,0.1
2021-02-15,2021-02-15 03:00:00,-10.7666673660278,-14.1714286804199,-10.7368895721436,-13.8885714149475,2021-02-15 12:30:00,-1.96666669845581,0.128571435809135,-1.96666669845581,-0.299111123681069,0.5
