"date","time.uhi.min","min.urb","min.rur","min.urb.q002","min.rur.q002","time.uhi.max","max.urb","max.rur","max.urb.q098","max.rur.q098","uhi.med"
2021-01-01,2021-01-01 02:30:00,-2.15999984741211,-5.50476169586182,-2.14346651554108,-4.7718093585968,2021-01-01 10:30:00,17.3666667938232,18.8500003814697,17.3405334472656,18.7575003814697,0.8
2021-01-02,2021-01-02 22:00:00,-1.27999997138977,-3.85714292526245,-1.24239997148514,-3.44800004959106,2021-01-02 10:00:00,18.4600009918213,18,18.451467628479,17.825,1.4
2021-01-03,2021-01-03 23:30:00,-3.87999987602234,-7.04999971389771,-3.87306654453278,-6.7169998550415,2021-01-03 10:00:00,16.533332824707,16.7714290618896,16.4778661727905,16.6445718383789,0.8
2021-01-04,2021-01-04 02:30:00,-4.43333339691162,-7.09999990463257,-4.42266673088074,-6.93438106536865,2021-01-04 09:30:00,12.1800003051758,16.5190467834473,12.1744002914429,15.9787299728394,1
2021-01-05,2021-01-05 23:00:00,-6.84000015258789,-7.73333311080933,-6.83253348350525,-7.55244427680969,2021-01-05 09:30:00,14.5,15.6999998092651,14.4626666641235,14.7749998092651,0.6
2021-01-06,2021-01-06 04:00:00,-6.76666641235352,-11.2816324234009,-6.74773308753967,-10.7983673477173,2021-01-06 09:30:00,14.5799999237061,15.6666669845581,14.5477332496643,15.5556672668457,1.6
2021-01-07,2021-01-07 05:00:00,-6.05999994277954,-11.1166667938232,-6.02746661186218,-10.166999797821,2021-01-07 10:00:00,18.2800006866455,15.1499996185303,18.2544006729126,14.9526671791077,1.9
2021-01-08,2021-01-08 02:30:00,-5.06666660308838,-8.69999980926514,-5.05413327217102,-8.30533351898193,2021-01-08 10:00:00,17.0666675567627,15.6999998092651,17.0525342178345,15.5978088760376,1.3
2021-01-09,2021-01-09 02:00:00,-2.93333339691162,-6.54285717010498,-2.90426672935486,-6.48999987602234,2021-01-09 10:30:00,20.6000003814697,22.0061225891113,20.5944003677368,21.9152584457397,0.4
2021-01-10,2021-01-10 16:00:00,-9.43333339691162,-9.36666679382324,-9.31706672668457,-9.31733350753784,2021-01-10 10:00:00,22.0666656494141,22.9285717010498,21.9949323272705,22.143264541626,1.8
