"date","time.uhi.min","min.urb","min.rur","min.urb.q002","min.rur.q002","time.uhi.max","max.urb","max.rur","max.urb.q098","max.rur.q098","uhi.med"
2021-01-01,2021-01-01 06:00:00,-3,Inf,-3,NA,2021-01-01 10:30:00,19.3999996185303,-Inf,19.3999996185303,NA,NA
2021-01-02,2021-01-02 20:00:00,10.5,Inf,10.5,NA,2021-01-02 12:00:00,20.7999992370605,-Inf,20.7999992370605,NA,NA
2021-01-03,2021-01-03 19:00:00,9.30000019073486,Inf,9.30000019073486,NA,2021-01-03 12:00:00,21.5,-Inf,21.5,NA,NA
2021-01-04,2021-01-04 05:30:00,7.5,Inf,7.5,NA,2021-01-04 11:00:00,18,-Inf,18,NA,NA
2021-01-05,2021-01-05 01:30:00,6.5,Inf,6.5,NA,2021-01-05 12:00:00,18.7999992370605,-Inf,18.7999992370605,NA,NA
2021-01-06,2021-01-06 05:00:00,8.60000038146973,Inf,8.60000038146973,NA,2021-01-06 11:30:00,21.6000003814697,-Inf,21.6000003814697,NA,NA
2021-01-07,2021-01-07 04:30:00,11.6999998092651,Inf,11.6999998092651,NA,2021-01-07 11:00:00,23.7000007629395,-Inf,23.7000007629395,NA,NA
2021-01-08,2021-01-08 23:00:00,11.5,Inf,11.5,NA,2021-01-08 11:00:00,23,-Inf,23,NA,NA
2021-01-09,2021-01-09 00:30:00,8.39999961853027,Inf,8.39999961853027,NA,2021-01-09 12:30:00,24.7999992370605,-Inf,24.7999992370605,NA,NA
2021-01-10,2021-01-10 22:00:00,14.5,Inf,14.5,NA,2021-01-10 11:30:00,22.2000007629395,-Inf,22.2000007629395,NA,NA
2021-01-11,2021-01-11 18:30:00,11.8999996185303,Inf,11.8999996185303,NA,2021-01-11 11:30:00,21.7999992370605,-Inf,21.7999992370605,NA,NA
2021-01-12,2021-01-12 22:30:00,8.60000038146973,Inf,8.60000038146973,NA,2021-01-12 10:30:00,19.6000003814697,-Inf,19.6000003814697,NA,NA
2021-01-13,2021-01-13 02:00:00,8.89999961853027,Inf,8.89999961853027,NA,2021-01-13 13:00:00,19.2000007629395,-Inf,19.2000007629395,NA,NA
2021-01-14,2021-01-14 01:00:00,9.80000019073486,Inf,9.80000019073486,NA,2021-01-14 10:00:00,18.2000007629395,-Inf,18.2000007629395,NA,NA
2021-01-15,2021-01-15 17:00:00,11.1000003814697,Inf,11.1000003814697,NA,2021-01-15 11:00:00,18.8999996185303,-Inf,18.8999996185303,NA,NA
2021-01-16,2021-01-16 20:00:00,9.69999980926514,Inf,9.69999980926514,NA,2021-01-16 11:00:00,19.6000003814697,-Inf,19.6000003814697,NA,NA
2021-01-17,2021-01-17 05:00:00,6.59999990463257,Inf,6.59999990463257,NA,2021-01-17 11:00:00,18.3999996185303,-Inf,18.3999996185303,NA,NA
2021-01-19,2021-01-19 05:00:00,6.19999980926514,Inf,6.19999980926514,NA,2021-01-19 12:00:00,20.1000003814697,-Inf,20.1000003814697,NA,NA
2021-01-20,2021-01-20 01:30:00,5.09999990463257,Inf,5.09999990463257,NA,2021-01-20 12:30:00,18.8999996185303,-Inf,18.8999996185303,NA,NA
2021-01-21,2021-01-21 04:30:00,9.80000019073486,Inf,9.80000019073486,NA,2021-01-21 11:30:00,21.5,-Inf,21.5,NA,NA
2021-01-22,2021-01-22 05:00:00,11.5,Inf,11.5,NA,2021-01-22 11:00:00,22.8999996185303,-Inf,22.8999996185303,NA,NA
2021-01-23,2021-01-23 21:30:00,9.10000038146973,Inf,9.10000038146973,NA,2021-01-23 11:00:00,21.2999992370605,-Inf,21.2999992370605,NA,NA
2021-01-24,2021-01-24 04:30:00,10.5,Inf,10.5,NA,2021-01-24 11:00:00,19.6000003814697,-Inf,19.6000003814697,NA,NA
