"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-01-01,2021-01-01 04:00:00,-0.6,2021-01-01 10:30:00,-3.7,-0.3
2021-01-02,2021-01-02 04:30:00,0,2021-01-02 10:30:00,-6.7,-2
2021-01-03,2021-01-03 23:30:00,2.1,2021-01-03 10:30:00,-4.1,-0.5
2021-01-04,2021-01-04 03:00:00,1.8,2021-01-04 10:00:00,-3.7,0.3
2021-01-05,2021-01-05 04:30:00,2.2,2021-01-05 10:30:00,-3.7,-0.6
2021-01-06,2021-01-06 04:30:00,1.9,2021-01-06 10:30:00,-3.6,-0.8
2021-01-07,2021-01-07 23:30:00,1.9,2021-01-07 10:30:00,-3.2,0.7
2021-01-08,2021-01-08 04:30:00,3.2,2021-01-08 10:30:00,-2.2,0.1
2021-01-09,2021-01-09 04:30:00,1.7,2021-01-09 11:00:00,-3.3,1.1
2021-01-10,2021-01-10 04:30:00,2.5,2021-01-10 10:30:00,-3.7,1.6
2021-01-11,2021-01-11 04:30:00,2.5,2021-01-11 11:00:00,-2.9,1.5
2021-01-12,2021-01-12 04:00:00,3.3,2021-01-12 10:30:00,-2.2,0.1
2021-01-13,2021-01-13 04:30:00,-0.7,2021-01-13 10:00:00,-4.9,-2.3
2021-01-14,2021-01-14 22:00:00,-4.8,2021-01-14 09:30:00,-5.3,-3.7
2021-01-15,2021-01-15 04:30:00,-2.8,2021-01-15 10:30:00,-8.8,-3.1
2021-01-16,2021-01-16 04:30:00,2.4,2021-01-16 10:30:00,-7.5,-1.1
2021-01-17,2021-01-17 04:30:00,1.3,2021-01-17 10:00:00,-4,-2
2021-01-19,2021-01-19 04:00:00,2.2,2021-01-19 10:30:00,-5.2,-1.9
2021-01-20,2021-01-20 23:30:00,1.4,2021-01-20 11:00:00,-6.1,-2.6
2021-01-21,2021-01-21 23:30:00,2.5,2021-01-21 11:00:00,-2.2,1.1
2021-01-22,2021-01-22 04:30:00,1.9,2021-01-22 11:30:00,-1.6,1.1
2021-01-23,2021-01-23 04:30:00,2.9,2021-01-23 11:00:00,-2.4,0.8
2021-01-24,2021-01-24 04:30:00,1.5,2021-01-24 11:00:00,-3.8,1.3
2021-01-25,2021-01-25 04:30:00,3.5,2021-01-25 11:00:00,-2.3,2.1
2021-01-26,2021-01-26 04:30:00,4.2,2021-01-26 10:30:00,-8,-1.8
2021-01-27,2021-01-27 23:30:00,0.4,2021-01-27 11:00:00,-7,-3
2021-01-28,2021-01-28 23:30:00,1.6,2021-01-28 10:30:00,-9.3,-2.1
2021-01-29,2021-01-29 22:00:00,-1.3,2021-01-29 11:00:00,-5.4,-3.3
2021-01-30,2021-01-30 01:00:00,0.9,2021-01-30 11:00:00,-8.8,-2.6
2021-01-31,2021-01-31 03:00:00,2.6,2021-01-31 10:30:00,-8.3,-1.9
2021-02-01,2021-02-01 04:00:00,1.6,2021-02-01 11:30:00,-3.8,-0.2
2021-02-02,2021-02-02 04:30:00,0.4,2021-02-02 11:30:00,-5.3,-2
2021-02-03,2021-02-03 04:00:00,0.1,2021-02-03 11:30:00,-4.5,-1.5
2021-02-05,2021-02-05 23:30:00,0.6,2021-02-05 10:30:00,-2.1,-1.1
2021-02-06,2021-02-06 04:30:00,0.4,2021-02-06 11:00:00,-0.1,0.4
2021-02-07,2021-02-07 23:30:00,1.9,2021-02-07 11:00:00,-1.6,0.5
2021-02-08,2021-02-08 04:00:00,2.1,2021-02-08 11:30:00,-2,0.3
2021-02-09,2021-02-09 23:30:00,0.7,2021-02-09 11:00:00,-2.3,-0.9
2021-02-10,2021-02-10 23:30:00,2.1,2021-02-10 11:30:00,-2.1,1.3
2021-02-11,2021-02-11 04:00:00,2.9,2021-02-11 12:00:00,-3,2.4
2021-02-12,2021-02-12 04:00:00,2,2021-02-12 11:00:00,-2.5,1.1
2021-02-13,2021-02-13 04:00:00,1.9,2021-02-13 11:00:00,-2.1,2.5
2021-02-14,2021-02-14 04:00:00,2.6,2021-02-14 11:30:00,-1.7,2.7
2021-02-15,2021-02-15 04:00:00,2,2021-02-15 11:00:00,-3.9,0.4
2021-02-16,2021-02-16 23:30:00,-3.2,2021-02-16 10:30:00,-6.1,-2.9
2021-02-17,2021-02-17 23:30:00,-0.5,2021-02-17 10:30:00,-5.9,-4.1
2021-02-18,2021-02-18 23:30:00,-5.3,2021-02-18 10:30:00,-6.6,-4.3
2021-02-19,2021-02-19 00:00:00,-7.3,2021-02-19 10:00:00,-10.5,-4.8
2021-02-20,2021-02-20 04:00:00,2.1,2021-02-20 09:30:00,-6.5,-0.9
2021-02-21,2021-02-21 04:00:00,1.7,2021-02-21 11:00:00,-8,-1.4
2021-02-22,2021-02-22 04:00:00,0.8,2021-02-22 10:30:00,-9.3,-2.9
2021-02-23,2021-02-23 04:00:00,-1.5,2021-02-23 11:00:00,-4.7,-2.6
2021-02-24,2021-02-24 03:00:00,-2.5,2021-02-24 11:00:00,-4.9,-0.8
2021-02-25,2021-02-25 04:00:00,1.8,2021-02-25 11:30:00,-4.2,0.2
2021-02-26,2021-02-26 04:00:00,1.7,2021-02-26 11:30:00,-2.7,0.8
2021-02-27,2021-02-27 04:00:00,1.9,2021-02-27 11:30:00,-3.2,0.7
2021-02-28,2021-02-28 23:30:00,1.3,2021-02-28 10:00:00,-8.9,-2.1
2021-03-01,2021-03-01 04:00:00,1.9,2021-03-01 10:30:00,-9.5,-1.8
2021-03-02,2021-03-02 04:00:00,1.4,2021-03-02 09:30:00,-7.8,0
2021-03-03,2021-03-03 04:00:00,0.7,2021-03-03 11:00:00,-6.6,-0.9
2021-03-04,2021-03-04 01:30:00,-0.4,2021-03-04 09:00:00,-5.4,-3.5
2021-03-06,2021-03-06 03:30:00,1.3,2021-03-06 11:30:00,-2.8,1.9
2021-03-07,2021-03-07 03:30:00,2.5,2021-03-07 10:30:00,-3.6,1.5
2021-03-08,2021-03-08 23:30:00,1.7,2021-03-08 11:00:00,-8.4,-0.5
2021-03-09,2021-03-09 03:00:00,1.8,2021-03-09 10:30:00,-6.6,-1
2021-03-10,2021-03-10 03:30:00,0.1,2021-03-10 11:00:00,-6.7,-3.2
2021-03-11,2021-03-11 23:30:00,-1.9,2021-03-11 10:00:00,-7.8,-4.4
2021-03-12,2021-03-12 23:30:00,1.6,2021-03-12 10:30:00,-5.2,-2.7
2021-03-13,2021-03-13 03:30:00,0.3,2021-03-13 12:00:00,-4.2,0.4
2021-03-14,2021-03-14 03:30:00,2.3,2021-03-14 10:30:00,-7.7,-3.1
2021-03-15,2021-03-15 03:00:00,2.3,2021-03-15 10:30:00,-11,-4.4
2021-03-16,2021-03-16 03:30:00,1.3,2021-03-16 10:30:00,-4,-0.7
2021-03-17,2021-03-17 03:30:00,2.1,2021-03-17 10:30:00,-6.3,0.6
2021-03-18,2021-03-18 23:30:00,1.4,2021-03-18 09:30:00,-6.5,-2.2
2021-03-19,2021-03-19 03:30:00,2.1,2021-03-19 11:00:00,-3.6,0.7
2021-03-20,2021-03-20 02:30:00,0.9,2021-03-20 10:30:00,-6.3,-1.8
2021-03-21,2021-03-21 03:30:00,2.4,2021-03-21 11:00:00,-8.7,-3.1
2021-03-22,2021-03-22 23:30:00,-1.2,2021-03-22 12:00:00,-6,-3.2
2021-03-23,2021-03-23 23:30:00,-2.6,2021-03-23 10:30:00,-6.9,-4.7
2021-03-24,2021-03-24 23:30:00,-4.5,2021-03-24 08:30:00,-7.1,-1.7
2021-03-25,2021-03-25 03:00:00,-1.3,2021-03-25 09:30:00,-7.9,-3.6
2021-03-26,2021-03-26 18:30:00,-1.9,2021-03-26 09:00:00,-11.8,-4.7
2021-03-27,2021-03-27 03:00:00,0.6,2021-03-27 10:30:00,-6.4,0.2
2021-03-28,2021-03-28 03:00:00,3.1,2021-03-28 10:30:00,-4.9,1.5
2021-03-29,2021-03-29 03:00:00,1.2,2021-03-29 11:00:00,-4.9,1.1
2021-03-30,2021-03-30 03:00:00,2.2,2021-03-30 11:00:00,-3,-0.7
2021-03-31,2021-03-31 23:30:00,1.8,2021-03-31 10:30:00,-5.2,-0.2
2021-04-01,2021-04-01 03:00:00,2.2,2021-04-01 09:30:00,-10.3,-1.8
2021-04-02,2021-04-02 03:00:00,2.3,2021-04-02 09:00:00,-9.5,-3.6
2021-04-03,2021-04-03 01:00:00,0.9,2021-04-03 09:00:00,-6.4,-0.2
2021-04-04,2021-04-04 03:00:00,2,2021-04-04 11:00:00,-5.3,1.6
2021-04-05,2021-04-05 03:00:00,2,2021-04-05 11:00:00,-4.6,1.7
2021-04-06,2021-04-06 03:00:00,2.2,2021-04-06 11:00:00,-3.5,-1.2
2021-04-07,2021-04-07 23:00:00,-1,2021-04-07 10:00:00,-8.8,-2.1
2021-04-08,2021-04-08 23:30:00,1.9,2021-04-08 11:00:00,-3.4,-0.1
2021-04-09,2021-04-09 23:30:00,-3.2,2021-04-09 10:00:00,-4.6,-0.9
2021-04-10,2021-04-10 23:30:00,-0.1,2021-04-10 09:30:00,-8.1,-3.4
