"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-01-01,2021-01-01 01:30:00,0.6,2021-01-01 12:00:00,1,0.6
2021-01-02,2021-01-02 00:30:00,0,2021-01-02 12:30:00,0.6,0.3
2021-01-03,2021-01-03 00:00:00,-0.1,2021-01-03 12:30:00,0.1,-0.1
2021-01-04,2021-01-04 20:00:00,-0.1,2021-01-04 11:00:00,0.1,-0.1
2021-01-05,2021-01-05 02:00:00,-0.2,2021-01-05 11:30:00,0.2,-0.1
2021-01-06,2021-01-06 05:00:00,-0.1,2021-01-06 12:00:00,0.2,-0.1
2021-01-07,2021-01-07 00:00:00,-0.2,2021-01-07 11:00:00,0.2,-0.1
2021-01-08,2021-01-08 20:00:00,1.8,2021-01-08 11:30:00,1.2,0.9
2021-01-09,2021-01-09 08:00:00,0.9,2021-01-09 12:30:00,1.3,1.5
2021-01-10,2021-01-10 06:00:00,0.4,2021-01-10 11:30:00,0.3,-0.1
2021-01-11,2021-01-11 04:30:00,-0.3,2021-01-11 11:30:00,0,-0.2
2021-01-12,2021-01-12 15:30:00,2.1,2021-01-12 12:00:00,0.8,0.8
2021-01-13,2021-01-13 01:00:00,-0.2,2021-01-13 11:00:00,0.1,-0.2
2021-01-14,2021-01-14 23:30:00,-0.2,2021-01-14 11:30:00,0.5,-0.1
2021-01-15,2021-01-15 04:00:00,-0.3,2021-01-15 12:00:00,0.1,-0.2
2021-01-16,2021-01-16 01:00:00,-0.3,2021-01-16 12:00:00,0.1,-0.1
2021-01-17,2021-01-17 02:30:00,-0.4,2021-01-17 12:00:00,0.7,0
2021-01-19,2021-01-19 00:00:00,-0.1,2021-01-19 12:00:00,0.3,0
2021-01-20,2021-01-20 00:00:00,-0.1,2021-01-20 11:30:00,0.2,-0.1
2021-01-21,2021-01-21 23:30:00,0,2021-01-21 00:00:00,0,0.2
2021-01-22,2021-01-22 23:30:00,-0.4,2021-01-22 11:30:00,0.9,0.2
2021-01-23,2021-01-23 22:30:00,-0.3,2021-01-23 12:30:00,1.3,0.1
2021-01-24,2021-01-24 23:30:00,-0.1,2021-01-24 12:00:00,0.7,0
2021-01-25,2021-01-25 04:00:00,0.4,2021-01-25 12:30:00,0.6,0.5
2021-01-26,2021-01-26 06:30:00,0.8,2021-01-26 12:00:00,-0.2,0.2
2021-01-27,2021-01-27 04:30:00,-0.2,2021-01-27 12:30:00,0.5,0
2021-01-28,2021-01-28 20:30:00,-0.2,2021-01-28 12:30:00,0.1,0
2021-01-29,2021-01-29 23:30:00,-0.1,2021-01-29 12:00:00,0.3,0.1
2021-01-30,2021-01-30 23:00:00,-0.1,2021-01-30 12:00:00,0.4,-0.1
2021-01-31,2021-01-31 07:30:00,-0.1,2021-01-31 12:00:00,1,0.5
2021-02-01,2021-02-01 17:00:00,0.2,2021-02-01 12:00:00,0.4,0
2021-02-02,2021-02-02 01:30:00,-0.1,2021-02-02 23:30:00,0.1,0
2021-02-03,2021-02-03 02:30:00,0.9,2021-02-03 12:00:00,0.1,0.1
2021-02-04,2021-02-04 23:30:00,-0.8,2021-02-04 12:00:00,0.8,0.3
2021-02-05,2021-02-05 07:00:00,-0.1,2021-02-05 13:00:00,0.5,0.1
2021-02-06,2021-02-06 23:30:00,-0.2,2021-02-06 00:00:00,0,0
2021-02-07,2021-02-07 18:00:00,-0.3,2021-02-07 00:00:00,-0.2,-0.2
2021-02-08,2021-02-08 05:30:00,-0.4,2021-02-08 12:00:00,0.1,-0.3
2021-02-09,2021-02-09 23:30:00,-0.1,2021-02-09 12:00:00,0.4,-0.1
2021-02-10,2021-02-10 07:30:00,-1.1,2021-02-10 12:30:00,1,0
2021-02-11,2021-02-11 07:00:00,2.2,2021-02-11 12:30:00,1.7,1.9
2021-02-12,2021-02-12 05:00:00,-0.9,2021-02-12 12:30:00,1.2,1.2
2021-02-13,2021-02-13 23:00:00,0.1,2021-02-13 12:30:00,1.8,3.2
2021-02-14,2021-02-14 03:30:00,-0.3,2021-02-14 13:00:00,0.1,0
2021-02-15,2021-02-15 00:00:00,-0.1,2021-02-15 12:00:00,0.3,0.1
2021-02-16,2021-02-16 01:30:00,-0.1,2021-02-16 13:00:00,0.6,0.2
2021-02-17,2021-02-17 05:00:00,0.3,2021-02-17 13:00:00,0.7,0.2
2021-02-18,2021-02-18 23:00:00,0.2,2021-02-18 13:00:00,0.4,0.2
2021-02-19,2021-02-19 04:00:00,0.3,2021-02-19 12:00:00,0.8,0.3
2021-02-20,2021-02-20 07:30:00,1,2021-02-20 13:00:00,1.1,0.2
2021-02-21,2021-02-21 23:00:00,-0.1,2021-02-21 12:30:00,1,0.9
