"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-01-01,2021-01-01 05:00:00,1.3,2021-01-01 10:30:00,2.1,0.8
2021-01-02,2021-01-02 23:30:00,0.9,2021-01-02 11:00:00,1.6,1.1
2021-01-03,2021-01-03 05:00:00,0.4,2021-01-03 10:30:00,2.2,0.7
2021-01-04,2021-01-04 05:00:00,-0.4,2021-01-04 10:30:00,1.8,0.4
2021-01-05,2021-01-05 01:30:00,-0.5,2021-01-05 11:00:00,-2.1,0
2021-01-06,2021-01-06 05:00:00,0.2,2021-01-06 10:30:00,1.6,0.6
2021-01-07,2021-01-07 05:00:00,-0.5,2021-01-07 11:00:00,0.7,-0.4
2021-01-08,2021-01-08 01:30:00,-0.7,2021-01-08 10:30:00,0.9,0.6
2021-01-09,2021-01-09 05:00:00,-0.9,2021-01-09 10:30:00,2.6,1
2021-01-10,2021-01-10 01:30:00,-0.7,2021-01-10 11:00:00,0.7,0.3
2021-01-11,2021-01-11 01:30:00,0,2021-01-11 11:00:00,0.3,0.4
2021-01-12,2021-01-12 05:00:00,-0.1,2021-01-12 10:30:00,0.2,0.3
2021-01-13,2021-01-13 23:30:00,0.7,2021-01-13 00:00:00,0.5,-0.1
2021-01-14,2021-01-14 23:30:00,2.2,2021-01-14 10:30:00,1.2,0.9
2021-01-15,2021-01-15 23:30:00,0.1,2021-01-15 10:30:00,-1.2,0.1
2021-01-16,2021-01-16 02:00:00,0.3,2021-01-16 11:00:00,0.3,0.7
2021-01-17,2021-01-17 22:00:00,-0.8,2021-01-17 10:30:00,1.7,0.5
2021-01-19,2021-01-19 04:30:00,0.1,2021-01-19 11:00:00,-0.2,-0.4
2021-01-20,2021-01-20 00:00:00,-0.2,2021-01-20 11:00:00,-0.6,-0.6
2021-01-21,2021-01-21 00:30:00,-0.9,2021-01-21 11:00:00,-2.4,-0.9
2021-01-22,2021-01-22 05:00:00,0.1,2021-01-22 11:00:00,0.3,0.4
2021-01-23,2021-01-23 04:30:00,0.9,2021-01-23 11:00:00,-0.8,-1.1
2021-01-24,2021-01-24 00:30:00,-0.9,2021-01-24 11:00:00,1.5,0.8
2021-01-25,2021-01-25 03:30:00,-1,2021-01-25 11:00:00,1.5,0.6
2021-01-26,2021-01-26 01:00:00,-0.2,2021-01-26 11:00:00,1.9,0.4
2021-01-27,2021-01-27 23:30:00,1.3,2021-01-27 10:30:00,-0.4,1.1
2021-01-28,2021-01-28 23:30:00,3.4,2021-01-28 10:30:00,0.7,0.6
2021-01-29,2021-01-29 04:30:00,0,2021-01-29 10:30:00,-1.2,0.5
2021-01-30,2021-01-30 01:30:00,-0.2,2021-01-30 11:00:00,-0.3,0
2021-01-31,2021-01-31 05:00:00,-0.4,2021-01-31 10:30:00,-3.8,-1.1
