"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-07-18,2021-07-18 01:00:00,0,2021-07-18 10:00:00,0,0
2021-07-19,2021-07-19 23:00:00,0,2021-07-19 09:00:00,0,0
2021-07-20,2021-07-20 17:30:00,0,2021-07-20 09:30:00,0,0
2021-07-21,2021-07-21 03:00:00,0,2021-07-21 09:30:00,0,0
2021-07-22,2021-07-22 18:30:00,0,2021-07-22 08:30:00,0,0
2021-07-23,2021-07-23 15:30:00,0,2021-07-23 08:00:00,0,0
2021-07-24,2021-07-24 15:30:00,0,2021-07-24 08:30:00,0,0
2021-07-25,2021-07-25 17:00:00,0,2021-07-25 08:00:00,0,0
2021-07-26,2021-07-26 02:30:00,0,2021-07-26 09:30:00,0,0
2021-07-27,2021-07-27 03:00:00,0,2021-07-27 09:30:00,0,0
2021-07-28,2021-07-28 03:00:00,0,2021-07-28 11:30:00,0,0
2021-07-29,2021-07-29 02:30:00,0,2021-07-29 11:00:00,0,0
2021-07-30,2021-07-30 02:30:00,0,2021-07-30 09:00:00,0,0
2021-07-31,2021-07-31 03:00:00,0,2021-07-31 09:30:00,0,0
2021-08-01,2021-08-01 02:00:00,0,2021-08-01 09:00:00,0,0
2021-08-02,2021-08-02 03:00:00,0,2021-08-02 09:00:00,0,0
2021-08-03,2021-08-03 01:00:00,0,2021-08-03 09:00:00,0,0
2021-08-04,2021-08-04 02:30:00,0,2021-08-04 09:00:00,0,0
2021-08-05,2021-08-05 23:30:00,0,2021-08-05 09:00:00,0,0
2021-08-06,2021-08-06 03:00:00,0,2021-08-06 09:00:00,0,0
2021-08-07,2021-08-07 04:00:00,0,2021-08-07 10:30:00,0,0
2021-08-08,2021-08-08 04:00:00,0,2021-08-08 11:00:00,0,0
2021-08-09,2021-08-09 00:00:00,0,2021-08-09 11:00:00,0,0
2021-08-10,2021-08-10 00:30:00,0,2021-08-10 09:00:00,0,0
2021-08-11,2021-08-11 03:30:00,0,2021-08-11 10:30:00,0,0
2021-08-12,2021-08-12 03:00:00,0,2021-08-12 10:00:00,0,0
2021-08-13,2021-08-13 02:00:00,0,2021-08-13 10:30:00,0,0
2021-08-14,2021-08-14 01:30:00,0,2021-08-14 10:30:00,0,0
2021-08-15,2021-08-15 02:00:00,0,2021-08-15 10:00:00,0,0
2021-08-16,2021-08-16 02:00:00,0,2021-08-16 10:30:00,0,0
2021-08-17,2021-08-17 02:30:00,0,2021-08-17 10:00:00,0,0
2021-08-18,2021-08-18 20:00:00,0,2021-08-18 09:30:00,0,0
2021-08-19,2021-08-19 03:00:00,0,2021-08-19 09:30:00,0,0
2021-08-20,2021-08-20 03:00:00,0,2021-08-20 09:30:00,0,0
2021-08-21,2021-08-21 22:00:00,0,2021-08-21 09:30:00,0,0
2021-08-22,2021-08-22 20:00:00,0,2021-08-22 09:30:00,0,0
2021-08-23,2021-08-23 03:00:00,0,2021-08-23 07:30:00,0,0
2021-08-24,2021-08-24 03:00:00,0,2021-08-24 09:00:00,0,0
2021-08-25,2021-08-25 02:30:00,0,2021-08-25 10:00:00,0,0
2021-08-26,2021-08-26 03:00:00,0,2021-08-26 09:30:00,0,0
2021-08-27,2021-08-27 18:30:00,0,2021-08-27 09:30:00,0,0
2021-08-28,2021-08-28 19:30:00,0,2021-08-28 09:30:00,0,0
2021-08-29,2021-08-29 02:30:00,0,2021-08-29 09:00:00,0,0
2021-08-30,2021-08-30 20:00:00,0,2021-08-30 09:30:00,0,0
2021-08-31,2021-08-31 04:00:00,0,2021-08-31 10:00:00,0,0
2021-09-01,2021-09-01 21:00:00,0,2021-09-01 09:00:00,0,0
2021-09-02,2021-09-02 22:00:00,0,2021-09-02 11:30:00,0,0
2021-09-03,2021-09-03 00:00:00,0,2021-09-03 09:00:00,0,0
2021-09-04,2021-09-04 01:30:00,0,2021-09-04 13:30:00,0,0
2021-09-05,2021-09-05 17:30:00,0,2021-09-05 10:30:00,0,0
2021-09-06,2021-09-06 15:30:00,0,2021-09-06 10:00:00,0,0
2021-09-07,2021-09-07 14:30:00,0,2021-09-07 10:30:00,0,0
2021-09-08,2021-09-08 01:00:00,0,2021-09-08 12:30:00,0,0
2021-09-09,2021-09-09 01:30:00,0,2021-09-09 10:30:00,0,0
2021-09-10,2021-09-10 21:30:00,0,2021-09-10 08:30:00,0,0
2021-09-11,2021-09-11 02:30:00,0,2021-09-11 09:30:00,0,0
2021-09-12,2021-09-12 15:00:00,0,2021-09-12 09:00:00,0,0
