"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-01-01,2021-01-01 06:00:00,0,2021-01-01 11:30:00,-0.2,-0.1
2021-01-02,2021-01-02 00:00:00,0.1,2021-01-02 11:30:00,-0.1,-0.2
2021-01-03,2021-01-03 07:00:00,-0.1,2021-01-03 11:30:00,-0.5,-0.3
2021-01-04,2021-01-04 23:30:00,-0.2,2021-01-04 12:00:00,-0.2,-0.3
2021-01-05,2021-01-05 23:30:00,0,2021-01-05 11:30:00,-0.1,-0.1
2021-01-06,2021-01-06 22:00:00,0.2,2021-01-06 12:00:00,-0.4,-0.2
2021-01-07,2021-01-07 19:00:00,-0.3,2021-01-07 11:00:00,-0.8,-0.2
2021-01-08,2021-01-08 23:30:00,-0.1,2021-01-08 12:00:00,0.2,0
2021-01-09,2021-01-09 23:00:00,-0.2,2021-01-09 10:00:00,-0.8,-0.2
2021-01-10,2021-01-10 19:00:00,-1.4,2021-01-10 11:00:00,0,-0.1
2021-01-11,2021-01-11 05:30:00,0.5,2021-01-11 12:00:00,0.3,0.1
2021-01-12,2021-01-12 07:00:00,0.1,2021-01-12 11:30:00,-0.2,-0.2
2021-01-13,2021-01-13 23:00:00,0.1,2021-01-13 11:00:00,-0.1,0
2021-01-14,2021-01-14 23:00:00,-0.1,2021-01-14 12:00:00,0.2,-0.1
2021-01-15,2021-01-15 23:30:00,-0.2,2021-01-15 12:00:00,-0.6,-0.2
2021-01-16,2021-01-16 21:00:00,-0.3,2021-01-16 11:00:00,0.4,0
2021-01-17,2021-01-17 21:30:00,0.2,2021-01-17 12:30:00,0,-0.2
2021-01-19,2021-01-19 00:00:00,-0.3,2021-01-19 11:30:00,0,-0.1
2021-01-20,2021-01-20 07:00:00,0,2021-01-20 12:00:00,0.2,0
2021-01-21,2021-01-21 07:00:00,0.3,2021-01-21 12:00:00,0.2,0
2021-01-22,2021-01-22 00:30:00,-0.8,2021-01-22 12:00:00,-1.6,-0.3
2021-01-23,2021-01-23 23:00:00,-0.2,2021-01-23 09:00:00,-0.4,-0.3
2021-01-24,2021-01-24 03:00:00,0.2,2021-01-24 11:00:00,-0.4,-0.2
