"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-01-02,2021-01-02 06:00:00,0.2,2021-01-02 11:00:00,0.9,0.9
2021-01-03,2021-01-03 00:00:00,0.5,2021-01-03 12:00:00,0.7,0.5
2021-01-04,2021-01-04 23:30:00,0.4,2021-01-04 11:30:00,0.3,0.4
2021-01-05,2021-01-05 02:00:00,0.3,2021-01-05 11:30:00,0.3,0.2
2021-01-06,2021-01-06 03:30:00,-0.2,2021-01-06 11:00:00,0.6,0.6
2021-01-07,2021-01-07 23:30:00,0.3,2021-01-07 10:30:00,0,0.4
2021-01-08,2021-01-08 05:00:00,0.3,2021-01-08 10:00:00,1,0.4
2021-01-10,2021-01-10 00:00:00,0.3,2021-01-10 11:00:00,0.7,0.6
2021-01-11,2021-01-11 21:00:00,0.1,2021-01-11 10:30:00,1.1,0.5
2021-01-12,2021-01-12 04:00:00,0.3,2021-01-12 11:00:00,0.4,0.3
2021-01-13,2021-01-13 02:00:00,0.2,2021-01-13 11:00:00,0.4,0.3
2021-01-15,2021-01-15 18:00:00,0.3,2021-01-15 09:00:00,1.1,0.6
2021-01-16,2021-01-16 22:30:00,1.7,2021-01-16 10:00:00,0.4,0.8
2021-01-17,2021-01-17 05:00:00,1.6,2021-01-17 11:00:00,0.4,0.8
2021-01-19,2021-01-19 23:30:00,-0.1,2021-01-19 11:30:00,0.7,1.2
2021-01-20,2021-01-20 00:00:00,3.8,2021-01-20 11:00:00,0.8,1
2021-01-21,2021-01-21 03:00:00,0.3,2021-01-21 12:00:00,2,0.2
2021-01-22,2021-01-22 05:30:00,-0.3,2021-01-22 11:00:00,1.2,0.4
2021-01-23,2021-01-23 05:00:00,0.9,2021-01-23 11:00:00,1.1,0.6
2021-01-24,2021-01-24 23:30:00,0.1,2021-01-24 10:00:00,0.7,0.3
2021-01-25,2021-01-25 01:00:00,-0.1,2021-01-25 12:00:00,0.1,0.3
2021-01-26,2021-01-26 02:30:00,0.4,2021-01-26 11:30:00,0.9,0.4
2021-01-27,2021-01-27 06:30:00,0.4,2021-01-27 10:30:00,0.6,0.4
2021-01-29,2021-01-29 05:00:00,0.6,2021-01-29 11:00:00,1.2,1.3
2021-01-30,2021-01-30 00:00:00,0.5,2021-01-30 12:00:00,1,0.9
2021-02-01,2021-02-01 00:00:00,0.3,2021-02-01 11:30:00,0.3,0.3
2021-02-02,2021-02-02 05:30:00,-0.2,2021-02-02 10:30:00,0.3,0.4
2021-02-03,2021-02-03 22:30:00,0,2021-02-03 11:30:00,0.4,0.2
2021-02-05,2021-02-05 04:30:00,1,2021-02-05 10:30:00,-0.6,-0.1
2021-02-06,2021-02-06 23:00:00,0.4,2021-02-06 11:30:00,0.6,0.3
2021-02-07,2021-02-07 04:30:00,-0.5,2021-02-07 11:00:00,0.5,0.3
2021-02-08,2021-02-08 00:30:00,0.1,2021-02-08 11:00:00,0.8,0.4
2021-02-09,2021-02-09 23:30:00,0.5,2021-02-09 11:30:00,1.1,0.5
2021-02-10,2021-02-10 19:00:00,0.4,2021-02-10 12:00:00,0.7,0.6
2021-02-11,2021-02-11 23:30:00,1.5,2021-02-11 11:30:00,-0.3,0.3
2021-02-12,2021-02-12 23:30:00,0.8,2021-02-12 12:00:00,1.3,0.5
2021-02-13,2021-02-13 03:30:00,0.4,2021-02-13 11:00:00,1,0.7
2021-02-15,2021-02-15 23:30:00,0.9,2021-02-15 12:30:00,1.1,0.7
2021-02-16,2021-02-16 23:30:00,1.6,2021-02-16 11:00:00,1.3,1.2
2021-02-17,2021-02-17 02:30:00,0.7,2021-02-17 11:30:00,1,0.6
2021-02-18,2021-02-18 23:30:00,1.3,2021-02-18 10:30:00,0.8,0.6
2021-02-19,2021-02-19 01:30:00,0.4,2021-02-19 11:30:00,0.1,0.5
2021-02-20,2021-02-20 03:30:00,1.2,2021-02-20 11:00:00,1.1,0.7
2021-02-21,2021-02-21 23:30:00,-2.2,2021-02-21 11:00:00,1.2,0.8
2021-02-22,2021-02-22 03:30:00,1,2021-02-22 12:30:00,1.3,1
2021-02-23,2021-02-23 04:30:00,0.8,2021-02-23 11:30:00,1.2,1
2021-02-24,2021-02-24 05:00:00,0.2,2021-02-24 10:30:00,1.9,0.5
2021-02-25,2021-02-25 00:00:00,-1.3,2021-02-25 12:00:00,1.3,1.1
2021-02-26,2021-02-26 04:30:00,0.8,2021-02-26 11:30:00,0.7,1.3
2021-02-28,2021-02-28 16:00:00,0.5,2021-02-28 10:00:00,0.8,0.4
2021-03-01,2021-03-01 21:00:00,0.3,2021-03-01 11:30:00,0.1,0.3
2021-03-02,2021-03-02 05:00:00,0.2,2021-03-02 12:00:00,1.7,1.1
