"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-01-01,2021-01-01 23:30:00,-0.1,2021-01-01 11:30:00,-0.2,-0.1
2021-01-02,2021-01-02 16:00:00,0.4,2021-01-02 12:00:00,-0.1,0.1
2021-01-03,2021-01-03 23:30:00,0,2021-01-03 11:30:00,-0.6,-0.1
2021-01-04,2021-01-04 23:00:00,0.2,2021-01-04 13:00:00,-0.3,-0.3
2021-01-05,2021-01-05 02:30:00,0.2,2021-01-05 12:00:00,-0.1,0
2021-01-06,2021-01-06 06:00:00,0,2021-01-06 11:30:00,0.1,0
2021-01-07,2021-01-07 09:00:00,0.3,2021-01-07 12:00:00,-0.1,0
2021-01-08,2021-01-08 00:00:00,0.1,2021-01-08 11:00:00,-0.1,0
2021-01-09,2021-01-09 21:00:00,0.2,2021-01-09 12:00:00,-1.1,-0.1
2021-01-10,2021-01-10 00:30:00,0,2021-01-10 11:30:00,-0.1,-0.3
2021-01-11,2021-01-11 00:00:00,0,2021-01-11 12:30:00,-0.1,0
2021-01-12,2021-01-12 21:30:00,-0.2,2021-01-12 11:00:00,-1,-0.1
2021-01-13,2021-01-13 14:00:00,0.2,2021-01-13 11:00:00,-0.4,-0.1
2021-01-14,2021-01-14 21:00:00,0.1,2021-01-14 11:30:00,-0.7,0
2021-01-15,2021-01-15 17:00:00,-0.3,2021-01-15 12:30:00,-0.8,-0.2
2021-01-16,2021-01-16 23:00:00,1.3,2021-01-16 10:30:00,-0.7,0.2
2021-01-17,2021-01-17 05:00:00,-1.5,2021-01-17 11:30:00,-0.4,-0.3
2021-01-19,2021-01-19 00:30:00,0.2,2021-01-19 10:30:00,0,0
2021-01-20,2021-01-20 00:00:00,0,2021-01-20 11:30:00,-0.2,-0.1
2021-01-21,2021-01-21 07:30:00,-1.3,2021-01-21 11:00:00,-0.1,-0.2
2021-01-22,2021-01-22 22:00:00,-0.3,2021-01-22 06:00:00,-0.1,0
2021-01-23,2021-01-23 21:30:00,0.2,2021-01-23 11:00:00,-0.2,0
2021-01-24,2021-01-24 23:00:00,0.2,2021-01-24 12:00:00,-0.2,0
2021-01-25,2021-01-25 04:00:00,0,2021-01-25 11:30:00,-0.1,0
2021-01-26,2021-01-26 02:30:00,0,2021-01-26 12:00:00,-0.4,0
2021-01-27,2021-01-27 01:30:00,0.4,2021-01-27 11:30:00,-0.3,-0.1
2021-01-28,2021-01-28 07:00:00,0.9,2021-01-28 11:30:00,-1.3,0
2021-01-29,2021-01-29 04:00:00,1.1,2021-01-29 12:00:00,-0.1,0.2
2021-01-30,2021-01-30 00:00:00,-1.6,2021-01-30 12:30:00,-0.1,-0.2
2021-01-31,2021-01-31 03:00:00,0.9,2021-01-31 13:00:00,-0.6,0
2021-02-01,2021-02-01 01:00:00,-0.5,2021-02-01 11:00:00,0.1,-0.3
2021-02-02,2021-02-02 01:00:00,-0.4,2021-02-02 12:30:00,-1.2,-0.3
2021-02-03,2021-02-03 03:00:00,1,2021-02-03 13:00:00,-0.3,-0.1
2021-02-04,2021-02-04 04:30:00,2.3,2021-02-04 12:30:00,-0.1,0.3
2021-02-05,2021-02-05 18:30:00,2.3,2021-02-05 12:00:00,-0.3,0.1
2021-02-06,2021-02-06 23:00:00,0.8,2021-02-06 12:00:00,-0.5,-0.1
2021-02-07,2021-02-07 07:30:00,3.8,2021-02-07 12:00:00,-0.3,0.1
2021-02-08,2021-02-08 07:00:00,-0.5,2021-02-08 12:00:00,-0.2,-0.1
2021-02-09,2021-02-09 23:30:00,0,2021-02-09 12:30:00,-0.5,-0.1
2021-02-10,2021-02-10 09:00:00,0.2,2021-02-10 13:00:00,0,-0.1
2021-02-11,2021-02-11 04:30:00,0.2,2021-02-11 13:30:00,0.1,-0.1
2021-02-14,2021-02-14 22:30:00,0.3,2021-02-14 12:30:00,0,0.3
2021-02-15,2021-02-15 00:00:00,0,2021-02-15 12:00:00,0,0
2021-02-16,2021-02-16 04:30:00,0,2021-02-16 12:00:00,-0.1,-0.1
2021-02-17,2021-02-17 21:00:00,-0.3,2021-02-17 12:30:00,-0.6,-0.2
2021-02-18,2021-02-18 03:00:00,-0.2,2021-02-18 11:30:00,-0.2,-0.2
2021-02-19,2021-02-19 21:00:00,0,2021-02-19 12:00:00,-0.6,-0.2
2021-02-20,2021-02-20 16:00:00,-0.4,2021-02-20 10:30:00,-0.1,-0.2
2021-02-21,2021-02-21 21:00:00,0,2021-02-21 11:30:00,-0.7,0
2021-02-22,2021-02-22 15:00:00,-0.6,2021-02-22 12:00:00,0,-0.2
2021-02-23,2021-02-23 06:00:00,-1.7,2021-02-23 11:30:00,-0.4,-0.3
2021-02-24,2021-02-24 00:00:00,-0.1,2021-02-24 12:00:00,-0.3,-0.1
2021-02-25,2021-02-25 23:00:00,-0.2,2021-02-25 12:00:00,0.4,-0.4
2021-02-26,2021-02-26 00:30:00,0,2021-02-26 11:00:00,-0.5,-0.4
2021-02-27,2021-02-27 06:00:00,-0.5,2021-02-27 12:00:00,-1.7,-0.7
2021-02-28,2021-02-28 16:30:00,-0.7,2021-02-28 12:30:00,-0.1,-0.2
2021-03-01,2021-03-01 02:30:00,0,2021-03-01 12:30:00,-1.3,-0.3
2021-03-02,2021-03-02 23:00:00,0.1,2021-03-02 13:00:00,-0.3,0
2021-03-03,2021-03-03 06:30:00,-0.1,2021-03-03 12:30:00,-0.7,-0.2
2021-03-04,2021-03-04 23:30:00,0,2021-03-04 13:30:00,-1.8,-0.2
2021-03-06,2021-03-06 00:00:00,0.4,2021-03-06 11:30:00,-0.5,-0.1
2021-03-07,2021-03-07 20:30:00,-0.2,2021-03-07 12:30:00,-2,-0.3
2021-03-08,2021-03-08 21:30:00,-1,2021-03-08 12:00:00,-3.3,-0.6
2021-03-09,2021-03-09 00:00:00,0.1,2021-03-09 12:00:00,-3,-0.4
2021-03-10,2021-03-10 02:30:00,-0.1,2021-03-10 11:30:00,-0.2,0
2021-03-11,2021-03-11 05:30:00,-0.1,2021-03-11 12:30:00,-0.3,-0.1
2021-03-12,2021-03-12 21:00:00,0,2021-03-12 11:30:00,-0.1,-0.1
2021-03-13,2021-03-13 18:00:00,-0.3,2021-03-13 09:30:00,-0.1,-0.2
2021-03-14,2021-03-14 01:00:00,0.1,2021-03-14 11:30:00,-1,-0.1
2021-03-15,2021-03-15 04:30:00,-0.5,2021-03-15 11:30:00,-0.6,-0.2
2021-03-16,2021-03-16 21:30:00,-0.5,2021-03-16 11:00:00,-2.2,-0.5
2021-03-17,2021-03-17 01:30:00,1,2021-03-17 10:30:00,0,0
2021-03-18,2021-03-18 01:00:00,0.1,2021-03-18 10:30:00,-0.7,-0.6
2021-03-19,2021-03-19 23:30:00,-0.7,2021-03-19 12:30:00,-2,-0.8
2021-03-20,2021-03-20 01:00:00,-0.2,2021-03-20 11:00:00,-0.2,0
2021-03-21,2021-03-21 00:00:00,-0.2,2021-03-21 12:00:00,0,-0.3
2021-03-22,2021-03-22 05:00:00,0.1,2021-03-22 11:30:00,-1.2,-0.3
2021-03-23,2021-03-23 05:30:00,0,2021-03-23 12:00:00,-0.3,-0.1
2021-03-24,2021-03-24 05:30:00,0.1,2021-03-24 11:30:00,-0.2,-0.1
2021-03-25,2021-03-25 04:30:00,0.2,2021-03-25 12:30:00,0.1,-0.2
2021-03-26,2021-03-26 05:00:00,-0.6,2021-03-26 10:30:00,-1.4,-0.4
2021-03-27,2021-03-27 19:00:00,-0.5,2021-03-27 10:00:00,0,-0.4
2021-03-28,2021-03-28 04:00:00,0,2021-03-28 10:30:00,-0.2,-0.2
