"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-01-01,2021-01-01 03:30:00,0.6,2021-01-01 13:00:00,0.6,0.4
2021-01-02,2021-01-02 03:30:00,0.2,2021-01-02 13:00:00,0.2,0.3
2021-01-03,2021-01-03 04:00:00,0.1,2021-01-03 13:00:00,0.1,0.2
2021-01-04,2021-01-04 02:00:00,0.4,2021-01-04 13:30:00,0,0.1
2021-01-05,2021-01-05 06:00:00,0.4,2021-01-05 12:00:00,0.4,0.1
2021-01-06,2021-01-06 09:30:00,-0.4,2021-01-06 13:00:00,-0.4,0.1
2021-01-07,2021-01-07 20:00:00,0.7,2021-01-07 13:00:00,0.1,0.1
2021-01-08,2021-01-08 21:00:00,0.4,2021-01-08 13:00:00,0.8,0.4
2021-01-09,2021-01-09 05:30:00,0.5,2021-01-09 12:00:00,0.9,0.5
2021-01-10,2021-01-10 01:30:00,0.3,2021-01-10 12:00:00,0.3,0.2
2021-01-11,2021-01-11 01:00:00,0.1,2021-01-11 12:30:00,0.2,0.1
2021-01-12,2021-01-12 18:00:00,0.1,2021-01-12 00:00:00,0,0.1
2021-01-13,2021-01-13 00:00:00,0.1,2021-01-13 12:30:00,0.2,0
2021-01-14,2021-01-14 22:30:00,0.6,2021-01-14 12:30:00,0.6,0.3
2021-01-15,2021-01-15 04:00:00,0.1,2021-01-15 13:00:00,0,0.1
2021-01-16,2021-01-16 21:30:00,0.3,2021-01-16 03:00:00,0.3,0.2
2021-01-17,2021-01-17 07:30:00,0.5,2021-01-17 13:00:00,0,0.2
2021-01-19,2021-01-19 02:30:00,0.1,2021-01-19 12:30:00,0.1,0.1
2021-01-20,2021-01-20 20:00:00,0.3,2021-01-20 01:00:00,0.1,0.1
2021-01-21,2021-01-21 20:30:00,0.8,2021-01-21 13:00:00,0.1,0.2
2021-01-22,2021-01-22 04:30:00,0.3,2021-01-22 13:00:00,0.5,0.2
2021-01-23,2021-01-23 23:00:00,0.1,2021-01-23 13:00:00,0.3,0.2
2021-01-24,2021-01-24 08:00:00,0.8,2021-01-24 12:00:00,0.1,0.2
2021-01-25,2021-01-25 08:30:00,0.1,2021-01-25 13:00:00,0.2,0.3
2021-01-26,2021-01-26 00:00:00,0.1,2021-01-26 12:30:00,0,0.1
2021-01-27,2021-01-27 08:00:00,0.3,2021-01-27 12:00:00,0.3,0.1
2021-01-28,2021-01-28 20:30:00,0.1,2021-01-28 11:30:00,0.2,0.1
2021-01-29,2021-01-29 04:30:00,0,2021-01-29 13:00:00,0.1,0.1
2021-01-30,2021-01-30 23:30:00,0.1,2021-01-30 00:00:00,0.1,0
2021-01-31,2021-01-31 20:30:00,0.3,2021-01-31 12:30:00,0,0
2021-02-01,2021-02-01 07:30:00,-0.3,2021-02-01 13:00:00,0,0
2021-02-02,2021-02-02 05:00:00,0.7,2021-02-02 12:00:00,0.1,0.1
2021-02-03,2021-02-03 08:30:00,0.1,2021-02-03 11:30:00,0.2,0.1
2021-02-04,2021-02-04 18:30:00,-0.4,2021-02-04 12:30:00,0,0
2021-02-05,2021-02-05 06:00:00,0.1,2021-02-05 14:00:00,0,0.1
2021-02-06,2021-02-06 00:30:00,0.6,2021-02-06 12:00:00,0,0.1
2021-02-07,2021-02-07 23:30:00,0,2021-02-07 11:30:00,0,0
2021-02-08,2021-02-08 23:30:00,0.1,2021-02-08 12:00:00,0,0
2021-02-09,2021-02-09 23:30:00,0.1,2021-02-09 12:00:00,0.1,0
2021-02-10,2021-02-10 23:30:00,0.3,2021-02-10 12:30:00,0.2,0.2
2021-02-11,2021-02-11 01:00:00,0.1,2021-02-11 12:30:00,0.1,0
2021-02-12,2021-02-12 23:00:00,0,2021-02-12 12:30:00,0.1,0
2021-02-13,2021-02-13 02:00:00,0,2021-02-13 13:00:00,0,0
2021-02-14,2021-02-14 23:30:00,0.3,2021-02-14 13:00:00,-0.1,0.1
