"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-01-01,2021-01-01 23:30:00,-0.1,2021-01-01 10:00:00,0,0.1
2021-01-02,2021-01-02 21:00:00,0.7,2021-01-02 11:00:00,1.3,0.7
2021-01-03,2021-01-03 06:00:00,-0.9,2021-01-03 11:00:00,0,0
2021-01-04,2021-01-04 18:00:00,-0.7,2021-01-04 11:00:00,0,-0.1
2021-01-05,2021-01-05 07:00:00,-0.5,2021-01-05 10:30:00,0.1,0.1
2021-01-06,2021-01-06 01:30:00,-0.2,2021-01-06 11:30:00,-0.1,0
2021-01-07,2021-01-07 00:30:00,0,2021-01-07 11:00:00,0,0
2021-01-08,2021-01-08 23:00:00,0.1,2021-01-08 10:30:00,-0.1,0
2021-01-09,2021-01-09 23:00:00,0.4,2021-01-09 11:00:00,0.1,0.1
2021-01-10,2021-01-10 18:30:00,0.2,2021-01-10 10:30:00,0.3,0.1
2021-01-11,2021-01-11 23:30:00,0.1,2021-01-11 11:00:00,0.1,0.1
2021-01-12,2021-01-12 14:00:00,-0.7,2021-01-12 10:30:00,0.1,0.1
2021-01-13,2021-01-13 23:00:00,0.3,2021-01-13 11:00:00,-0.2,0.1
2021-01-14,2021-01-14 23:30:00,0,2021-01-14 12:00:00,0.1,0
2021-01-15,2021-01-15 23:30:00,-0.1,2021-01-15 00:00:00,-0.1,0.5
2021-01-16,2021-01-16 23:00:00,3.8,2021-01-16 11:00:00,1.1,2.5
2021-01-17,2021-01-17 05:30:00,3.4,2021-01-17 11:00:00,1.7,2.7
2021-01-19,2021-01-19 23:30:00,3,2021-01-19 11:30:00,1.7,1.4
2021-01-20,2021-01-20 02:00:00,1.5,2021-01-20 11:00:00,0.2,0.1
2021-01-21,2021-01-21 02:30:00,-0.3,2021-01-21 11:30:00,-0.8,0.2
2021-01-22,2021-01-22 01:00:00,0.2,2021-01-22 11:00:00,0.2,0.3
2021-01-23,2021-01-23 04:00:00,0.1,2021-01-23 11:00:00,0.1,-0.6
2021-01-24,2021-01-24 01:30:00,0.2,2021-01-24 12:00:00,-0.2,-0.1
2021-01-25,2021-01-25 06:00:00,-0.1,2021-01-25 17:00:00,-0.1,-0.2
2021-01-26,2021-01-26 23:30:00,0.4,2021-01-26 00:00:00,-0.1,0.1
2021-01-27,2021-01-27 03:00:00,0.2,2021-01-27 10:30:00,0.1,0.1
2021-01-28,2021-01-28 23:30:00,0,2021-01-28 11:30:00,0,0.1
2021-01-29,2021-01-29 05:00:00,0,2021-01-29 12:00:00,0.6,0.3
2021-01-30,2021-01-30 06:00:00,0.2,2021-01-30 11:30:00,0.5,0.1
2021-01-31,2021-01-31 20:00:00,0.7,2021-01-31 11:00:00,0.4,1.1
2021-02-01,2021-02-01 04:00:00,-0.1,2021-02-01 11:30:00,-0.3,0.3
2021-02-02,2021-02-02 03:30:00,-0.4,2021-02-02 10:30:00,0.6,0.8
2021-02-03,2021-02-03 01:00:00,0.4,2021-02-03 11:30:00,-1.6,0
2021-02-04,2021-02-04 23:30:00,0,2021-02-04 11:30:00,-0.2,-0.1
2021-02-05,2021-02-05 23:30:00,1.8,2021-02-05 12:00:00,0.1,0.4
2021-02-06,2021-02-06 23:00:00,1.3,2021-02-06 10:30:00,0.5,0.6
2021-02-07,2021-02-07 06:30:00,-8.2,2021-02-07 12:30:00,-0.1,-0.5
2021-02-08,2021-02-08 02:00:00,0.7,2021-02-08 11:30:00,0.4,0.1
2021-02-09,2021-02-09 23:00:00,0.6,2021-02-09 11:00:00,-0.5,0
2021-02-10,2021-02-10 22:30:00,-1.5,2021-02-10 11:00:00,-0.6,-0.2
2021-02-11,2021-02-11 00:30:00,1,2021-02-11 11:30:00,-0.4,-0.1
2021-02-12,2021-02-12 23:00:00,-0.1,2021-02-12 00:00:00,0,0.2
2021-02-13,2021-02-13 05:00:00,-1.1,2021-02-13 11:00:00,-0.1,0.3
2021-02-14,2021-02-14 22:30:00,-1.1,2021-02-14 12:00:00,0.2,0.2
2021-02-15,2021-02-15 23:00:00,1.8,2021-02-15 10:30:00,0.9,0.4
2021-02-16,2021-02-16 22:00:00,2,2021-02-16 10:30:00,2.1,2.5
2021-02-17,2021-02-17 03:00:00,-1,2021-02-17 11:30:00,0,-0.1
2021-02-18,2021-02-18 23:00:00,2.6,2021-02-18 10:30:00,-0.8,0.4
2021-02-19,2021-02-19 04:30:00,2,2021-02-19 12:00:00,2.7,3.3
2021-02-20,2021-02-20 00:00:00,2.3,2021-02-20 11:00:00,-0.3,-0.1
2021-02-21,2021-02-21 05:00:00,-0.1,2021-02-21 11:00:00,-0.9,-0.1
2021-02-22,2021-02-22 04:30:00,0.2,2021-02-22 11:30:00,0.9,-0.4
2021-02-23,2021-02-23 03:00:00,0.5,2021-02-23 11:00:00,0,0.1
2021-02-24,2021-02-24 00:30:00,0.2,2021-02-24 11:30:00,-0.4,0.1
2021-02-25,2021-02-25 00:00:00,0,2021-02-25 11:30:00,3.5,1
2021-02-26,2021-02-26 03:30:00,0.6,2021-02-26 12:00:00,1.6,0.3
2021-02-27,2021-02-27 23:30:00,0.1,2021-02-27 11:00:00,0,-0.1
2021-02-28,2021-02-28 22:00:00,0.1,2021-02-28 12:00:00,-0.3,0
2021-03-01,2021-03-01 05:00:00,-0.2,2021-03-01 10:30:00,-0.1,0
2021-03-02,2021-03-02 00:00:00,0.1,2021-03-02 11:30:00,0,0.1
