"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-01-01,2021-01-01 18:30:00,0.6,2021-01-01 14:30:00,0.7,0.3
2021-01-02,2021-01-02 07:30:00,0.2,2021-01-02 13:30:00,0.5,0.4
2021-01-03,2021-01-03 23:30:00,1,2021-01-03 12:00:00,0.4,0.5
2021-01-04,2021-01-04 22:30:00,1.6,2021-01-04 12:00:00,1.7,0.6
2021-01-05,2021-01-05 00:00:00,1.2,2021-01-05 13:00:00,0.5,0.4
2021-01-06,2021-01-06 06:30:00,0.4,2021-01-06 13:00:00,0.2,0.5
2021-01-07,2021-01-07 08:00:00,0.8,2021-01-07 13:30:00,0.4,0.5
2021-01-08,2021-01-08 07:30:00,0.7,2021-01-08 14:00:00,0.5,0.4
2021-01-09,2021-01-09 08:00:00,0.1,2021-01-09 13:00:00,0.2,0.3
2021-01-10,2021-01-10 04:30:00,0.6,2021-01-10 13:00:00,0.7,0.4
2021-01-11,2021-01-11 08:00:00,0.2,2021-01-11 13:30:00,0.6,0.5
2021-01-12,2021-01-12 07:30:00,0.2,2021-01-12 13:00:00,0.6,0.3
2021-01-13,2021-01-13 07:00:00,0.2,2021-01-13 13:30:00,0.3,0.1
2021-01-14,2021-01-14 01:00:00,-0.1,2021-01-14 12:30:00,0.8,0.2
2021-01-15,2021-01-15 07:30:00,0.1,2021-01-15 13:00:00,0.8,0.4
2021-01-16,2021-01-16 23:30:00,0.4,2021-01-16 13:30:00,0.6,0.3
2021-01-17,2021-01-17 08:00:00,-0.4,2021-01-17 13:30:00,0.8,0.2
2021-01-19,2021-01-19 00:30:00,0.4,2021-01-19 11:30:00,0.3,0.1
2021-01-20,2021-01-20 22:00:00,0.4,2021-01-20 11:30:00,0.3,0.3
2021-01-21,2021-01-21 05:30:00,0.4,2021-01-21 12:00:00,0.4,0
2021-01-22,2021-01-22 23:30:00,0.1,2021-01-22 13:00:00,0.4,0.2
2021-01-23,2021-01-23 00:00:00,0.8,2021-01-23 14:00:00,0,0.1
2021-01-24,2021-01-24 23:30:00,-0.6,2021-01-24 11:30:00,0.2,0
2021-01-25,2021-01-25 23:00:00,-0.3,2021-01-25 12:00:00,0.1,0.3
2021-01-26,2021-01-26 18:30:00,-0.4,2021-01-26 12:30:00,0.5,0.1
2021-01-27,2021-01-27 22:30:00,0.1,2021-01-27 11:00:00,-0.2,0.1
2021-01-28,2021-01-28 05:30:00,0,2021-01-28 13:00:00,-0.2,0
2021-01-29,2021-01-29 19:30:00,0.1,2021-01-29 11:30:00,-0.3,-0.1
2021-01-30,2021-01-30 23:00:00,-0.3,2021-01-30 13:00:00,0.7,0.3
2021-01-31,2021-01-31 04:30:00,0.4,2021-01-31 13:00:00,0.5,0.2
2021-02-01,2021-02-01 23:30:00,0.3,2021-02-01 13:00:00,0.1,0.3
2021-02-02,2021-02-02 18:30:00,0.1,2021-02-02 12:30:00,0.7,0
2021-02-03,2021-02-03 01:30:00,-1.3,2021-02-03 12:00:00,1.1,0.1
2021-02-05,2021-02-05 06:30:00,0.5,2021-02-05 12:00:00,0.2,0.3
