"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-01-01,2021-01-01 23:30:00,-0.2,2021-01-01 12:00:00,-0.3,-0.3
2021-01-02,2021-01-02 06:00:00,-0.1,2021-01-02 23:30:00,-0.1,0
2021-01-03,2021-01-03 06:30:00,0.1,2021-01-03 10:30:00,0,-0.1
2021-01-04,2021-01-04 07:00:00,-0.9,2021-01-04 10:30:00,0.1,-0.1
2021-01-05,2021-01-05 21:00:00,0.1,2021-01-05 10:00:00,0.1,0
2021-01-06,2021-01-06 06:00:00,0.1,2021-01-06 11:00:00,0.1,0
2021-01-07,2021-01-07 00:00:00,0,2021-01-07 11:00:00,0.1,0
2021-01-08,2021-01-08 23:30:00,-0.1,2021-01-08 10:30:00,0.2,-0.1
2021-01-09,2021-01-09 22:00:00,0.1,2021-01-09 10:30:00,0.4,0
2021-01-10,2021-01-10 14:00:00,0.4,2021-01-10 11:00:00,0.4,-0.2
2021-01-11,2021-01-11 03:00:00,0.4,2021-01-11 11:00:00,0.3,0.2
2021-01-12,2021-01-12 02:00:00,0.8,2021-01-12 11:00:00,0.1,0
2021-01-13,2021-01-13 23:30:00,0.1,2021-01-13 10:30:00,0,0.1
2021-01-14,2021-01-14 16:30:00,-3.6,2021-01-14 12:00:00,0.1,0
2021-01-15,2021-01-15 22:30:00,0.6,2021-01-15 00:30:00,0.2,1.2
2021-01-16,2021-01-16 22:30:00,1.4,2021-01-16 11:30:00,4.2,2.3
2021-01-17,2021-01-17 00:30:00,-1.5,2021-01-17 11:00:00,0.1,0.3
2021-01-19,2021-01-19 00:00:00,0.2,2021-01-19 12:00:00,0.5,1.1
2021-01-20,2021-01-20 00:00:00,0.5,2021-01-20 23:30:00,0,0.5
2021-01-21,2021-01-21 00:00:00,0.1,2021-01-21 11:00:00,0.3,-0.2
2021-01-22,2021-01-22 03:00:00,1.4,2021-01-22 11:30:00,0.6,0.4
2021-01-23,2021-01-23 18:00:00,0.1,2021-01-23 11:00:00,2.6,0.5
2021-01-24,2021-01-24 02:00:00,0,2021-01-24 11:00:00,0,-0.1
2021-01-25,2021-01-25 07:00:00,0.1,2021-01-25 11:30:00,-0.7,-0.1
2021-01-26,2021-01-26 23:30:00,-0.1,2021-01-26 11:30:00,0.2,0
2021-01-27,2021-01-27 06:00:00,0,2021-01-27 11:30:00,0.7,-0.1
2021-01-28,2021-01-28 23:30:00,-0.8,2021-01-28 10:30:00,0.2,-0.2
2021-01-29,2021-01-29 05:00:00,-0.6,2021-01-29 12:00:00,0.4,-0.2
2021-01-30,2021-01-30 07:00:00,-0.1,2021-01-30 12:00:00,0.3,0.1
2021-01-31,2021-01-31 04:00:00,-0.1,2021-01-31 11:30:00,0.2,0
2021-02-01,2021-02-01 21:30:00,1.9,2021-02-01 11:30:00,2,2.2
2021-02-02,2021-02-02 01:00:00,2.1,2021-02-02 23:30:00,0.1,0.2
2021-02-03,2021-02-03 00:00:00,0.1,2021-02-03 11:30:00,-0.4,-0.1
2021-02-04,2021-02-04 23:30:00,-0.2,2021-02-04 00:00:00,-0.2,-0.1
2021-02-05,2021-02-05 23:30:00,-0.3,2021-02-05 11:00:00,0.6,0.3
2021-02-06,2021-02-06 23:30:00,1.2,2021-02-06 10:30:00,2.7,1.5
2021-02-07,2021-02-07 18:30:00,-4.9,2021-02-07 10:30:00,-0.2,0.9
2021-02-08,2021-02-08 05:00:00,1.1,2021-02-08 23:30:00,0.1,0.4
2021-02-10,2021-02-10 06:30:00,0.1,2021-02-10 12:00:00,0.2,0.1
2021-02-11,2021-02-11 03:00:00,-0.1,2021-02-11 10:00:00,0.6,0
2021-02-12,2021-02-12 02:00:00,-0.1,2021-02-12 11:00:00,-0.1,-0.1
2021-02-13,2021-02-13 05:30:00,-0.1,2021-02-13 23:30:00,0.3,0.1
2021-02-14,2021-02-14 16:00:00,-3.4,2021-02-14 10:30:00,0.8,0.2
2021-02-15,2021-02-15 23:00:00,4.6,2021-02-15 10:30:00,0.7,0.6
2021-02-16,2021-02-16 01:00:00,2.2,2021-02-16 10:30:00,4.3,-0.1
2021-02-17,2021-02-17 03:00:00,-1.9,2021-02-17 11:00:00,1,-0.8
2021-02-18,2021-02-18 22:00:00,0.8,2021-02-18 12:00:00,2.9,1.3
2021-02-20,2021-02-20 00:00:00,0.1,2021-02-20 11:30:00,-0.1,0.2
2021-02-21,2021-02-21 23:30:00,0.3,2021-02-21 11:00:00,-0.2,0.1
2021-02-24,2021-02-24 00:00:00,1.1,2021-02-24 11:30:00,0.2,0.2
2021-02-26,2021-02-26 21:00:00,0.3,2021-02-26 09:30:00,0.4,0.2
2021-02-27,2021-02-27 23:30:00,0.2,2021-02-27 10:30:00,-1,0
2021-02-28,2021-02-28 04:00:00,0.1,2021-02-28 11:00:00,-0.2,0.1
2021-03-01,2021-03-01 01:00:00,0.1,2021-03-01 10:00:00,1.3,0.1
2021-03-02,2021-03-02 23:30:00,0.1,2021-03-02 11:30:00,0.1,-0.3
2021-03-03,2021-03-03 05:00:00,0,2021-03-03 12:30:00,2.1,1.8
2021-03-04,2021-03-04 23:30:00,0.7,2021-03-04 11:30:00,0.3,0.1
2021-03-06,2021-03-06 03:00:00,-0.3,2021-03-06 10:00:00,1.4,0
2021-03-07,2021-03-07 23:00:00,-0.2,2021-03-07 12:00:00,0.2,0.1
2021-03-08,2021-03-08 21:00:00,-0.1,2021-03-08 10:30:00,0.6,0.1
2021-03-09,2021-03-09 22:00:00,0.7,2021-03-09 11:30:00,2,-0.2
2021-03-10,2021-03-10 01:30:00,0.6,2021-03-10 11:00:00,1.7,0.5
2021-03-12,2021-03-12 01:00:00,0,2021-03-12 13:00:00,0.9,0.2
2021-03-13,2021-03-13 04:30:00,0,2021-03-13 12:00:00,0.4,0.1
2021-03-14,2021-03-14 23:00:00,-0.1,2021-03-14 11:00:00,1,0.1
2021-03-15,2021-03-15 22:00:00,-0.1,2021-03-15 11:30:00,0.9,0
2021-03-16,2021-03-16 03:00:00,-0.1,2021-03-16 11:00:00,1.6,0.3
2021-03-17,2021-03-17 23:30:00,-0.2,2021-03-17 11:30:00,0.8,0.3
2021-03-18,2021-03-18 23:30:00,0.2,2021-03-18 10:00:00,1.2,0.4
2021-03-19,2021-03-19 22:00:00,0.5,2021-03-19 10:30:00,-0.3,0.2
2021-03-20,2021-03-20 21:00:00,0.1,2021-03-20 09:30:00,3.5,0.3
2021-03-21,2021-03-21 00:00:00,0,2021-03-21 11:00:00,0.4,0.2
2021-03-22,2021-03-22 03:30:00,-0.1,2021-03-22 09:30:00,1.2,0.4
2021-03-23,2021-03-23 02:00:00,0.4,2021-03-23 12:00:00,3.1,1.1
2021-03-25,2021-03-25 01:30:00,0.1,2021-03-25 10:30:00,0.7,0.5
