"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-01-01,2021-01-01 00:30:00,-0.4,2021-01-01 10:30:00,0.1,-0.2
2021-01-02,2021-01-02 22:00:00,0.3,2021-01-02 10:30:00,0.2,0
2021-01-03,2021-01-03 06:00:00,-1,2021-01-03 10:00:00,0.3,0
2021-01-04,2021-01-04 16:30:00,-0.2,2021-01-04 10:00:00,0.3,0
2021-01-05,2021-01-05 23:30:00,0.1,2021-01-05 10:00:00,0.4,0
2021-01-06,2021-01-06 12:30:00,0.1,2021-01-06 10:30:00,-0.2,-0.1
2021-01-07,2021-01-07 20:00:00,-0.5,2021-01-07 10:30:00,-0.4,-0.4
2021-01-08,2021-01-08 23:30:00,0.4,2021-01-08 10:00:00,-0.4,-0.5
2021-01-09,2021-01-09 04:00:00,-1.5,2021-01-09 10:00:00,0.2,-0.2
2021-01-10,2021-01-10 23:30:00,0.1,2021-01-10 00:00:00,0.2,0
2021-01-11,2021-01-11 19:00:00,-0.3,2021-01-11 10:30:00,-0.1,-0.2
2021-01-12,2021-01-12 16:30:00,-2.7,2021-01-12 10:30:00,-0.4,-1.1
2021-01-13,2021-01-13 23:30:00,-0.6,2021-01-13 10:00:00,-0.6,-0.9
2021-01-14,2021-01-14 21:30:00,0.2,2021-01-14 10:30:00,-0.1,-0.1
2021-01-15,2021-01-15 04:00:00,1.8,2021-01-15 09:30:00,0,0.3
2021-01-16,2021-01-16 21:30:00,-1.7,2021-01-16 10:30:00,0.2,0.1
2021-01-17,2021-01-17 21:30:00,1.5,2021-01-17 10:30:00,-0.1,1.6
2021-01-19,2021-01-19 05:30:00,-1.2,2021-01-19 10:00:00,-0.3,-0.2
2021-01-20,2021-01-20 06:00:00,0.2,2021-01-20 11:00:00,0.8,0.8
2021-01-21,2021-01-21 03:30:00,1,2021-01-21 19:30:00,-0.9,-0.9
2021-01-22,2021-01-22 02:00:00,-6.1,2021-01-22 10:30:00,0.5,-1.7
2021-01-23,2021-01-23 02:30:00,-0.8,2021-01-23 10:30:00,0.4,-0.1
2021-01-24,2021-01-24 05:30:00,0.3,2021-01-24 10:30:00,0.2,-0.2
2021-01-25,2021-01-25 06:00:00,0.1,2021-01-25 00:00:00,0.1,0.2
2021-01-26,2021-01-26 05:00:00,-0.1,2021-01-26 10:30:00,0.1,0
2021-01-27,2021-01-27 23:00:00,-0.1,2021-01-27 10:30:00,0.4,0.2
2021-01-28,2021-01-28 00:00:00,-0.6,2021-01-28 10:30:00,0.6,-0.2
2021-01-29,2021-01-29 23:30:00,0.5,2021-01-29 08:30:00,0.7,0.1
2021-01-30,2021-01-30 23:30:00,0.1,2021-01-30 10:30:00,0.3,0.1
2021-01-31,2021-01-31 05:00:00,-0.1,2021-01-31 10:00:00,0.5,0.1
2021-02-01,2021-02-01 23:30:00,5,2021-02-01 09:00:00,1.3,1.4
2021-02-02,2021-02-02 02:30:00,4.8,2021-02-02 10:30:00,3.1,2.7
2021-02-03,2021-02-03 01:30:00,0.3,2021-02-03 23:30:00,0.1,0
2021-02-04,2021-02-04 23:30:00,0,2021-02-04 12:00:00,0.1,-0.2
2021-02-05,2021-02-05 23:30:00,-0.8,2021-02-05 10:30:00,1.4,0.1
2021-02-06,2021-02-06 23:30:00,2.2,2021-02-06 10:00:00,0.6,0.7
2021-02-07,2021-02-07 02:30:00,-2.5,2021-02-07 10:30:00,1,0.5
2021-02-08,2021-02-08 23:30:00,-0.4,2021-02-08 11:00:00,1.2,1.7
2021-02-09,2021-02-09 04:30:00,4.7,2021-02-09 11:00:00,0.2,-0.5
2021-02-10,2021-02-10 23:30:00,1.8,2021-02-10 10:00:00,1.2,1.3
2021-02-11,2021-02-11 02:30:00,-0.1,2021-02-11 11:00:00,-0.2,-0.4
2021-02-12,2021-02-12 00:00:00,-0.1,2021-02-12 10:30:00,0.6,0
2021-02-13,2021-02-13 23:30:00,-0.2,2021-02-13 11:00:00,-0.1,0.2
2021-02-14,2021-02-14 01:30:00,-1.2,2021-02-14 09:30:00,0.2,0.6
