"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-01-01,2021-01-01 21:00:00,NA,2021-01-01 12:00:00,NA,NA
2021-01-02,2021-01-02 07:00:00,NA,2021-01-02 12:30:00,NA,NA
2021-01-03,2021-01-03 02:00:00,NA,2021-01-03 12:00:00,NA,NA
2021-01-04,2021-01-04 04:30:00,NA,2021-01-04 12:00:00,NA,NA
2021-01-05,2021-01-05 00:00:00,NA,2021-01-05 13:00:00,NA,NA
2021-01-06,2021-01-06 23:00:00,NA,2021-01-06 12:30:00,NA,NA
2021-01-07,2021-01-07 23:00:00,NA,2021-01-07 13:30:00,NA,NA
2021-01-08,2021-01-08 06:30:00,NA,2021-01-08 13:00:00,NA,NA
2021-01-09,2021-01-09 23:30:00,NA,2021-01-09 12:30:00,NA,NA
2021-01-10,2021-01-10 00:30:00,NA,2021-01-10 13:00:00,NA,NA
2021-01-11,2021-01-11 03:00:00,NA,2021-01-11 12:30:00,NA,NA
2021-01-12,2021-01-12 23:30:00,NA,2021-01-12 13:00:00,NA,NA
2021-01-13,2021-01-13 20:30:00,NA,2021-01-13 12:00:00,NA,NA
2021-01-14,2021-01-14 23:30:00,NA,2021-01-14 13:30:00,NA,NA
2021-01-15,2021-01-15 23:00:00,NA,2021-01-15 12:00:00,NA,NA
2021-01-16,2021-01-16 04:00:00,NA,2021-01-16 21:30:00,NA,NA
2021-01-17,2021-01-17 00:30:00,NA,2021-01-17 11:30:00,NA,NA
2021-01-19,2021-01-19 00:30:00,NA,2021-01-19 12:30:00,NA,NA
2021-01-20,2021-01-20 00:30:00,NA,2021-01-20 12:30:00,NA,NA
2021-01-21,2021-01-21 08:00:00,NA,2021-01-21 11:30:00,NA,NA
2021-01-22,2021-01-22 18:00:00,NA,2021-01-22 12:30:00,NA,NA
2021-01-23,2021-01-23 04:30:00,NA,2021-01-23 13:00:00,NA,NA
2021-01-24,2021-01-24 06:00:00,NA,2021-01-24 10:00:00,NA,NA
2021-01-25,2021-01-25 22:00:00,NA,2021-01-25 12:30:00,NA,NA
2021-01-26,2021-01-26 04:30:00,NA,2021-01-26 13:00:00,NA,NA
2021-01-27,2021-01-27 01:30:00,NA,2021-01-27 13:30:00,NA,NA
2021-01-28,2021-01-28 08:00:00,NA,2021-01-28 13:00:00,NA,NA
2021-01-29,2021-01-29 23:00:00,NA,2021-01-29 11:00:00,NA,NA
2021-01-30,2021-01-30 00:00:00,NA,2021-01-30 12:00:00,NA,NA
2021-01-31,2021-01-31 06:00:00,NA,2021-01-31 12:30:00,NA,NA
2021-02-01,2021-02-01 16:00:00,NA,2021-02-01 11:30:00,NA,NA
2021-02-02,2021-02-02 00:00:00,NA,2021-02-02 13:00:00,NA,NA
2021-02-03,2021-02-03 23:30:00,NA,2021-02-03 11:30:00,NA,NA
2021-02-04,2021-02-04 05:00:00,NA,2021-02-04 13:00:00,NA,NA
2021-02-05,2021-02-05 07:00:00,NA,2021-02-05 12:00:00,NA,NA
2021-02-06,2021-02-06 06:00:00,NA,2021-02-06 11:00:00,NA,NA
2021-02-07,2021-02-07 23:30:00,NA,2021-02-07 01:30:00,NA,NA
2021-02-08,2021-02-08 07:30:00,NA,2021-02-08 12:00:00,NA,NA
2021-02-09,2021-02-09 07:30:00,NA,2021-02-09 13:00:00,NA,NA
2021-02-10,2021-02-10 08:00:00,NA,2021-02-10 13:00:00,NA,NA
2021-02-11,2021-02-11 04:30:00,NA,2021-02-11 13:00:00,NA,NA
2021-02-12,2021-02-12 01:30:00,NA,2021-02-12 13:00:00,NA,NA
2021-02-13,2021-02-13 07:30:00,NA,2021-02-13 13:00:00,NA,NA
2021-02-14,2021-02-14 03:00:00,NA,2021-02-14 12:00:00,NA,NA
2021-02-15,2021-02-15 00:00:00,NA,2021-02-15 12:30:00,NA,NA
2021-02-16,2021-02-16 04:30:00,NA,2021-02-16 12:00:00,NA,NA
2021-02-17,2021-02-17 03:30:00,NA,2021-02-17 13:00:00,NA,NA
2021-02-18,2021-02-18 22:30:00,NA,2021-02-18 13:00:00,NA,NA
2021-02-19,2021-02-19 02:30:00,NA,2021-02-19 12:30:00,NA,NA
2021-02-20,2021-02-20 05:00:00,NA,2021-02-20 13:00:00,NA,NA
2021-02-21,2021-02-21 06:30:00,NA,2021-02-21 13:30:00,NA,NA
2021-02-22,2021-02-22 05:00:00,NA,2021-02-22 12:00:00,NA,NA
2021-02-23,2021-02-23 07:00:00,NA,2021-02-23 12:00:00,NA,NA
2021-02-24,2021-02-24 22:30:00,NA,2021-02-24 12:30:00,NA,NA
2021-02-25,2021-02-25 03:30:00,NA,2021-02-25 13:00:00,NA,NA
2021-02-26,2021-02-26 23:30:00,NA,2021-02-26 11:00:00,NA,NA
2021-02-27,2021-02-27 06:00:00,NA,2021-02-27 12:30:00,NA,NA
