"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-01-01,2021-01-01 23:30:00,4,2021-01-01 11:00:00,7.1,6
2021-01-02,2021-01-02 00:00:00,5.3,2021-01-02 12:00:00,6.1,5.8
2021-01-03,2021-01-03 06:00:00,5.9,2021-01-03 10:00:00,7.5,5.9
2021-01-04,2021-01-04 22:00:00,2.6,2021-01-04 10:30:00,5.1,5.6
2021-01-05,2021-01-05 06:30:00,4.7,2021-01-05 11:30:00,4.9,6.2
2021-01-06,2021-01-06 03:00:00,5.6,2021-01-06 12:00:00,4.7,5.3
2021-01-07,2021-01-07 06:00:00,6.2,2021-01-07 11:30:00,6.2,5.8
2021-01-08,2021-01-08 23:30:00,6.6,2021-01-08 11:00:00,5.5,5.2
2021-01-09,2021-01-09 01:00:00,5.9,2021-01-09 11:00:00,6.2,5.8
2021-01-10,2021-01-10 00:00:00,7.4,2021-01-10 11:30:00,6.1,5.6
2021-01-11,2021-01-11 05:30:00,4.7,2021-01-11 12:00:00,8.8,6.3
2021-01-12,2021-01-12 22:30:00,6.3,2021-01-12 10:30:00,6.7,5.7
2021-01-13,2021-01-13 23:00:00,5.3,2021-01-13 11:00:00,7.7,6.3
2021-01-14,2021-01-14 06:30:00,5,2021-01-14 11:00:00,6.7,5.8
2021-01-15,2021-01-15 19:30:00,6.3,2021-01-15 12:00:00,8.2,6.9
2021-01-16,2021-01-16 22:00:00,4.7,2021-01-16 11:00:00,8,6.8
2021-01-17,2021-01-17 06:00:00,6.4,2021-01-17 11:30:00,7.4,5.9
2021-01-19,2021-01-19 00:30:00,3.7,2021-01-19 12:00:00,6.3,4.2
2021-01-20,2021-01-20 00:00:00,6.3,2021-01-20 10:30:00,4.9,5.2
2021-01-21,2021-01-21 06:30:00,3.3,2021-01-21 12:00:00,7.7,4.7
2021-01-22,2021-01-22 00:30:00,4.9,2021-01-22 12:00:00,5.1,4.8
2021-01-23,2021-01-23 22:30:00,5.5,2021-01-23 12:30:00,5.1,5
2021-01-24,2021-01-24 00:00:00,5.4,2021-01-24 12:00:00,4.9,5.1
2021-01-25,2021-01-25 05:00:00,4,2021-01-25 10:00:00,7.5,5.6
2021-01-26,2021-01-26 21:30:00,4,2021-01-26 11:30:00,7.3,5.9
2021-01-27,2021-01-27 21:30:00,5.8,2021-01-27 11:00:00,9.5,6.3
2021-01-28,2021-01-28 06:00:00,4.1,2021-01-28 11:30:00,8.9,5.9
2021-01-29,2021-01-29 00:00:00,4.8,2021-01-29 11:00:00,6,4.9
2021-01-30,2021-01-30 05:30:00,4.9,2021-01-30 12:00:00,4.2,5.3
2021-01-31,2021-01-31 23:00:00,4.2,2021-01-31 11:00:00,5.3,5.1
2021-02-01,2021-02-01 01:30:00,5.3,2021-02-01 11:00:00,3.2,4.8
