"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-01-01,2021-01-01 02:30:00,0.7,2021-01-01 13:00:00,2.2,1.4
2021-01-02,2021-01-02 22:30:00,1.3,2021-01-02 11:00:00,2.1,1.4
2021-01-03,2021-01-03 05:30:00,1.5,2021-01-03 12:00:00,1.5,1.3
2021-01-04,2021-01-04 05:30:00,1.8,2021-01-04 11:30:00,2.6,1.5
2021-01-05,2021-01-05 23:30:00,0.9,2021-01-05 11:30:00,2.8,1.3
2021-01-06,2021-01-06 23:30:00,0.6,2021-01-06 10:00:00,2.2,1.1
2021-01-07,2021-01-07 04:00:00,0.2,2021-01-07 10:30:00,1.9,1
2021-01-08,2021-01-08 23:30:00,0.6,2021-01-08 12:30:00,1.1,0.7
2021-01-09,2021-01-09 16:00:00,0.3,2021-01-09 12:00:00,1.4,0.7
2021-01-10,2021-01-10 21:00:00,1.3,2021-01-10 12:00:00,0.1,0.2
2021-01-11,2021-01-11 22:00:00,-0.1,2021-01-11 10:30:00,1,0.2
2021-01-12,2021-01-12 23:30:00,0.5,2021-01-12 12:00:00,1.7,0.6
2021-01-13,2021-01-13 05:00:00,0.1,2021-01-13 12:00:00,1.8,0.8
2021-01-14,2021-01-14 01:30:00,-0.2,2021-01-14 12:30:00,1.9,1
2021-01-15,2021-01-15 23:30:00,1,2021-01-15 12:30:00,1.9,0.9
2021-01-16,2021-01-16 23:00:00,1.1,2021-01-16 12:00:00,1.9,1.3
2021-01-17,2021-01-17 02:00:00,0.1,2021-01-17 13:00:00,1.2,0.6
2021-01-19,2021-01-19 05:00:00,-0.2,2021-01-19 12:00:00,2,0.8
2021-01-20,2021-01-20 06:30:00,0.4,2021-01-20 11:30:00,1.4,1.4
2021-01-21,2021-01-21 00:30:00,1.7,2021-01-21 11:00:00,2,1.6
2021-01-22,2021-01-22 05:00:00,1.3,2021-01-22 10:30:00,1.6,1.5
2021-01-23,2021-01-23 18:30:00,1.5,2021-01-23 11:00:00,2.5,1.8
2021-01-24,2021-01-24 23:30:00,0.9,2021-01-24 13:00:00,2.7,1.5
2021-01-25,2021-01-25 03:00:00,0.4,2021-01-25 12:30:00,2.1,1.4
2021-01-26,2021-01-26 23:30:00,0.6,2021-01-26 12:00:00,2.1,1.4
2021-01-27,2021-01-27 06:30:00,0.1,2021-01-27 12:00:00,2.3,1.1
2021-01-28,2021-01-28 04:30:00,0.3,2021-01-28 11:30:00,1.5,0.7
2021-01-29,2021-01-29 04:30:00,0.3,2021-01-29 12:00:00,2.1,1
2021-01-30,2021-01-30 06:30:00,0.3,2021-01-30 12:00:00,1.6,1.2
2021-01-31,2021-01-31 21:00:00,0.4,2021-01-31 12:00:00,2.7,1.5
2021-02-01,2021-02-01 05:30:00,0.7,2021-02-01 12:00:00,2,1.4
2021-02-02,2021-02-02 02:00:00,2.7,2021-02-02 12:00:00,2.3,1.3
2021-02-03,2021-02-03 06:00:00,0.1,2021-02-03 12:00:00,2.5,1.2
2021-02-05,2021-02-05 05:30:00,0.1,2021-02-05 10:30:00,2,0.7
2021-02-06,2021-02-06 04:00:00,-0.4,2021-02-06 10:30:00,1.9,0.9
2021-02-07,2021-02-07 22:30:00,1.2,2021-02-07 10:30:00,1.3,1.2
2021-02-08,2021-02-08 06:30:00,1.9,2021-02-08 10:30:00,1.9,1.5
2021-02-09,2021-02-09 06:00:00,1.6,2021-02-09 11:30:00,3.2,1.8
2021-02-10,2021-02-10 23:30:00,1.6,2021-02-10 12:00:00,1.6,1.4
2021-02-11,2021-02-11 05:30:00,0.8,2021-02-11 12:00:00,2.6,1.5
2021-02-12,2021-02-12 04:30:00,0.2,2021-02-12 12:00:00,1.6,0.8
2021-02-13,2021-02-13 23:30:00,1,2021-02-13 11:30:00,1.1,1.5
2021-02-14,2021-02-14 04:30:00,1.4,2021-02-14 12:00:00,3.1,1.7
2021-02-15,2021-02-15 04:30:00,0.9,2021-02-15 12:30:00,2.6,1.5
2021-02-16,2021-02-16 04:30:00,0.5,2021-02-16 11:00:00,2.9,1.4
2021-02-17,2021-02-17 00:30:00,0.6,2021-02-17 11:30:00,2.5,1
2021-02-18,2021-02-18 23:00:00,0.7,2021-02-18 12:00:00,3,1.5
2021-02-19,2021-02-19 03:00:00,0.5,2021-02-19 12:00:00,1.5,1.3
2021-02-20,2021-02-20 23:30:00,0.6,2021-02-20 12:00:00,2.7,1.6
2021-02-21,2021-02-21 04:30:00,0.1,2021-02-21 12:00:00,1.7,1
2021-02-22,2021-02-22 04:00:00,0.4,2021-02-22 12:30:00,1.6,1
2021-02-23,2021-02-23 06:00:00,0.6,2021-02-23 12:00:00,2.5,1.3
2021-02-24,2021-02-24 04:30:00,0.1,2021-02-24 12:00:00,1.7,0.8
2021-02-25,2021-02-25 05:30:00,-0.1,2021-02-25 12:00:00,1.6,0.6
2021-02-26,2021-02-26 04:30:00,0.6,2021-02-26 12:00:00,1.4,0.6
2021-02-27,2021-02-27 23:30:00,0.3,2021-02-27 11:30:00,1.4,1
2021-02-28,2021-02-28 05:00:00,-0.4,2021-02-28 12:00:00,2.4,1.1
2021-03-01,2021-03-01 05:00:00,0.7,2021-03-01 12:00:00,2.6,1.6
2021-03-02,2021-03-02 22:00:00,1.8,2021-03-02 12:00:00,2.1,1.3
2021-03-03,2021-03-03 04:30:00,0.3,2021-03-03 12:00:00,2.6,1.2
2021-03-04,2021-03-04 04:30:00,0.4,2021-03-04 10:30:00,4.7,1.8
2021-03-06,2021-03-06 05:30:00,1.4,2021-03-06 10:30:00,3.8,1.8
2021-03-07,2021-03-07 04:00:00,0.6,2021-03-07 11:30:00,3.5,1.2
2021-03-08,2021-03-08 23:00:00,0.9,2021-03-08 12:00:00,1.3,1.3
2021-03-09,2021-03-09 19:30:00,1.4,2021-03-09 12:00:00,2.4,1.2
2021-03-10,2021-03-10 23:30:00,1.3,2021-03-10 12:00:00,2.1,1.3
2021-03-11,2021-03-11 05:00:00,0.7,2021-03-11 11:30:00,2.9,1.4
2021-03-12,2021-03-12 02:00:00,1.3,2021-03-12 12:00:00,1.9,1.4
2021-03-13,2021-03-13 23:00:00,1.1,2021-03-13 11:30:00,3.2,1.7
2021-03-14,2021-03-14 21:30:00,1.5,2021-03-14 12:00:00,2.8,1.6
2021-03-15,2021-03-15 05:00:00,1.3,2021-03-15 12:00:00,2.6,2
2021-03-16,2021-03-16 04:00:00,0.5,2021-03-16 11:30:00,3,1.7
2021-03-17,2021-03-17 05:30:00,-0.1,2021-03-17 10:30:00,4.6,1.2
2021-03-18,2021-03-18 03:30:00,1.3,2021-03-18 12:00:00,2.3,1.7
