"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-01-01,2021-01-01 04:00:00,0.1,2021-01-01 11:30:00,2.4,0.7
2021-01-02,2021-01-02 00:00:00,0.5,2021-01-02 11:00:00,1.2,0.5
2021-01-03,2021-01-03 00:00:00,-1.3,2021-01-03 10:30:00,0.9,0.6
2021-01-04,2021-01-04 20:30:00,-1.2,2021-01-04 11:30:00,1,0.5
2021-01-05,2021-01-05 05:00:00,-0.6,2021-01-05 11:00:00,1.9,0.5
2021-01-06,2021-01-06 01:30:00,0.9,2021-01-06 11:00:00,1.7,0.9
2021-01-07,2021-01-07 06:30:00,0.2,2021-01-07 11:30:00,2.2,0.9
2021-01-08,2021-01-08 23:00:00,-0.4,2021-01-08 12:00:00,0.9,0.7
2021-01-09,2021-01-09 20:30:00,-0.3,2021-01-09 12:00:00,1.2,0.9
2021-01-10,2021-01-10 03:00:00,-0.1,2021-01-10 12:30:00,0.9,0.4
2021-01-11,2021-01-11 07:00:00,0.8,2021-01-11 12:00:00,0.7,0.6
2021-01-12,2021-01-12 03:00:00,-0.6,2021-01-12 11:00:00,0.5,0.4
2021-01-13,2021-01-13 23:30:00,-1.7,2021-01-13 11:00:00,0.5,-0.1
2021-01-14,2021-01-14 04:30:00,-0.2,2021-01-14 10:00:00,0.6,0.3
2021-01-15,2021-01-15 23:30:00,0.7,2021-01-15 12:30:00,1,0.8
2021-01-16,2021-01-16 22:00:00,1.2,2021-01-16 09:30:00,0.9,0.6
2021-01-17,2021-01-17 05:00:00,1.1,2021-01-17 12:00:00,1,0.5
2021-01-19,2021-01-19 04:30:00,2.9,2021-01-19 11:30:00,0.7,0.8
2021-01-20,2021-01-20 00:30:00,0.4,2021-01-20 12:30:00,1.1,0.8
2021-01-21,2021-01-21 05:00:00,0.3,2021-01-21 11:30:00,1,0.6
2021-01-22,2021-01-22 05:00:00,0.6,2021-01-22 12:30:00,1.2,0.7
2021-01-23,2021-01-23 20:30:00,0.5,2021-01-23 10:30:00,1.1,0.7
2021-01-24,2021-01-24 23:30:00,0.5,2021-01-24 10:00:00,1.5,0.8
2021-01-26,2021-01-26 22:30:00,1.2,2021-01-26 11:30:00,0.7,0.7
2021-01-27,2021-01-27 23:30:00,1.3,2021-01-27 12:00:00,1.5,1
2021-01-30,2021-01-30 04:30:00,0.8,2021-01-30 11:00:00,0.7,1.2
2021-01-31,2021-01-31 23:30:00,0.5,2021-01-31 11:00:00,0.6,0.7
2021-02-01,2021-02-01 04:30:00,-0.3,2021-02-01 11:00:00,1.3,0.6
2021-02-02,2021-02-02 03:00:00,0.2,2021-02-02 11:30:00,1.2,-0.3
2021-02-03,2021-02-03 02:30:00,0.3,2021-02-03 12:00:00,1.6,0.2
2021-02-05,2021-02-05 06:30:00,0.8,2021-02-05 11:30:00,1.6,0.6
2021-02-06,2021-02-06 05:00:00,0,2021-02-06 11:30:00,1.9,0.7
2021-02-07,2021-02-07 01:00:00,-0.3,2021-02-07 11:00:00,2.1,0.8
2021-02-08,2021-02-08 20:00:00,-0.8,2021-02-08 11:00:00,1.6,0.4
2021-02-09,2021-02-09 23:00:00,0.2,2021-02-09 11:00:00,1.1,0.6
2021-02-10,2021-02-10 00:00:00,0.2,2021-02-10 11:30:00,1.4,0.8
2021-02-11,2021-02-11 23:00:00,0.9,2021-02-11 01:00:00,0.8,0.7
2021-02-12,2021-02-12 06:00:00,-0.2,2021-02-12 11:30:00,1.8,0.9
2021-02-13,2021-02-13 16:30:00,2.1,2021-02-13 11:30:00,1.3,1.1
2021-02-14,2021-02-14 00:00:00,0.8,2021-02-14 11:00:00,2.2,0.9
2021-02-15,2021-02-15 03:00:00,-0.3,2021-02-15 12:30:00,2.3,1.6
2021-02-16,2021-02-16 04:00:00,0.6,2021-02-16 12:00:00,1.8,1.1
2021-02-17,2021-02-17 02:00:00,0.2,2021-02-17 10:30:00,0.8,0.3
2021-02-18,2021-02-18 03:00:00,0.4,2021-02-18 11:00:00,0.4,0.5
2021-02-19,2021-02-19 03:00:00,0.3,2021-02-19 11:00:00,1.2,0.5
2021-02-20,2021-02-20 01:00:00,0.3,2021-02-20 11:00:00,1.2,0.4
2021-02-21,2021-02-21 04:30:00,0,2021-02-21 12:00:00,1.1,0.6
2021-02-22,2021-02-22 05:30:00,0.2,2021-02-22 12:00:00,0.7,0.5
2021-02-23,2021-02-23 04:30:00,-0.7,2021-02-23 12:00:00,0.9,0.4
2021-02-24,2021-02-24 05:00:00,-0.1,2021-02-24 12:30:00,0.8,0.3
2021-02-25,2021-02-25 04:30:00,-0.4,2021-02-25 12:00:00,0.5,0.4
2021-02-26,2021-02-26 05:00:00,-0.1,2021-02-26 12:00:00,1.1,0.5
2021-02-27,2021-02-27 23:30:00,0.7,2021-02-27 09:30:00,2,0.6
2021-02-28,2021-02-28 05:30:00,0.8,2021-02-28 12:00:00,1.9,1.5
2021-03-01,2021-03-01 04:30:00,0.5,2021-03-01 12:00:00,2.1,1.3
2021-03-02,2021-03-02 22:00:00,0.7,2021-03-02 12:00:00,1.9,1.3
2021-03-03,2021-03-03 05:00:00,-0.1,2021-03-03 12:30:00,1.1,0.7
2021-03-04,2021-03-04 23:30:00,0.6,2021-03-04 12:00:00,1.3,0.6
2021-03-06,2021-03-06 16:00:00,0.7,2021-03-06 11:30:00,0.7,0.7
2021-03-07,2021-03-07 05:00:00,0.7,2021-03-07 12:30:00,2.7,1
2021-03-08,2021-03-08 04:30:00,0.1,2021-03-08 12:00:00,2.5,0.5
2021-03-09,2021-03-09 02:30:00,0.3,2021-03-09 11:00:00,1.8,0.9
2021-03-10,2021-03-10 22:30:00,1.4,2021-03-10 12:00:00,1.8,1.3
2021-03-11,2021-03-11 02:30:00,0,2021-03-11 11:30:00,4,1.6
2021-03-12,2021-03-12 00:00:00,0.7,2021-03-12 12:00:00,1.6,0.8
2021-03-13,2021-03-13 05:00:00,0.4,2021-03-13 12:00:00,0.8,0.1
2021-03-14,2021-03-14 23:30:00,0.5,2021-03-14 11:00:00,1.9,0.9
2021-03-15,2021-03-15 23:30:00,1.4,2021-03-15 12:00:00,1.2,0.8
2021-03-16,2021-03-16 04:00:00,-0.1,2021-03-16 12:30:00,1.8,0.8
2021-03-17,2021-03-17 05:00:00,0.7,2021-03-17 12:00:00,1.3,0.8
2021-03-18,2021-03-18 23:00:00,0.7,2021-03-18 11:00:00,2.7,1.4
2021-03-19,2021-03-19 04:00:00,0.7,2021-03-19 09:30:00,2.9,1.4
2021-03-20,2021-03-20 02:00:00,0.1,2021-03-20 11:00:00,1.9,0.6
2021-03-21,2021-03-21 05:00:00,1.1,2021-03-21 12:00:00,1.3,0.9
2021-03-22,2021-03-22 23:30:00,0.5,2021-03-22 10:30:00,2.2,1
2021-03-23,2021-03-23 05:00:00,1.2,2021-03-23 11:30:00,3,1.3
2021-03-24,2021-03-24 23:30:00,0.8,2021-03-24 11:30:00,1.1,0.8
2021-03-25,2021-03-25 05:00:00,0.6,2021-03-25 11:00:00,2.5,1.4
2021-03-26,2021-03-26 04:00:00,0.7,2021-03-26 12:00:00,1.7,1
