"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-01-01,2021-01-01 03:30:00,-0.1,2021-01-01 11:30:00,3.3,1
2021-01-02,2021-01-02 05:30:00,-1.1,2021-01-02 11:30:00,2.1,0.9
2021-01-03,2021-01-03 06:30:00,4.3,2021-01-03 11:30:00,2.9,2.7
2021-01-04,2021-01-04 23:30:00,2.3,2021-01-04 11:30:00,3.4,2.8
2021-01-05,2021-01-05 23:30:00,3.8,2021-01-05 11:00:00,2.8,1.9
2021-01-06,2021-01-06 00:00:00,3,2021-01-06 11:00:00,1,1.7
2021-01-07,2021-01-07 17:30:00,2.2,2021-01-07 11:30:00,2.2,1.8
2021-01-08,2021-01-08 04:30:00,1.8,2021-01-08 11:30:00,2.5,1.2
2021-01-09,2021-01-09 23:30:00,2.8,2021-01-09 11:30:00,0.7,1.2
2021-01-10,2021-01-10 00:00:00,2.1,2021-01-10 12:00:00,2.4,2.3
2021-01-11,2021-01-11 21:00:00,0.9,2021-01-11 11:00:00,0.1,1.2
2021-01-12,2021-01-12 23:30:00,1.6,2021-01-12 10:30:00,2,1.1
2021-01-13,2021-01-13 21:30:00,0.4,2021-01-13 11:00:00,3.5,1.5
2021-01-14,2021-01-14 23:30:00,0.9,2021-01-14 11:00:00,1.6,2.1
2021-01-15,2021-01-15 23:30:00,-0.3,2021-01-15 11:00:00,2.5,2.6
2021-01-17,2021-01-17 04:00:00,0.8,2021-01-17 10:00:00,5.7,3.3
2021-01-19,2021-01-19 04:00:00,2.4,2021-01-19 11:30:00,4.7,2.4
2021-01-20,2021-01-20 03:00:00,0.9,2021-01-20 11:30:00,2.5,1.2
2021-01-21,2021-01-21 03:00:00,2.5,2021-01-21 11:00:00,2.1,1.5
2021-01-22,2021-01-22 02:00:00,2.2,2021-01-22 11:00:00,3.5,2
2021-01-23,2021-01-23 03:00:00,0.6,2021-01-23 10:00:00,2.7,1.5
2021-01-24,2021-01-24 05:30:00,1.9,2021-01-24 11:00:00,2.4,2
2021-01-25,2021-01-25 18:00:00,2,2021-01-25 11:30:00,2.3,1.3
2021-01-26,2021-01-26 23:30:00,1.4,2021-01-26 11:00:00,1.6,1.4
2021-01-27,2021-01-27 21:00:00,0.6,2021-01-27 12:00:00,3.1,1.8
2021-01-28,2021-01-28 23:30:00,1.8,2021-01-28 12:00:00,1.9,1.9
2021-01-29,2021-01-29 00:00:00,-0.6,2021-01-29 12:30:00,5.3,2
2021-01-30,2021-01-30 22:30:00,1.4,2021-01-30 11:00:00,3.5,2.3
2021-01-31,2021-01-31 00:00:00,2.3,2021-01-31 11:00:00,1,2.1
2021-02-01,2021-02-01 23:00:00,3,2021-02-01 12:00:00,2.8,1.3
2021-02-02,2021-02-02 01:30:00,3.3,2021-02-02 11:00:00,1.8,3.4
2021-02-03,2021-02-03 04:30:00,0.4,2021-02-03 12:00:00,3.1,1.3
2021-02-05,2021-02-05 04:30:00,-0.6,2021-02-05 11:30:00,2.7,0.6
2021-02-06,2021-02-06 04:30:00,-0.7,2021-02-06 11:30:00,2,1.6
2021-02-07,2021-02-07 05:00:00,3.1,2021-02-07 10:30:00,2.2,2.2
2021-02-08,2021-02-08 23:30:00,1.6,2021-02-08 12:00:00,3.3,1.6
2021-02-09,2021-02-09 04:00:00,2.7,2021-02-09 11:00:00,1,2
2021-02-10,2021-02-10 05:00:00,2.2,2021-02-10 11:30:00,2.5,2
2021-02-11,2021-02-11 23:30:00,0.5,2021-02-11 10:00:00,3.3,1.6
