"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-01-01,2021-01-01 14:30:00,-0.1,2021-01-01 00:30:00,0,0
2021-01-02,2021-01-02 23:30:00,0,2021-01-02 10:00:00,0,-0.1
2021-01-03,2021-01-03 22:30:00,0.1,2021-01-03 00:00:00,0,0
2021-01-04,2021-01-04 16:00:00,-0.2,2021-01-04 11:00:00,-0.1,-0.3
2021-01-05,2021-01-05 19:30:00,-1.1,2021-01-05 10:30:00,-0.2,-0.7
2021-01-06,2021-01-06 03:30:00,1.4,2021-01-06 17:00:00,-0.1,-0.1
2021-01-07,2021-01-07 21:00:00,-3.7,2021-01-07 10:30:00,0.1,-0.3
2021-01-08,2021-01-08 21:30:00,0.8,2021-01-08 12:00:00,-0.1,0
2021-01-09,2021-01-09 00:30:00,0.1,2021-01-09 12:00:00,0,-0.5
2021-01-10,2021-01-10 01:00:00,-0.1,2021-01-10 23:30:00,0.3,-0.4
2021-01-11,2021-01-11 16:00:00,0,2021-01-11 10:30:00,0.2,0.1
2021-01-12,2021-01-12 00:00:00,0,2021-01-12 10:00:00,0,0
2021-01-13,2021-01-13 23:30:00,0,2021-01-13 10:00:00,0.1,0.1
2021-01-14,2021-01-14 23:30:00,0,2021-01-14 10:30:00,0,-0.1
2021-01-15,2021-01-15 16:30:00,0.7,2021-01-15 23:30:00,-1.9,-0.6
2021-01-16,2021-01-16 15:30:00,1.5,2021-01-16 10:00:00,0.1,-0.5
2021-01-17,2021-01-17 05:00:00,2.5,2021-01-17 11:00:00,0.9,0.9
2021-01-19,2021-01-19 22:00:00,1,2021-01-19 11:00:00,0.4,-0.6
2021-01-20,2021-01-20 14:00:00,-1,2021-01-20 23:30:00,0,1.2
2021-01-21,2021-01-21 00:00:00,0,2021-01-21 23:30:00,0,0.2
2021-01-22,2021-01-22 06:30:00,-0.1,2021-01-22 12:00:00,0.3,0
2021-01-23,2021-01-23 20:00:00,-0.1,2021-01-23 10:30:00,0,0
2021-01-24,2021-01-24 20:30:00,-0.1,2021-01-24 09:30:00,0.2,0
2021-01-25,2021-01-25 08:30:00,-0.5,2021-01-25 11:30:00,0.1,0
2021-01-26,2021-01-26 06:00:00,0,2021-01-26 11:00:00,0.3,0.1
2021-01-27,2021-01-27 21:00:00,-0.2,2021-01-27 11:00:00,0.1,0
2021-01-28,2021-01-28 07:00:00,1,2021-01-28 10:30:00,0.3,0
2021-01-29,2021-01-29 00:00:00,-0.1,2021-01-29 11:00:00,-0.1,-0.1
2021-01-30,2021-01-30 23:30:00,0,2021-01-30 10:30:00,0.2,0
2021-01-31,2021-01-31 01:30:00,0.1,2021-01-31 11:00:00,-0.1,0.1
2021-02-01,2021-02-01 19:00:00,0.2,2021-02-01 11:00:00,0.3,-0.3
2021-02-02,2021-02-02 23:30:00,0,2021-02-02 10:00:00,0.1,0
2021-02-03,2021-02-03 07:00:00,-0.7,2021-02-03 11:00:00,0.1,0
2021-02-04,2021-02-04 23:30:00,0.5,2021-02-04 11:30:00,0.1,0.1
2021-02-05,2021-02-05 17:30:00,0.2,2021-02-05 10:00:00,0.4,0
2021-02-06,2021-02-06 23:30:00,2.3,2021-02-06 11:00:00,0.3,0.1
2021-02-07,2021-02-07 00:00:00,-1.2,2021-02-07 12:00:00,0.3,0.1
2021-02-08,2021-02-08 00:00:00,-0.8,2021-02-08 10:00:00,-0.1,0.5
2021-02-09,2021-02-09 00:30:00,4.2,2021-02-09 11:00:00,0,1.7
2021-02-10,2021-02-10 04:30:00,-3.1,2021-02-10 11:30:00,0.3,-0.2
2021-02-11,2021-02-11 02:30:00,1.4,2021-02-11 10:30:00,0.4,0.1
2021-02-12,2021-02-12 15:00:00,-2.1,2021-02-12 10:30:00,0,-0.2
2021-02-13,2021-02-13 04:00:00,0.4,2021-02-13 11:30:00,0.3,-0.2
2021-02-14,2021-02-14 23:30:00,0,2021-02-14 10:30:00,0.5,0.1
2021-02-15,2021-02-15 03:00:00,0.1,2021-02-15 12:30:00,0.7,0.5
2021-02-16,2021-02-16 23:30:00,0.1,2021-02-16 10:30:00,0.4,0.5
2021-02-17,2021-02-17 23:30:00,5.8,2021-02-17 10:30:00,1.2,1.5
