"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-01-01,2021-01-01 23:30:00,-0.3,2021-01-01 11:00:00,0,0.6
2021-01-02,2021-01-02 01:00:00,0.1,2021-01-02 09:30:00,0.1,0.3
2021-01-03,2021-01-03 00:30:00,-0.2,2021-01-03 10:30:00,-0.1,0.6
2021-01-04,2021-01-04 03:00:00,-0.1,2021-01-04 10:30:00,-0.3,0.4
2021-01-05,2021-01-05 00:30:00,0.6,2021-01-05 10:30:00,0.1,0.7
2021-01-06,2021-01-06 05:00:00,0,2021-01-06 10:30:00,0.3,0.2
2021-01-07,2021-01-07 20:30:00,0,2021-01-07 11:00:00,-0.1,0.7
2021-01-08,2021-01-08 18:00:00,0.7,2021-01-08 11:30:00,0.2,0.7
2021-01-09,2021-01-09 22:00:00,1.1,2021-01-09 11:30:00,-0.1,0.7
2021-01-10,2021-01-10 04:30:00,1.4,2021-01-10 11:00:00,-0.3,0.8
2021-01-11,2021-01-11 02:30:00,0.8,2021-01-11 10:30:00,-0.3,0.5
2021-01-12,2021-01-12 00:30:00,0.8,2021-01-12 10:30:00,0.4,0.3
2021-01-13,2021-01-13 23:30:00,0.2,2021-01-13 10:30:00,0.1,0.1
2021-01-14,2021-01-14 18:30:00,0.1,2021-01-14 08:30:00,1,0.4
2021-01-15,2021-01-15 02:30:00,0.9,2021-01-15 10:00:00,0.2,0.6
2021-01-16,2021-01-16 21:30:00,0.7,2021-01-16 09:00:00,0.3,0.6
2021-01-17,2021-01-17 02:30:00,0.8,2021-01-17 09:30:00,0.1,0.5
2021-01-19,2021-01-19 01:00:00,1.7,2021-01-19 09:00:00,0.1,0.4
2021-01-20,2021-01-20 21:00:00,1.1,2021-01-20 09:30:00,0.6,0.6
2021-01-21,2021-01-21 01:00:00,1.2,2021-01-21 10:30:00,0.4,1.2
2021-01-22,2021-01-22 23:30:00,0.3,2021-01-22 11:30:00,0.2,1
2021-01-23,2021-01-23 05:00:00,0,2021-01-23 11:00:00,0.1,0.8
2021-01-24,2021-01-24 04:00:00,1.6,2021-01-24 10:30:00,0,1
2021-01-25,2021-01-25 04:00:00,1.4,2021-01-25 10:00:00,0.3,1
2021-01-26,2021-01-26 05:00:00,0.5,2021-01-26 10:30:00,0,0.2
2021-01-27,2021-01-27 00:00:00,-0.3,2021-01-27 09:30:00,0.1,0.1
2021-01-28,2021-01-28 20:00:00,1.3,2021-01-28 08:00:00,-0.1,0.6
2021-01-29,2021-01-29 18:30:00,1,2021-01-29 10:00:00,0.8,0.6
2021-01-30,2021-01-30 02:00:00,0.5,2021-01-30 10:30:00,0.7,0.8
2021-01-31,2021-01-31 02:00:00,0.9,2021-01-31 10:30:00,-0.3,0.6
2021-02-01,2021-02-01 04:00:00,1.3,2021-02-01 12:00:00,-0.4,0.6
2021-02-02,2021-02-02 22:30:00,0.2,2021-02-02 11:30:00,0.1,0.3
2021-02-03,2021-02-03 03:30:00,0.4,2021-02-03 12:00:00,-0.2,0.2
2021-02-05,2021-02-05 19:30:00,0.2,2021-02-05 09:30:00,0.8,0.4
2021-02-06,2021-02-06 03:30:00,1.2,2021-02-06 11:00:00,-0.1,0.6
2021-02-07,2021-02-07 22:00:00,1,2021-02-07 11:30:00,0.1,0.7
2021-02-08,2021-02-08 04:30:00,0.6,2021-02-08 10:00:00,0.6,0.3
2021-02-09,2021-02-09 23:30:00,0.2,2021-02-09 11:00:00,-0.2,0.2
2021-02-10,2021-02-10 01:30:00,-0.3,2021-02-10 10:30:00,-0.3,0.4
2021-02-11,2021-02-11 04:30:00,1.2,2021-02-11 11:30:00,-0.3,0.7
2021-02-12,2021-02-12 05:00:00,0.6,2021-02-12 12:30:00,0.1,0.7
2021-02-13,2021-02-13 04:00:00,1.3,2021-02-13 11:30:00,0,0.8
2021-02-14,2021-02-14 23:30:00,0.4,2021-02-14 12:00:00,0.1,0.6
2021-02-15,2021-02-15 21:00:00,0.1,2021-02-15 10:30:00,0,0.3
2021-02-16,2021-02-16 02:30:00,0.1,2021-02-16 11:00:00,0.6,0.3
2021-02-17,2021-02-17 23:00:00,0.3,2021-02-17 09:30:00,0.1,0.2
2021-02-18,2021-02-18 22:30:00,0.8,2021-02-18 10:30:00,0.6,0.6
2021-02-19,2021-02-19 20:30:00,1.4,2021-02-19 11:00:00,0.6,0.4
2021-02-20,2021-02-20 01:00:00,1.5,2021-02-20 09:30:00,1.1,1.1
2021-02-21,2021-02-21 04:00:00,1.1,2021-02-21 11:00:00,0,1
2021-02-22,2021-02-22 04:00:00,1.4,2021-02-22 10:00:00,1.5,0.8
2021-02-23,2021-02-23 23:00:00,0,2021-02-23 09:30:00,0.6,0.4
2021-02-24,2021-02-24 00:30:00,0.1,2021-02-24 12:00:00,-0.1,0.5
2021-02-25,2021-02-25 04:00:00,1,2021-02-25 11:30:00,-0.2,0.6
2021-02-26,2021-02-26 04:00:00,1.3,2021-02-26 11:30:00,-0.3,0.7
2021-02-27,2021-02-27 04:00:00,1.2,2021-02-27 10:30:00,-0.5,0.5
2021-02-28,2021-02-28 02:30:00,0.5,2021-02-28 09:00:00,1.2,0.8
2021-03-01,2021-03-01 04:00:00,0.5,2021-03-01 09:30:00,0.6,0.6
2021-03-02,2021-03-02 22:00:00,1.1,2021-03-02 11:00:00,-0.2,0.5
2021-03-03,2021-03-03 20:30:00,0.7,2021-03-03 08:30:00,1.2,0.6
2021-03-04,2021-03-04 01:30:00,0.1,2021-03-04 10:30:00,0.6,0.7
2021-03-06,2021-03-06 04:00:00,1.5,2021-03-06 11:30:00,-0.3,0.7
2021-03-07,2021-03-07 21:30:00,1,2021-03-07 07:30:00,1,0.7
2021-03-08,2021-03-08 02:00:00,0.4,2021-03-08 07:30:00,0.5,0.7
2021-03-09,2021-03-09 03:00:00,1,2021-03-09 12:30:00,-0.3,0.2
2021-03-10,2021-03-10 00:00:00,-0.4,2021-03-10 11:00:00,-0.8,-0.1
2021-03-11,2021-03-11 23:30:00,0.7,2021-03-11 10:30:00,0.1,0.2
2021-03-12,2021-03-12 03:30:00,0.5,2021-03-12 11:30:00,0.2,0.6
2021-03-13,2021-03-13 04:30:00,1.9,2021-03-13 11:30:00,-0.2,0.6
2021-03-14,2021-03-14 00:30:00,0.6,2021-03-14 09:00:00,0.3,0.5
2021-03-15,2021-03-15 03:30:00,0.9,2021-03-15 10:00:00,0.1,0.6
2021-03-16,2021-03-16 02:30:00,0.9,2021-03-16 11:00:00,-0.5,0.6
2021-03-17,2021-03-17 22:30:00,0.9,2021-03-17 12:00:00,-0.3,0.5
2021-03-18,2021-03-18 22:00:00,0.6,2021-03-18 11:30:00,-0.3,0.6
2021-03-19,2021-03-19 02:00:00,0.7,2021-03-19 12:00:00,-0.4,0.5
2021-03-20,2021-03-20 01:30:00,0.5,2021-03-20 10:00:00,0.2,0.4
2021-03-21,2021-03-21 03:30:00,1.1,2021-03-21 11:00:00,0.3,0.1
2021-03-22,2021-03-22 20:00:00,0,2021-03-22 12:30:00,0.1,-0.1
2021-03-23,2021-03-23 23:30:00,0.1,2021-03-23 10:30:00,0.2,0.1
2021-03-24,2021-03-24 03:00:00,1.3,2021-03-24 10:00:00,1.4,0.6
2021-03-25,2021-03-25 03:30:00,0.3,2021-03-25 08:30:00,0.8,0.6
2021-03-26,2021-03-26 02:30:00,1.2,2021-03-26 09:30:00,0.8,0.4
2021-03-27,2021-03-27 22:00:00,1.6,2021-03-27 10:30:00,-0.2,0.7
2021-03-28,2021-03-28 03:30:00,1,2021-03-28 08:30:00,1.6,0.9
2021-03-29,2021-03-29 03:30:00,1,2021-03-29 10:30:00,-0.3,0.6
2021-03-30,2021-03-30 23:00:00,0.9,2021-03-30 09:00:00,0.9,0.9
2021-03-31,2021-03-31 22:30:00,1,2021-03-31 08:30:00,0.4,0.8
2021-04-01,2021-04-01 00:00:00,1.2,2021-04-01 11:30:00,-0.2,0.6
