"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-01-01,2021-01-01 08:00:00,2.2,2021-01-01 11:30:00,4.7,4
2021-01-02,2021-01-02 22:30:00,3.6,2021-01-02 10:00:00,3.2,3.9
2021-01-03,2021-01-03 22:30:00,0.7,2021-01-03 12:30:00,4.6,3.9
2021-01-04,2021-01-04 06:30:00,3.6,2021-01-04 11:00:00,2.7,1.9
2021-01-05,2021-01-05 16:30:00,0,2021-01-05 12:30:00,4,2.8
2021-01-06,2021-01-06 08:00:00,-0.2,2021-01-06 12:00:00,4.8,3.9
2021-01-07,2021-01-07 22:30:00,3.6,2021-01-07 13:00:00,2.6,3.4
2021-01-08,2021-01-08 01:30:00,3.6,2021-01-08 11:00:00,3.9,3.5
2021-01-09,2021-01-09 04:30:00,2.8,2021-01-09 11:30:00,2.6,2.5
2021-01-10,2021-01-10 00:00:00,3.3,2021-01-10 12:30:00,2.5,1
2021-01-11,2021-01-11 21:00:00,2.7,2021-01-11 12:30:00,2,1.5
2021-01-12,2021-01-12 01:30:00,1.6,2021-01-12 13:00:00,4.4,3.5
2021-01-13,2021-01-13 04:30:00,2.7,2021-01-13 11:30:00,5.2,4
2021-01-14,2021-01-14 15:30:00,4.5,2021-01-14 12:30:00,4.4,4.5
2021-01-15,2021-01-15 08:00:00,-0.6,2021-01-15 12:00:00,4.5,3.7
2021-01-16,2021-01-16 07:00:00,-0.2,2021-01-16 12:00:00,-0.5,2.1
2021-01-17,2021-01-17 07:30:00,2.3,2021-01-17 12:30:00,5,4.3
2021-01-21,2021-01-21 07:30:00,4.4,2021-01-21 11:30:00,6.9,4.5
2021-01-23,2021-01-23 22:00:00,4.7,2021-01-23 11:30:00,4.7,4.5
2021-01-24,2021-01-24 19:30:00,3.2,2021-01-24 12:30:00,0.4,3.4
2021-01-25,2021-01-25 22:30:00,1.5,2021-01-25 12:00:00,4.3,4.1
2021-01-28,2021-01-28 00:00:00,4.3,2021-01-28 13:00:00,5.9,4.5
2021-01-29,2021-01-29 21:30:00,4.4,2021-01-29 11:00:00,5.4,4.6
2021-01-30,2021-01-30 02:00:00,-1.2,2021-01-30 11:30:00,4.7,4.2
2021-01-31,2021-01-31 21:00:00,3.9,2021-01-31 13:30:00,6.3,4.4
2021-02-06,2021-02-06 06:30:00,-0.1,2021-02-06 13:30:00,3.7,3.8
2021-02-07,2021-02-07 23:30:00,4.3,2021-02-07 11:30:00,4.7,4.3
2021-02-08,2021-02-08 06:30:00,4.5,2021-02-08 13:00:00,6.4,4.2
2021-02-09,2021-02-09 01:00:00,2,2021-02-09 11:00:00,4.2,4.1
2021-02-10,2021-02-10 23:00:00,-2.4,2021-02-10 12:00:00,4.4,3.7
2021-02-11,2021-02-11 22:00:00,3.3,2021-02-11 12:30:00,5.7,3.4
2021-02-12,2021-02-12 07:00:00,3.1,2021-02-12 12:00:00,4.2,2.3
2021-02-13,2021-02-13 07:00:00,4,2021-02-13 11:00:00,6,3.2
2021-02-15,2021-02-15 04:30:00,4.1,2021-02-15 12:30:00,5.6,4.4
2021-02-18,2021-02-18 06:00:00,4.9,2021-02-18 10:30:00,4.3,4.5
2021-02-19,2021-02-19 04:00:00,5,2021-02-19 12:00:00,5.8,5.1
2021-02-22,2021-02-22 03:30:00,5.6,2021-02-22 14:00:00,3,2.2
2021-02-23,2021-02-23 06:00:00,-1.3,2021-02-23 11:30:00,1.3,-0.1
2021-02-24,2021-02-24 06:00:00,-1.6,2021-02-24 11:30:00,2.1,-0.2
2021-02-25,2021-02-25 03:30:00,0.9,2021-02-25 12:30:00,2.6,0
2021-02-26,2021-02-26 16:30:00,3.9,2021-02-26 12:00:00,4.4,1.8
2021-02-27,2021-02-27 21:30:00,4.3,2021-02-27 11:30:00,4.5,4.3
2021-02-28,2021-02-28 06:00:00,-0.3,2021-02-28 12:00:00,2.7,0.5
2021-03-01,2021-03-01 04:00:00,-1.5,2021-03-01 12:30:00,2.1,-0.1
2021-03-02,2021-03-02 23:00:00,5.1,2021-03-02 12:00:00,2.5,1
2021-03-03,2021-03-03 06:00:00,5.1,2021-03-03 12:00:00,3.5,4.7
2021-03-04,2021-03-04 01:30:00,4.8,2021-03-04 12:30:00,4.5,4.7
2021-03-06,2021-03-06 05:00:00,2.2,2021-03-06 12:00:00,5.4,2.4
2021-03-07,2021-03-07 04:30:00,0.3,2021-03-07 11:30:00,4.5,3.6
2021-03-08,2021-03-08 06:00:00,1.9,2021-03-08 12:30:00,5.3,3.7
2021-03-09,2021-03-09 03:00:00,2.3,2021-03-09 11:00:00,5.4,3.6
2021-03-10,2021-03-10 02:00:00,3.1,2021-03-10 14:30:00,3,4
2021-03-11,2021-03-11 00:00:00,3.8,2021-03-11 12:30:00,3.8,4.1
2021-03-12,2021-03-12 23:00:00,4.1,2021-03-12 10:00:00,5.3,4
2021-03-13,2021-03-13 03:30:00,3.8,2021-03-13 12:00:00,3.7,4
