"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-01-01,2021-01-01 06:00:00,NA,2021-01-01 10:30:00,NA,NA
2021-01-02,2021-01-02 20:00:00,NA,2021-01-02 12:00:00,NA,NA
2021-01-03,2021-01-03 19:00:00,NA,2021-01-03 12:00:00,NA,NA
2021-01-04,2021-01-04 05:30:00,NA,2021-01-04 11:00:00,NA,NA
2021-01-05,2021-01-05 01:30:00,NA,2021-01-05 12:00:00,NA,NA
2021-01-06,2021-01-06 05:00:00,NA,2021-01-06 11:30:00,NA,NA
2021-01-07,2021-01-07 04:30:00,NA,2021-01-07 11:00:00,NA,NA
2021-01-08,2021-01-08 23:00:00,NA,2021-01-08 11:00:00,NA,NA
2021-01-09,2021-01-09 00:30:00,NA,2021-01-09 12:30:00,NA,NA
2021-01-10,2021-01-10 22:00:00,NA,2021-01-10 11:30:00,NA,NA
2021-01-11,2021-01-11 18:30:00,NA,2021-01-11 11:30:00,NA,NA
2021-01-12,2021-01-12 22:30:00,NA,2021-01-12 10:30:00,NA,NA
2021-01-13,2021-01-13 02:00:00,NA,2021-01-13 13:00:00,NA,NA
2021-01-14,2021-01-14 01:00:00,NA,2021-01-14 10:00:00,NA,NA
2021-01-15,2021-01-15 17:00:00,NA,2021-01-15 11:00:00,NA,NA
2021-01-16,2021-01-16 20:00:00,NA,2021-01-16 11:00:00,NA,NA
2021-01-17,2021-01-17 05:00:00,NA,2021-01-17 11:00:00,NA,NA
2021-01-19,2021-01-19 05:00:00,NA,2021-01-19 12:00:00,NA,NA
2021-01-20,2021-01-20 01:30:00,NA,2021-01-20 12:30:00,NA,NA
2021-01-21,2021-01-21 04:30:00,NA,2021-01-21 11:30:00,NA,NA
2021-01-22,2021-01-22 05:00:00,NA,2021-01-22 11:00:00,NA,NA
2021-01-23,2021-01-23 21:30:00,NA,2021-01-23 11:00:00,NA,NA
2021-01-24,2021-01-24 04:30:00,NA,2021-01-24 11:00:00,NA,NA
2021-01-25,2021-01-25 22:30:00,NA,2021-01-25 11:00:00,NA,NA
2021-01-26,2021-01-26 16:30:00,NA,2021-01-26 13:00:00,NA,NA
2021-01-27,2021-01-27 04:00:00,NA,2021-01-27 10:00:00,NA,NA
2021-01-28,2021-01-28 21:30:00,NA,2021-01-28 10:30:00,NA,NA
2021-01-29,2021-01-29 06:00:00,NA,2021-01-29 10:30:00,NA,NA
2021-01-30,2021-01-30 07:30:00,NA,2021-01-30 12:30:00,NA,NA
2021-01-31,2021-01-31 17:30:00,NA,2021-01-31 09:00:00,NA,NA
2021-02-01,2021-02-01 00:30:00,NA,2021-02-01 10:30:00,NA,NA
2021-02-02,2021-02-02 08:00:00,NA,2021-02-02 11:30:00,NA,NA
2021-02-03,2021-02-03 05:00:00,NA,2021-02-03 10:30:00,NA,NA
2021-02-05,2021-02-05 04:30:00,NA,2021-02-05 14:00:00,NA,NA
2021-02-06,2021-02-06 05:00:00,NA,2021-02-06 12:30:00,NA,NA
2021-02-07,2021-02-07 23:30:00,NA,2021-02-07 11:30:00,NA,NA
2021-02-08,2021-02-08 01:00:00,NA,2021-02-08 13:30:00,NA,NA
2021-02-09,2021-02-09 00:00:00,NA,2021-02-09 12:30:00,NA,NA
2021-02-10,2021-02-10 00:00:00,NA,2021-02-10 13:00:00,NA,NA
2021-02-11,2021-02-11 05:00:00,NA,2021-02-11 11:30:00,NA,NA
2021-02-12,2021-02-12 01:00:00,NA,2021-02-12 13:30:00,NA,NA
2021-02-13,2021-02-13 17:30:00,NA,2021-02-13 12:30:00,NA,NA
2021-02-14,2021-02-14 23:30:00,NA,2021-02-14 12:30:00,NA,NA
2021-02-15,2021-02-15 05:30:00,NA,2021-02-15 12:30:00,NA,NA
2021-02-16,2021-02-16 00:30:00,NA,2021-02-16 11:30:00,NA,NA
2021-02-17,2021-02-17 00:00:00,NA,2021-02-17 13:00:00,NA,NA
2021-02-18,2021-02-18 04:30:00,NA,2021-02-18 13:00:00,NA,NA
2021-02-19,2021-02-19 01:00:00,NA,2021-02-19 11:00:00,NA,NA
2021-02-20,2021-02-20 04:30:00,NA,2021-02-20 13:00:00,NA,NA
2021-02-21,2021-02-21 00:30:00,NA,2021-02-21 11:00:00,NA,NA
2021-02-22,2021-02-22 18:00:00,NA,2021-02-22 10:00:00,NA,NA
2021-02-23,2021-02-23 04:30:00,NA,2021-02-23 11:30:00,NA,NA
2021-02-24,2021-02-24 04:30:00,NA,2021-02-24 13:00:00,NA,NA
2021-02-25,2021-02-25 04:30:00,NA,2021-02-25 12:30:00,NA,NA
2021-02-26,2021-02-26 23:30:00,NA,2021-02-26 10:00:00,NA,NA
2021-02-27,2021-02-27 04:30:00,NA,2021-02-27 12:00:00,NA,NA
2021-02-28,2021-02-28 01:00:00,NA,2021-02-28 12:00:00,NA,NA
2021-03-01,2021-03-01 04:30:00,NA,2021-03-01 11:30:00,NA,NA
2021-03-02,2021-03-02 13:00:00,NA,2021-03-02 10:30:00,NA,NA
2021-03-03,2021-03-03 01:00:00,NA,2021-03-03 12:30:00,NA,NA
2021-03-04,2021-03-04 05:30:00,NA,2021-03-04 12:00:00,NA,NA
2021-03-06,2021-03-06 05:30:00,NA,2021-03-06 11:30:00,NA,NA
2021-03-07,2021-03-07 16:30:00,NA,2021-03-07 10:30:00,NA,NA
2021-03-08,2021-03-08 23:00:00,NA,2021-03-08 12:00:00,NA,NA
2021-03-09,2021-03-09 06:00:00,NA,2021-03-09 12:30:00,NA,NA
2021-03-10,2021-03-10 02:00:00,NA,2021-03-10 10:30:00,NA,NA
2021-03-11,2021-03-11 02:00:00,NA,2021-03-11 11:00:00,NA,NA
2021-03-12,2021-03-12 01:30:00,NA,2021-03-12 12:00:00,NA,NA
2021-03-13,2021-03-13 00:00:00,NA,2021-03-13 11:30:00,NA,NA
2021-03-14,2021-03-14 03:30:00,NA,2021-03-14 11:00:00,NA,NA
2021-03-15,2021-03-15 22:00:00,NA,2021-03-15 14:00:00,NA,NA
2021-03-16,2021-03-16 02:30:00,NA,2021-03-16 13:30:00,NA,NA
2021-03-17,2021-03-17 01:00:00,NA,2021-03-17 12:30:00,NA,NA
2021-03-18,2021-03-18 23:00:00,NA,2021-03-18 11:30:00,NA,NA
2021-03-19,2021-03-19 08:00:00,NA,2021-03-19 12:00:00,NA,NA
2021-03-20,2021-03-20 06:00:00,NA,2021-03-20 11:30:00,NA,NA
2021-03-21,2021-03-21 01:30:00,NA,2021-03-21 11:00:00,NA,NA
2021-03-22,2021-03-22 01:00:00,NA,2021-03-22 10:30:00,NA,NA
2021-03-23,2021-03-23 20:30:00,NA,2021-03-23 12:30:00,NA,NA
2021-03-24,2021-03-24 02:00:00,NA,2021-03-24 13:00:00,NA,NA
2021-03-25,2021-03-25 00:00:00,NA,2021-03-25 12:30:00,NA,NA
2021-03-26,2021-03-26 02:30:00,NA,2021-03-26 13:00:00,NA,NA
2021-03-27,2021-03-27 02:00:00,NA,2021-03-27 11:30:00,NA,NA
2021-03-28,2021-03-28 04:00:00,NA,2021-03-28 12:30:00,NA,NA
2021-03-29,2021-03-29 01:00:00,NA,2021-03-29 12:30:00,NA,NA
2021-03-30,2021-03-30 03:00:00,NA,2021-03-30 12:30:00,NA,NA
2021-03-31,2021-03-31 03:00:00,NA,2021-03-31 11:30:00,NA,NA
2021-04-01,2021-04-01 03:00:00,NA,2021-04-01 12:30:00,NA,NA
2021-04-02,2021-04-02 02:30:00,NA,2021-04-02 12:30:00,NA,NA
2021-04-03,2021-04-03 00:30:00,NA,2021-04-03 10:30:00,NA,NA
2021-04-04,2021-04-04 02:30:00,NA,2021-04-04 11:00:00,NA,NA
2021-04-05,2021-04-05 21:00:00,NA,2021-04-05 11:00:00,NA,NA
2021-04-06,2021-04-06 03:00:00,NA,2021-04-06 12:00:00,NA,NA
2021-04-07,2021-04-07 02:00:00,NA,2021-04-07 12:30:00,NA,NA
2021-04-08,2021-04-08 22:00:00,NA,2021-04-08 12:30:00,NA,NA
2021-04-09,2021-04-09 01:30:00,NA,2021-04-09 13:00:00,NA,NA
2021-04-10,2021-04-10 01:30:00,NA,2021-04-10 12:30:00,NA,NA
2021-04-11,2021-04-11 17:30:00,NA,2021-04-11 11:30:00,NA,NA
2021-04-12,2021-04-12 23:30:00,NA,2021-04-12 09:00:00,NA,NA
2021-04-13,2021-04-13 21:30:00,NA,2021-04-13 12:00:00,NA,NA
2021-04-14,2021-04-14 03:00:00,NA,2021-04-14 12:30:00,NA,NA
2021-04-15,2021-04-15 00:00:00,NA,2021-04-15 10:00:00,NA,NA
2021-04-16,2021-04-16 21:30:00,NA,2021-04-16 12:00:00,NA,NA
2021-04-17,2021-04-17 06:00:00,NA,2021-04-17 12:00:00,NA,NA
2021-04-18,2021-04-18 20:30:00,NA,2021-04-18 12:00:00,NA,NA
2021-04-19,2021-04-19 04:00:00,NA,2021-04-19 11:00:00,NA,NA
2021-04-20,2021-04-20 01:30:00,NA,2021-04-20 11:00:00,NA,NA
2021-04-21,2021-04-21 04:30:00,NA,2021-04-21 11:30:00,NA,NA
2021-04-22,2021-04-22 04:00:00,NA,2021-04-22 09:30:00,NA,NA
2021-04-23,2021-04-23 22:30:00,NA,2021-04-23 10:30:00,NA,NA
2021-04-24,2021-04-24 02:30:00,NA,2021-04-24 12:00:00,NA,NA
2021-04-25,2021-04-25 01:30:00,NA,2021-04-25 12:00:00,NA,NA
2021-04-26,2021-04-26 01:00:00,NA,2021-04-26 12:00:00,NA,NA
2021-04-27,2021-04-27 04:30:00,NA,2021-04-27 12:00:00,NA,NA
2021-04-28,2021-04-28 05:00:00,NA,2021-04-28 11:30:00,NA,NA
2021-04-29,2021-04-29 01:00:00,NA,2021-04-29 12:00:00,NA,NA
2021-04-30,2021-04-30 04:30:00,NA,2021-04-30 09:30:00,NA,NA
2021-05-01,2021-05-01 03:00:00,NA,2021-05-01 13:00:00,NA,NA
2021-05-02,2021-05-02 23:30:00,NA,2021-05-02 10:00:00,NA,NA
2021-05-03,2021-05-03 02:00:00,NA,2021-05-03 10:00:00,NA,NA
2021-05-04,2021-05-04 00:30:00,NA,2021-05-04 11:30:00,NA,NA
2021-05-05,2021-05-05 06:30:00,NA,2021-05-05 13:00:00,NA,NA
2021-05-06,2021-05-06 22:30:00,NA,2021-05-06 12:00:00,NA,NA
2021-05-07,2021-05-07 05:00:00,NA,2021-05-07 11:00:00,NA,NA
2021-05-08,2021-05-08 01:00:00,NA,2021-05-08 11:00:00,NA,NA
2021-05-09,2021-05-09 01:30:00,NA,2021-05-09 11:30:00,NA,NA
2021-05-10,2021-05-10 23:00:00,NA,2021-05-10 11:30:00,NA,NA
2021-05-11,2021-05-11 03:30:00,NA,2021-05-11 11:00:00,NA,NA
2021-05-12,2021-05-12 23:30:00,NA,2021-05-12 11:00:00,NA,NA
2021-05-13,2021-05-13 00:30:00,NA,2021-05-13 11:00:00,NA,NA
2021-05-14,2021-05-14 00:00:00,NA,2021-05-14 11:30:00,NA,NA
2021-05-15,2021-05-15 23:30:00,NA,2021-05-15 11:00:00,NA,NA
2021-05-16,2021-05-16 02:00:00,NA,2021-05-16 11:00:00,NA,NA
2021-05-17,2021-05-17 00:30:00,NA,2021-05-17 11:00:00,NA,NA
2021-05-18,2021-05-18 02:30:00,NA,2021-05-18 11:30:00,NA,NA
2021-05-19,2021-05-19 19:00:00,NA,2021-05-19 11:00:00,NA,NA
2021-05-20,2021-05-20 04:30:00,NA,2021-05-20 11:00:00,NA,NA
2021-05-21,2021-05-21 00:00:00,NA,2021-05-21 11:00:00,NA,NA
2021-05-22,2021-05-22 03:30:00,NA,2021-05-22 12:30:00,NA,NA
2021-05-23,2021-05-23 00:00:00,NA,2021-05-23 11:00:00,NA,NA
2021-05-24,2021-05-24 03:30:00,NA,2021-05-24 10:30:00,NA,NA
2021-05-25,2021-05-25 04:00:00,NA,2021-05-25 10:30:00,NA,NA
2021-05-26,2021-05-26 03:30:00,NA,2021-05-26 10:30:00,NA,NA
2021-05-27,2021-05-27 03:30:00,NA,2021-05-27 13:00:00,NA,NA
2021-05-28,2021-05-28 00:30:00,NA,2021-05-28 11:00:00,NA,NA
2021-05-29,2021-05-29 04:00:00,NA,2021-05-29 11:00:00,NA,NA
2021-05-30,2021-05-30 04:00:00,NA,2021-05-30 11:00:00,NA,NA
2021-05-31,2021-05-31 06:30:00,NA,2021-05-31 12:30:00,NA,NA
2021-06-01,2021-06-01 02:30:00,NA,2021-06-01 12:00:00,NA,NA
2021-06-02,2021-06-02 19:30:00,NA,2021-06-02 10:00:00,NA,NA
2021-06-03,2021-06-03 23:00:00,NA,2021-06-03 10:00:00,NA,NA
2021-06-04,2021-06-04 02:30:00,NA,2021-06-04 10:30:00,NA,NA
2021-06-05,2021-06-05 05:00:00,NA,2021-06-05 11:30:00,NA,NA
2021-06-06,2021-06-06 04:00:00,NA,2021-06-06 11:30:00,NA,NA
2021-06-07,2021-06-07 03:00:00,NA,2021-06-07 13:30:00,NA,NA
2021-06-08,2021-06-08 03:30:00,NA,2021-06-08 10:30:00,NA,NA
2021-06-09,2021-06-09 00:30:00,NA,2021-06-09 13:00:00,NA,NA
2021-06-10,2021-06-10 02:00:00,NA,2021-06-10 10:30:00,NA,NA
2021-06-11,2021-06-11 23:00:00,NA,2021-06-11 13:00:00,NA,NA
2021-06-12,2021-06-12 02:30:00,NA,2021-06-12 11:30:00,NA,NA
2021-06-13,2021-06-13 03:30:00,NA,2021-06-13 10:00:00,NA,NA
2021-06-14,2021-06-14 03:30:00,NA,2021-06-14 12:30:00,NA,NA
2021-06-15,2021-06-15 03:00:00,NA,2021-06-15 10:00:00,NA,NA
2021-06-16,2021-06-16 23:00:00,NA,2021-06-16 13:00:00,NA,NA
2021-06-17,2021-06-17 04:00:00,NA,2021-06-17 13:00:00,NA,NA
2021-06-18,2021-06-18 22:30:00,NA,2021-06-18 14:30:00,NA,NA
2021-06-19,2021-06-19 03:30:00,NA,2021-06-19 11:30:00,NA,NA
2021-06-20,2021-06-20 02:30:00,NA,2021-06-20 13:00:00,NA,NA
2021-06-21,2021-06-21 04:00:00,NA,2021-06-21 12:00:00,NA,NA
2021-06-22,2021-06-22 03:30:00,NA,2021-06-22 13:00:00,NA,NA
2021-06-23,2021-06-23 04:00:00,NA,2021-06-23 10:00:00,NA,NA
2021-06-24,2021-06-24 03:30:00,NA,2021-06-24 13:30:00,NA,NA
2021-06-25,2021-06-25 22:30:00,NA,2021-06-25 11:30:00,NA,NA
2021-06-26,2021-06-26 03:30:00,NA,2021-06-26 12:00:00,NA,NA
2021-06-27,2021-06-27 00:00:00,NA,2021-06-27 09:30:00,NA,NA
2021-06-28,2021-06-28 05:00:00,NA,2021-06-28 12:00:00,NA,NA
2021-06-29,2021-06-29 18:00:00,NA,2021-06-29 11:30:00,NA,NA
2021-06-30,2021-06-30 01:00:00,NA,2021-06-30 12:00:00,NA,NA
2021-07-01,2021-07-01 04:00:00,NA,2021-07-01 12:30:00,NA,NA
2021-07-02,2021-07-02 04:00:00,NA,2021-07-02 12:00:00,NA,NA
2021-07-03,2021-07-03 03:00:00,NA,2021-07-03 12:00:00,NA,NA
2021-07-04,2021-07-04 03:30:00,NA,2021-07-04 12:00:00,NA,NA
2021-07-05,2021-07-05 02:00:00,NA,2021-07-05 11:30:00,NA,NA
2021-07-06,2021-07-06 03:30:00,NA,2021-07-06 12:30:00,NA,NA
2021-07-07,2021-07-07 02:30:00,NA,2021-07-07 11:30:00,NA,NA
2021-07-08,2021-07-08 03:00:00,NA,2021-07-08 12:00:00,NA,NA
2021-07-09,2021-07-09 04:30:00,NA,2021-07-09 11:30:00,NA,NA
2021-07-10,2021-07-10 03:30:00,NA,2021-07-10 11:30:00,NA,NA
2021-07-11,2021-07-11 21:30:00,NA,2021-07-11 12:00:00,NA,NA
2021-07-12,2021-07-12 21:30:00,NA,2021-07-12 11:00:00,NA,NA
2021-07-13,2021-07-13 02:30:00,NA,2021-07-13 12:00:00,NA,NA
2021-07-14,2021-07-14 03:00:00,NA,2021-07-14 12:00:00,NA,NA
2021-07-15,2021-07-15 05:00:00,NA,2021-07-15 12:00:00,NA,NA
2021-07-16,2021-07-16 04:00:00,NA,2021-07-16 12:00:00,NA,NA
2021-07-17,2021-07-17 03:00:00,NA,2021-07-17 12:30:00,NA,NA
2021-07-18,2021-07-18 21:00:00,NA,2021-07-18 11:00:00,NA,NA
2021-07-19,2021-07-19 02:30:00,NA,2021-07-19 11:00:00,NA,NA
2021-07-20,2021-07-20 05:00:00,NA,2021-07-20 11:30:00,NA,NA
2021-07-21,2021-07-21 03:30:00,NA,2021-07-21 11:00:00,NA,NA
2021-07-22,2021-07-22 03:30:00,NA,2021-07-22 11:30:00,NA,NA
2021-07-23,2021-07-23 04:00:00,NA,2021-07-23 11:00:00,NA,NA
2021-07-24,2021-07-24 03:00:00,NA,2021-07-24 11:00:00,NA,NA
2021-07-25,2021-07-25 03:00:00,NA,2021-07-25 11:00:00,NA,NA
2021-07-26,2021-07-26 03:30:00,NA,2021-07-26 11:30:00,NA,NA
2021-07-27,2021-07-27 01:30:00,NA,2021-07-27 11:00:00,NA,NA
2021-07-28,2021-07-28 02:30:00,NA,2021-07-28 11:00:00,NA,NA
2021-07-29,2021-07-29 02:00:00,NA,2021-07-29 11:30:00,NA,NA
2021-07-30,2021-07-30 03:00:00,NA,2021-07-30 10:30:00,NA,NA
2021-07-31,2021-07-31 03:30:00,NA,2021-07-31 10:30:00,NA,NA
2021-08-01,2021-08-01 03:00:00,NA,2021-08-01 10:30:00,NA,NA
2021-08-02,2021-08-02 04:00:00,NA,2021-08-02 10:30:00,NA,NA
