"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-01-01,2021-01-01 07:00:00,0.2,2021-01-01 12:00:00,0.2,0.2
2021-01-02,2021-01-02 07:00:00,-0.2,2021-01-02 11:00:00,0.4,0
2021-01-03,2021-01-03 05:30:00,-0.1,2021-01-03 11:00:00,0.4,0.1
2021-01-04,2021-01-04 02:30:00,0,2021-01-04 12:00:00,0.1,0
2021-01-05,2021-01-05 23:00:00,0.1,2021-01-05 10:30:00,-0.1,0
2021-01-06,2021-01-06 08:00:00,0.7,2021-01-06 11:30:00,0,0.1
2021-01-07,2021-01-07 17:30:00,0.1,2021-01-07 11:00:00,0.1,0.1
2021-01-08,2021-01-08 21:00:00,0,2021-01-08 12:00:00,0,0.1
2021-01-09,2021-01-09 00:00:00,-0.2,2021-01-09 12:00:00,0.2,0.1
2021-01-10,2021-01-10 19:30:00,0.1,2021-01-10 12:00:00,0,0.1
2021-01-11,2021-01-11 00:00:00,-0.2,2021-01-11 11:30:00,0.5,0.2
2021-01-12,2021-01-12 03:30:00,0,2021-01-12 11:00:00,0.3,0.1
2021-01-13,2021-01-13 07:00:00,0,2021-01-13 11:30:00,0.2,0.1
2021-01-14,2021-01-14 23:30:00,0.2,2021-01-14 11:00:00,0,0.1
2021-01-15,2021-01-15 03:30:00,0,2021-01-15 12:00:00,0.3,0.6
2021-01-16,2021-01-16 02:30:00,-0.6,2021-01-16 11:00:00,-0.4,0.2
2021-01-17,2021-01-17 22:00:00,2.6,2021-01-17 12:00:00,-0.1,0.5
2021-01-19,2021-01-19 06:00:00,0.2,2021-01-19 23:30:00,0.1,0.3
2021-01-20,2021-01-20 02:00:00,0.3,2021-01-20 11:30:00,0.4,0.2
2021-01-21,2021-01-21 05:30:00,0,2021-01-21 12:00:00,-0.8,0.1
2021-01-22,2021-01-22 00:00:00,0.1,2021-01-22 12:00:00,0.3,0.1
2021-01-23,2021-01-23 05:00:00,0,2021-01-23 12:00:00,0.2,0
