"date","time.uhi.min","uhi.min","time.uhi.max","uhi.max","uhi.med"
2021-01-02,2021-01-02 04:00:00,-1.5,2021-01-02 10:00:00,0.8,0.3
2021-01-03,2021-01-03 04:00:00,0,2021-01-03 10:00:00,0,0.1
2021-01-04,2021-01-04 04:00:00,-0.8,2021-01-04 10:30:00,0.9,-0.3
2021-01-05,2021-01-05 04:00:00,-0.4,2021-01-05 10:30:00,-0.1,-1
2021-01-06,2021-01-06 04:30:00,-0.1,2021-01-06 11:00:00,-0.4,-0.4
2021-01-07,2021-01-07 20:30:00,-0.5,2021-01-07 10:30:00,-0.2,-0.4
2021-01-08,2021-01-08 03:30:00,-0.6,2021-01-08 10:00:00,0.1,-0.2
2021-01-09,2021-01-09 01:30:00,-0.6,2021-01-09 10:30:00,0.3,-0.3
2021-01-10,2021-01-10 02:00:00,0,2021-01-10 11:00:00,-0.3,-0.4
2021-01-11,2021-01-11 03:00:00,-0.4,2021-01-11 10:00:00,-0.7,-0.3
2021-01-12,2021-01-12 03:00:00,-0.2,2021-01-12 09:30:00,0.8,0
2021-01-13,2021-01-13 04:00:00,-0.3,2021-01-13 10:00:00,0.2,-0.2
2021-01-14,2021-01-14 23:30:00,-0.5,2021-01-14 09:00:00,0.7,-0.1
2021-01-15,2021-01-15 16:00:00,-0.4,2021-01-15 10:00:00,0,-0.2
2021-01-16,2021-01-16 23:30:00,0.3,2021-01-16 09:30:00,0.7,0.1
2021-01-19,2021-01-19 21:00:00,-1.7,2021-01-19 11:00:00,0.3,-0.3
2021-01-20,2021-01-20 22:30:00,2.5,2021-01-20 12:00:00,0.4,0.3
2021-01-21,2021-01-21 03:30:00,2.1,2021-01-21 11:00:00,3.7,2.9
2021-01-22,2021-01-22 23:30:00,2.6,2021-01-22 10:30:00,3.2,2.7
2021-01-27,2021-01-27 04:00:00,-0.1,2021-01-27 09:00:00,1,0.3
2021-01-28,2021-01-28 02:00:00,0,2021-01-28 10:30:00,0,0
2021-01-29,2021-01-29 04:00:00,-0.2,2021-01-29 11:00:00,1,0.3
2021-01-30,2021-01-30 22:00:00,0.1,2021-01-30 11:30:00,1,0.1
